"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1","2_2","4_1","7_1"
"bf983ba",-3774.3007521629333,"unknown",-3768.2461318969727,-3761.7709505558014,0.0,6.550536870956421,201.80392479896545,207.8262221813202,214.79320812225342,221.36810398101807,282.1043629646301,"unknown",289.0630702972412,295.22854375839233,296.7707471847534,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",302.5981299877167,"unknown","unknown",309.2279715538025,"","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-59036.10733246803,"unknown",-59029.55512928963,-59022.957714796066,0.0,5.823063611984253,11.56411337852478,17.409215688705444,27.30093765258789,32.590850830078125,40.3206102848053,45.47260332107544,"unknown",52.44054651260376,54.46319222450256,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.17179751396179,"unknown","unknown",68.32567048072815,"","","",""
"2457ed6",-43442.61370635033,"unknown",-43435.76455974579,-43430.307557821274,0.0,7.212998867034912,10.545600652694702,16.84919786453247,30.917917013168335,36.84637212753296,47.23104953765869,53.83409261703491,"unknown",60.07332110404968,62.31214904785156,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.71546864509583,"unknown","unknown",74.84653520584106,"","","",""
"c4bba29",-6148.523206472397,"unknown",-6142.412891626358,-6136.145847797394,0.0,6.955843448638916,9.56611704826355,16.26544499397278,29.86694049835205,35.53032565116882,41.548611640930176,47.80117583274841,"unknown",53.55975413322449,55.5653440952301,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.26877021789551,"unknown","unknown",68.55508613586426,"","","",""
"2dffb9e",-72.92312908172607,"unknown",-66.46549725532532,-60.33389925956726,0.0,6.573152780532837,10.507378578186035,17.63836407661438,25.80329442024231,31.54448938369751,35.23495888710022,"unknown",41.93960928916931,47.23832893371582,49.15079951286316,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.36210107803345,"unknown","unknown",62.04155874252319,"","","",""
"7a35b75",-58398.96051859856,"unknown",-58393.43428206444,-58386.961074352264,0.0,6.069321393966675,11.355682611465454,18.24007534980774,28.714754581451416,34.46378684043884,37.86976170539856,43.92614221572876,"unknown",49.29065132141113,51.23920965194702,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.18722438812256,"unknown","unknown",63.35772657394409,"","","",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-9146.274383306503,"unknown",-9140.287079334259,-9133.282404184341,0.0,7.164558410644531,8.96791958808899,15.38045620918274,24.920947790145874,31.370611429214478,39.696951150894165,"unknown",44.994099140167236,51.328548431396484,54.80060815811157,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.551976680755615,"unknown","unknown",67.35582661628723,"","","",""
"0a30844",-144905.67884922028,"unknown",-144899.7319266796,-144892.54627847672,0.0,5.334893465042114,12.103903532028198,19.11648178100586,40.66655683517456,47.40693140029907,54.766767501831055,61.33284139633179,"unknown",68.55689597129822,70.77991676330566,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.7476327419281,"unknown","unknown",82.37748217582703,"","","",""
"43d0b63",-1894154.9401278496,"unknown",-1894149.3690416813,-1894143.4258787632,0.0,6.3582093715667725,13.550995588302612,20.035535097122192,31.623636484146118,37.40885353088379,42.534250020980835,"unknown",48.00880002975464,53.344671964645386,54.94908022880554,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.57871055603027,"unknown","unknown",67.42214822769165,-126944.32249426842,"","",""
"addf295",-1356.019255399704,"unknown",-1348.8954410552979,-1341.770891904831,0.0,5.557204961776733,10.990357398986816,17.877501487731934,32.306859254837036,39.274558544158936,47.81410336494446,53.37824773788452,"unknown",60.23094725608826,62.51564431190491,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.05527091026306,"unknown","unknown",74.47866654396057,"","","",""
"1a8e45b",-6754.4171669483185,"unknown",-6747.990721940994,-6742.365207910538,0.0,6.386306047439575,11.60313105583191,17.197059869766235,18.763620853424072,24.349512100219727,26.931804418563843,33.41352152824402,"unknown",38.95802855491638,40.59819984436035,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",46.04478454589844,"unknown","unknown",52.25339126586914,"","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-105.97319340705872,"unknown",-99.56321024894714,-92.67036962509155,0.0,6.882307767868042,9.218982458114624,15.34018588066101,26.903568267822266,33.27127647399902,36.589335441589355,"unknown",42.94028353691101,48.45623016357422,51.411502838134766,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.443071126937866,"unknown","unknown",62.94595241546631,"","","",""
"8ec15bc",-2812.6593585014343,"unknown",-2805.5957198143005,-2799.4624485969543,0.0,6.600903511047363,9.505844831466675,15.298093557357788,59106.807487249374,59114.05832409859,59116.48308086395,"unknown",59123.35356450081,59128.710247039795,59130.5814807415,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59136.03532719612,"unknown","unknown",59142.435782432556,"","","",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-206607.47764325142,"unknown",-206601.04156851768,-206595.08715820312,0.0,5.859971761703491,16.035864114761353,22.951688051223755,52.579471826553345,58.54227948188782,66.10258626937866,"unknown",72.7161853313446,78.6686007976532,81.10764122009277,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.11786484718323,"unknown","unknown",94.06328797340393,"","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-9917.8334877491,"unknown",-9911.567729949951,-9906.079794883728,0.0,5.722293853759766,11.41747784614563,17.100858211517334,29.362226724624634,35.057743549346924,54.296555519104004,"unknown",59.83220672607422,66.05968642234802,70.88326573371887,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.55819749832153,"unknown","unknown",85.63995289802551,"","","",""
"7bb45d3",-3387.2866337299347,"unknown",-3381.9491732120514,-3375.3497223854065,0.0,6.554339647293091,16.15469980239868,22.51945734024048,43.51435852050781,50.124085903167725,53.69109797477722,"unknown",60.48559832572937,66.76311111450195,68.70966958999634,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.65184092521667,"unknown","unknown",79.9731285572052,"","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-1943.9632234573364,"unknown",-1936.9774551391602,-1930.509256362915,0.0,5.432952880859375,8.860852003097534,15.997332572937012,29.146190881729126,35.2129442691803,43.66046738624573,50.9528021812439,"unknown",56.93240261077881,58.57012057304382,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.99093985557556,"unknown","unknown",71.94231796264648,"","","",""
"07ff49d",-58.81538796424866,"unknown",-53.353379249572754,-46.307579040527344,0.0,6.594125509262085,18.934151649475098,26.00076198577881,27.13405442237854,32.46069097518921,97973.03946876526,"unknown",97978.31875824928,97983.88336372375,97985.83523082733,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",97992.71815800667,"unknown","unknown",97999.75946879387,"","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-4510.078206777573,"unknown",-4504.412177324295,-4498.851350784302,0.0,7.356647491455078,16.555027961730957,22.810457468032837,31.500579357147217,38.15332341194153,41.23286175727844,"unknown",47.53668451309204,53.648192405700684,55.6655752658844,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.37157964706421,"unknown","unknown",68.42877078056335,"","","",""
"ad2fc5b",-635.0858333110809,"unknown",-628.1086370944977,-622.2044978141785,0.0,5.358055830001831,7.218641519546509,13.519590616226196,20.374844312667847,27.220542430877686,40.46846532821655,46.538657426834106,"unknown",53.77864599227905,55.66130208969116,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.93854308128357,"unknown","unknown",68.72328329086304,"","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-36.68981885910034,"unknown",-29.85533595085144,-24.1948025226593,0.0,5.798258304595947,25.240909814834595,31.85087299346924,45.30232858657837,52.165478467941284,62.78555750846863,"unknown",69.86436533927917,75.41516995429993,77.71645426750183,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.07640027999878,"unknown","unknown",89.01480841636658,"","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
