"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"43d0b63",-22202.734855890274,"unknown",-22195.865921974182,-22190.210106611252,0.0,7.234822034835815,10.80631136894226,19.72939372062683,39.296711683273315,45.514546632766724,54.32679748535156,59.95301842689514,"unknown",66.45940279960632,68.71758437156677,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.32125902175903,"unknown","unknown",81.24025750160217,"","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-4875.307302713394,"unknown",-4869.239231824875,-4862.596827745438,0.0,6.894560813903809,9.234512567520142,15.99791431427002,25.739019870758057,32.460158824920654,45.26518392562866,52.44043040275574,"unknown",57.681652784347534,59.32186317443848,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.70994186401367,"unknown","unknown",71.3607292175293,"","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-25044.733976125717,"unknown",-25037.659860610962,-25031.16667199135,0.0,7.074239015579224,9.665406703948975,17.996826648712158,33.14423060417175,39.51828694343567,44.94193148612976,51.56109642982483,"unknown",58.03454256057739,59.67221784591675,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.43773436546326,"unknown","unknown",70.87013149261475,"","","",""
"8ec15bc",-21.618115663528442,"unknown",-15.306885242462158,-8.272140741348267,0.0,7.031436443328857,20.82129740715027,29.202960729599,42.25422191619873,49.490018367767334,59.448814868927,65.07675647735596,"unknown",71.27891683578491,77.24217915534973,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.77336835861206,"unknown","unknown",88.12022018432617,"","","",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-295289.37844753265,"unknown",-295283.3231680393,-295277.4063103199,0.0,6.683023929595947,19.499529600143433,28.54904794692993,60.28697657585144,65.89611411094666,89.90240287780762,"unknown",96.4640588760376,101.93067502975464,108.91014885902405,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",115.48936891555786,"unknown","unknown",121.62006759643555,"","",-231068.60116887093,""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
