"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","2_2","5_1"
"77a5d2f","unknown","unknown","unknown","unknown",0.0,5.3825907707214355,44103.74550437927,44110.729976415634,48446.25676751137,48452.692574977875,48469.94965648651,"unknown",48476.32069802284,48483.23518848419,48484.46521067619,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",48491.393864393234,"unknown","unknown",48497.569113731384,"","",""
"b92dee2","unknown","unknown","unknown",-702.8598058223724,0.0,6.54034686088562,14886.72298169136,14892.11620759964,14917.273114442825,14923.455555677414,14929.808545589447,"unknown",14936.641139507294,14942.337984323502,14944.997194051743,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",14951.806110620499,"unknown","unknown",14957.441310167313,"","",""
"50ec1c5",-689.5928735733032,"unknown",-682.7436814308167,-675.8471009731293,0.0,6.279347658157349,18.05341124534607,23.892176389694214,51.126240253448486,57.685205698013306,77.80710458755493,"unknown",83.34625148773193,90.43404150009155,93.51864266395569,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",98.95568180084229,"unknown","unknown",105.52057003974915,"","",""
"11892fd",-887.7045052051544,"unknown",-880.6139845848083,-873.5090811252594,0.0,6.712415456771851,12.82967233657837,18.800148487091064,32.06875944137573,38.444735050201416,61.22274160385132,"unknown",68.68393802642822,75.3575828075409,78.46098637580872,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",84.45561051368713,"unknown","unknown",89.736745595932,"","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-45.62683367729187,"unknown",-38.612409830093384,-32.96108412742615,0.0,7.1117634773254395,20.98857355117798,27.006057262420654,38.93069839477539,45.52186179161072,50.50897717475891,56.93877291679382,"unknown",62.446457624435425,65.37883162498474,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.50249147415161,"unknown","unknown",78.34790086746216,"","",""
"ee4b6cd",-104.69292116165161,"unknown",-98.49182891845703,-93.1178891658783,0.0,6.108193635940552,10.312445878982544,15.838933229446411,35.44075584411621,41.586941957473755,49.701698303222656,56.22159266471863,"unknown",62.70146822929382,64.95034003257751,70.53975009918213,79.7042396068573,"unknown",85.96441960334778,92.56548380851746,95.04555678367615,"unknown","unknown","unknown","unknown",101.25479578971863,"unknown",108.16182518005371,"","",""
"f2291ba",-370037.58078074455,"unknown",-370030.66541290283,-370023.76415109634,0.0,6.468330144882202,13.841259956359863,20.081193685531616,63.07313346862793,70.21370649337769,98.087810754776,"unknown",104.5899510383606,110.5756049156189,112.38672542572021,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",119.00001788139343,"unknown","unknown",124.9830014705658,"","",""
"fb6ca94",-11587.8653652668,"unknown",-11581.231740236282,-11575.906296491623,0.0,5.760890007019043,11.74833607673645,18.67177152633667,42.515679359436035,49.37116074562073,87.75004076957703,94.63140773773193,"unknown",100.40392279624939,108.6107165813446,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",114.27950024604797,"unknown","unknown",120.90585327148438,"","",""
"516417f",-1383.9191617965698,"unknown",-1378.1385011672974,-1371.4770250320435,0.0,7.049216270446777,13.727325201034546,19.54369831085205,40.08113765716553,47.484493255615234,70.93511986732483,"unknown",77.6226019859314,83.00629806518555,85.61566185951233,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.83053135871887,"unknown","unknown",98.26202058792114,"","",""
"7a0eabe",-9331.586333274841,"unknown",-9325.995359659195,-9318.929414749146,0.0,6.724801063537598,12.169065475463867,18.23764681816101,34.10532522201538,40.26486587524414,49.607765436172485,56.07116079330444,"unknown",62.25325965881348,63.997093200683594,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.67573857307434,"unknown","unknown",77.01393699645996,"","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-341.08493638038635,"unknown",-335.5964992046356,-329.5061569213867,0.0,5.754262208938599,15.75645899772644,22.468096494674683,37.77114772796631,43.96733546257019,52.68370962142944,58.622498750686646,"unknown",64.3301568031311,66.31324863433838,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.65180540084839,"unknown","unknown",77.43865752220154,"","",""
"50a0fdd",-92.8794481754303,"unknown",-86.45047855377197,-80.80445122718811,0.0,6.556064128875732,13.964272737503052,20.172467708587646,53.58710861206055,59.28533482551575,73.61725616455078,"unknown",80.5796468257904,87.17125797271729,90.80294156074524,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",98.02389359474182,"unknown","unknown",104.8849036693573,"","",""
"b7cec81",-163895.91481542587,"unknown",-163890.388102293,-163884.20039057732,0.0,6.945890665054321,10.635901927947998,16.74877142906189,25.029619932174683,31.58164644241333,52958.83773589134,"unknown",52966.23598074913,52972.32710671425,52974.640216350555,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",52980.88091659546,"unknown","unknown",52986.57014155388,"","",""
"bf983ba",-16.19060754776001,"unknown",-9.110221147537231,-2.7843756675720215,0.0,5.94279670715332,8.660948753356934,15.63002896308899,27.762434482574463,33.245826721191406,39.962040424346924,"unknown",46.5696439743042,53.474058628082275,57.53063416481018,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.52791476249695,"unknown","unknown",70.82471251487732,"","",""
"b53b559",-284956.92050528526,"unknown",-284949.58943223953,-284943.1003856659,0.0,5.73607611656189,43.39757180213928,48.988203048706055,82.83561062812805,89.75726366043091,133.14496207237244,"unknown",139.44780135154724,146.37097191810608,149.54411554336548,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",155.06342220306396,"unknown","unknown",161.28511309623718,"","",""
"4a92bfd",-83422.89965987206,"unknown",-83239.11119151115,-83070.19285535812,0.0,6.398537874221802,14.607522010803223,21.275017023086548,55.974780559539795,62.77723574638367,70.15736484527588,77.40669822692871,"unknown",84.3257806301117,89.88697695732117,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",96.85256338119507,"unknown","unknown",102.56039547920227,"","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b",-164526.8382127285,"unknown",-164520.5683541298,-164514.56213641167,0.0,6.216302156448364,50.287429332733154,55.67785859107971,65.13565325737,70.68613791465759,76.3784191608429,"unknown",81.78227877616882,87.69480586051941,89.32940936088562,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",97.5020546913147,"unknown","unknown",104.16337633132935,"","",""
"1800004",-2235.774759054184,"unknown",-2228.7852399349213,-2222.6783034801483,0.0,6.007896423339844,238.33134388923645,244.2587366104126,271.1481463909149,278.08949041366577,281.9368636608124,"unknown",287.88243556022644,293.4644446372986,295.3832724094391,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",302.64120626449585,"unknown","unknown",307.9821298122406,"","",""
"7b3c431",-95256.72162032127,"unknown",-95251.33009886742,-95244.39893507957,0.0,5.749215364456177,14.258330821990967,20.756667375564575,45.282999992370605,52.47469425201416,68.16627788543701,"unknown",75.03167915344238,81.65449643135071,83.79950189590454,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",90.98373174667358,"unknown","unknown",97.26943922042847,"","",""
"2457ed6",-40925.35804629326,"unknown",-40919.83133292198,-40913.94204258919,0.0,6.980672836303711,13.40864872932434,20.65134572982788,37.66767883300781,43.277212142944336,59.512582302093506,65.36642479896545,"unknown",70.90114855766296,74.12074136734009,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.1967248916626,"unknown","unknown",86.89413905143738,"","",""
"c4bba29",-1257.4828794002533,"unknown",-1251.4996325969696,-1245.0896639823914,0.0,5.612700462341309,11.260210752487183,18.142897129058838,35.32276654243469,40.8863480091095,51.18704175949097,"unknown",57.694225549697876,64.00318312644958,88.39934396743774,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",95.28305220603943,"unknown","unknown",101.83825254440308,"","",""
"2dffb9e",-24.740943431854248,"unknown",-16.744903326034546,-11.330425500869751,0.0,5.8384387493133545,10.86533260345459,17.900654077529907,45.69270920753479,52.55695867538452,57.1221821308136,"unknown",63.43901181221008,69.75100445747375,71.96805357933044,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.84690737724304,"unknown","unknown",84.63338136672974,"","",""
"7a35b75",-204.6930446624756,"unknown",-199.20758056640625,-192.91713881492615,0.0,6.337889194488525,13.551883935928345,19.38513708114624,55.932671308517456,63.02675819396973,69.01531147956848,"unknown",76.1675033569336,83.23153948783875,85.06506013870239,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.45310115814209,"unknown","unknown",97.36880469322205,"","",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3",-7170.130836963654,"unknown",-7163.183127880096,-7156.665364980698,0.0,6.169082880020142,10.994521856307983,17.563339710235596,41.87221050262451,48.22940683364868,102.3453016281128,"unknown",109.3144121170044,114.70366287231445,117.20582437515259,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",123.30469369888306,"unknown","unknown",130.40610432624817,"","",""
"d09321f",-491497.8436496258,"unknown",-491491.08944940567,-491483.7749159336,0.0,5.802091121673584,8.632109880447388,13.995835542678833,25.32403302192688,32.405439376831055,37.03597712516785,"unknown",43.585455656051636,49.05903720855713,50.77809143066406,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",57.14647102355957,"unknown","unknown",63.18764138221741,"","",""
"58b1c8e",-41.95225691795349,"unknown",-35.75152540206909,-28.629061222076416,0.0,6.549607753753662,16.098019123077393,22.327415466308594,42.06623721122742,48.43226408958435,55.27446913719177,"unknown",62.270540714263916,67.85253286361694,69.92171430587769,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",75.83264136314392,"unknown","unknown",81.64209055900574,"","",""
"bf3dfcf",-28740.455595970154,"unknown",-28733.151589393616,-28727.03965115547,0.0,6.3442535400390625,11.566164255142212,18.785467624664307,28.280527353286743,33.94319415092468,43.22829008102417,"unknown",49.094385385513306,56.200642108917236,60.37337779998779,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.42735362052917,"unknown","unknown",73.46401691436768,"","",""
"80e625f",-8971.790207386017,"unknown",-8964.789798498154,-8958.39210152626,0.0,6.983348369598389,11.795414924621582,18.06787896156311,27.46816086769104,33.975372314453125,67142.78149938583,"unknown",67150.06691813469,67155.78074240685,67159.46781730652,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67164.70100617409,"unknown","unknown",67171.09209251404,"","",""
"9846ca8",-42246.3752143383,"unknown",-42241.07370567322,-42235.49811077118,0.0,5.8560779094696045,10.987659692764282,16.612274408340454,34.02612280845642,39.69627118110657,57.73599696159363,"unknown",64.03713417053223,69.56537938117981,71.57975101470947,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.32364201545715,"unknown","unknown",83.608145236969,"","",""
"cc02471",-19375.20067858696,"unknown",-19368.28630423546,-19362.773831129074,0.0,6.017271041870117,14.418804168701172,21.38108491897583,35.479838848114014,42.62074375152588,93.17146277427673,98.95931696891785,"unknown",105.17098951339722,107.49845242500305,114.60914039611816,221.32222414016724,228.39407634735107,"unknown",234.5921745300293,237.09989619255066,"unknown","unknown","unknown","unknown",243.980651140213,"unknown",250.99564933776855,"","",""
