"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1"
"8ec15bc",-70.32369184494019,-64.74286484718323,-59.30120587348938,-53.32131052017212,0.0,6.02653694152832,9.12152910232544,14.50109314918518,31.308089017868042,37.31309914588928,64.57028245925903,"unknown",71.53519415855408,77.33576393127441,79.36255550384521,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",85.11078310012817,"unknown","unknown",91.28326630592346,""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-1707501.3119666576,-1707495.7092142105,-1707488.5638346672,-1707481.6650805473,0.0,6.861217498779297,9.271141529083252,15.20555067062378,42.025004148483276,47.451940059661865,59.050854206085205,"unknown",64.84646487236023,71.23272776603699,72.9854884147644,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",80.1262755393982,"unknown","unknown",87.22524690628052,-750699.7320244312
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-8194.068915605545,-8187.141119480133,-8180.695816993713,-8174.977699041367,0.0,6.945151090621948,8.309009790420532,14.20685362815857,34.678622007369995,40.18041944503784,10271.53606557846,"unknown",10278.730762958527,10284.241906404495,10286.726396799088,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",10293.807790994644,"unknown","unknown",10300.35752749443,""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-7606.662860393524,-7600.010477781296,-7593.337954044342,-7586.211256027222,0.0,5.722132921218872,10.3003568649292,16.075252056121826,36.171515703201294,42.38540554046631,50.664485931396484,56.72992515563965,"unknown",63.840129375457764,65.70849871635437,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",73.18005657196045,"unknown","unknown",79.60487937927246,""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ee7f92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89d63ed",-2817.5596714019775,-2810.444295167923,-2804.9426884651184,-2798.574130296707,0.0,6.571995973587036,9.517745018005371,14.997655153274536,24.299537181854248,31.427910089492798,41.213261127471924,47.37262749671936,"unknown",53.69117617607117,56.67390489578247,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",63.1507773399353,"unknown","unknown",68.4618489742279,""
"c0a644e",-1686309.479588747,-1686302.255925417,-1686295.4217329025,-1686288.663469553,0.0,5.783507347106934,24.416935443878174,31.349042177200317,58.05023264884949,64.93506789207458,76.38548278808594,82.25697946548462,"unknown",88.56706690788269,91.35476899147034,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",98.17716956138611,"unknown","unknown",103.76333618164062,""
"80f558b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
