"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","3_1","3_2","2_1"
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",18.24900722503662,"unknown",43.32615303993225,"unknown",334.24565505981445,"unknown","unknown","unknown",348.9020125865936,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"d874e84",-610.7468242645264,"unknown",-605.2427406311035,-599.4407205581665,0.0,5.873201847076416,21.826969623565674,28.348472595214844,39.141108989715576,44.62152099609375,61.75818705558777,"unknown",67.68739223480225,74.0050401687622,136.9244351387024,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",144.41574382781982,"unknown","unknown",151.24447655677795,"","",""
"c28b1a9","unknown","unknown","unknown","unknown",0.0,"unknown",11.241737127304077,"unknown",186.66566967964172,"unknown",1760.442596912384,"unknown","unknown","unknown",1774.6512608528137,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"7384692",-477.69598293304443,"unknown",-470.75239610671997,-464.4823217391968,0.0,5.753993034362793,13.499946117401123,20.683614492416382,37.03882813453674,43.23956775665283,72.41245031356812,78.23677158355713,"unknown",84.81772899627686,88.11283540725708,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",94.0444724559784,"unknown","unknown",101.20439147949219,"","",""
"90ccafb",-2960.5054841041565,"unknown",-2954.323049545288,-2948.435601234436,0.0,6.546245098114014,13.45218563079834,20.475660800933838,44.2761173248291,51.19594955444336,58.773804664611816,"unknown",66.02741932868958,71.6142430305481,73.57342743873596,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.41944408416748,"unknown","unknown",86.2343385219574,"","",""
"0327530",-78469.06755375862,"unknown",-78462.85906004906,-78456.94555282593,0.0,7.3831071853637695,15.333309650421143,22.480814456939697,65.24466061592102,71.39195132255554,86.19399952888489,92.37553119659424,"unknown",98.36357736587524,100.15343046188354,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",106.9425733089447,"unknown","unknown",113.4555733203888,"","",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",17.730037927627563,"unknown",67.04937958717346,"unknown",103.47135901451111,"unknown","unknown","unknown",122.16104102134705,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"233ee90","unknown","unknown","unknown",-6660.572644948959,0.0,6.29046630859375,7.883991718292236,13.380726337432861,36.543771266937256,43.1483359336853,53.374008655548096,60.18933057785034,"unknown",65.98358178138733,69.10528802871704,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.79920053482056,"unknown","unknown",80.18955636024475,"","",""
"db844b1","unknown","unknown","unknown","unknown",0.0,"unknown",16.86112928390503,"unknown",47.2484667301178,"unknown",88.94580078125,"unknown","unknown","unknown",111.5923171043396,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"e4c0f9c",-98703.71670937538,"unknown",-98697.95694160461,-98692.64263701439,0.0,29.018014669418335,44.14500117301941,50.934080362319946,75.27023768424988,81.34741401672363,148.18025159835815,"unknown",155.08762884140015,161.5968074798584,163.46751832962036,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",170.61722826957703,"unknown","unknown",177.76077795028687,"","",""
"fd01af9",-384336.4007127285,"unknown",-384329.08030962944,-384323.43342089653,0.0,5.939908742904663,15.600720882415771,21.874979972839355,35.99791097640991,42.67863607406616,55.47201728820801,"unknown",62.044281244277954,67.63339900970459,70.20531225204468,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.86213159561157,"unknown","unknown",83.08493566513062,"","",""
"77a5d2f","unknown","unknown","unknown","unknown",0.0,"unknown",7.354053974151611,"unknown",29.22871422767639,"unknown",447.40877985954285,"unknown","unknown","unknown",463.333979845047,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"b92dee2","unknown","unknown","unknown","unknown",0.0,"unknown",10.129628419876099,"unknown",51.326650857925415,"unknown",101.29777669906616,"unknown","unknown","unknown",114.69266700744629,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"50ec1c5","unknown","unknown","unknown","unknown",0.0,"unknown",41.62150549888611,"unknown",105.13101577758789,"unknown",130.73349714279175,"unknown","unknown","unknown",147.6289029121399,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"11892fd",-19904.61473917961,"unknown",-19898.07764649391,-19892.18142724037,0.0,5.502425193786621,14.636749029159546,21.12819504737854,46.88815093040466,53.952160596847534,71.72749209403992,"unknown",78.02590680122375,84.0114073753357,86.65851759910583,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",93.54931998252869,"unknown","unknown",100.46950936317444,"","",""
"5ba2fe6",-815092.0310912132,"unknown",-815084.9030785561,-815078.8918220997,0.0,6.118516683578491,12.31075930595398,18.16682243347168,37.05870079994202,43.84083104133606,121.37105798721313,"unknown",128.64832997322083,135.13053107261658,143.39906358718872,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",149.4040675163269,"unknown","unknown",155.67581033706665,"","",""
