"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","4_1"
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-5875.651673793793,"unknown",-5869.141976118088,-5862.239400625229,0.0,5.7110795974731445,27.909756898880005,36.21564292907715,80.31915020942688,87.38609099388123,126.00226140022278,133.04672718048096,"unknown",139.6044158935547,167.44426822662354,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",174.54984164237976,"unknown","unknown",180.73823142051697,"",""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-86185.08314037323,"unknown",-86179.062230587,-86173.0601799488,0.0,6.459118366241455,13.166742086410522,21.310000896453857,36.142690896987915,43.44952154159546,48.704427003860474,54.135228872299194,"unknown",60.28539180755615,62.950965881347656,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",68.47941422462463,"unknown","unknown",73.9573826789856,"",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-5211.867438793182,"unknown",-5205.098160028458,-5199.3605897426605,0.0,6.677443265914917,21.28903841972351,29.007893562316895,39.72050595283508,45.82383918762207,56.64351797103882,62.667396783828735,"unknown",69.45923948287964,74.22319316864014,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",81.18163275718689,"unknown","unknown",87.19434261322021,"",""
"50a0fdd",-43.541478872299194,"unknown",-36.45345377922058,-29.304243564605713,0.0,5.81038498878479,9.640403032302856,16.646443367004395,27.16693687438965,34.268036127090454,39.69132041931152,45.885801792144775,"unknown",51.343305826187134,53.74212074279785,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",59.53396725654602,"unknown","unknown",66.23125338554382,"",""
"b7cec81",-692.5659642219543,"unknown",-686.959831237793,-679.7463791370392,0.0,5.88502311706543,9.777589559555054,18.826319456100464,28.418110132217407,36.22690200805664,50.46020555496216,57.00883507728577,"unknown",63.620413303375244,66.2945237159729,73.19826030731201,79.40108513832092,"unknown",85.43198990821838,90.83185052871704,94.81024622917175,"unknown","unknown","unknown","unknown",100.68061947822571,"unknown",106.73334741592407,"",""
"bf983ba",-149.78444457054138,"unknown",-144.2205102443695,-137.2222044467926,0.0,7.267541885375977,8.940062284469604,15.434646368026733,24.504027843475342,30.546387195587158,33.28071999549866,39.704548597335815,"unknown",45.19779586791992,46.784170389175415,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",53.41071438789368,"unknown","unknown",60.328542947769165,"",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-7135.008317947388,"unknown",-7128.664358139038,-7121.94655251503,0.0,6.068390846252441,11.212807655334473,19.503413915634155,28.56243133544922,35.07079792022705,41.020740032196045,47.008864402770996,"unknown",52.675628900527954,54.251689195632935,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",59.57026672363281,"unknown","unknown",65.05859017372131,"",""
"2457ed6",-25893.381509304047,"unknown",-25887.516684770584,-25880.47032380104,0.0,7.064164638519287,12.182033777236938,20.226110219955444,34.00076961517334,39.30352997779846,47.21723461151123,53.37732267379761,"unknown",59.579779386520386,61.768110036849976,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.24521803855896,"unknown","unknown",73.36100435256958,"",""
"c4bba29",-95.72380781173706,"unknown",-90.21563220024109,-84.6435182094574,0.0,5.617359161376953,7.656967878341675,16.070361614227295,28.528163194656372,34.62850022315979,41.0644257068634,"unknown",46.88454818725586,52.44893836975098,54.16433310508728,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.24300169944763,"unknown","unknown",68.29496359825134,"",""
"2dffb9e",-461.04642367362976,"unknown",-454.6977689266205,-448.4755606651306,0.0,5.489360570907593,8.078460216522217,16.517011165618896,25.874993085861206,32.76770639419556,37.09993386268616,43.949079751968384,"unknown",49.291850328445435,51.027326345443726,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",56.8703453540802,"unknown","unknown",63.520546436309814,"",""
"7a35b75",-8698.55314207077,"unknown",-8693.076503515244,-8686.738436222076,0.0,6.745224714279175,12.772655725479126,19.461695432662964,31.969008684158325,38.597808599472046,44.960262298583984,51.00377130508423,"unknown",56.373613595962524,58.201284885406494,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.1043176651001,"unknown","unknown",70.19105863571167,"",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-5556.839794635773,"unknown",-5551.419035196304,-5544.801846981049,0.0,6.911731243133545,8.206318616867065,16.082517385482788,27.39936113357544,34.45927023887634,44.1066951751709,49.724199533462524,"unknown",55.623053550720215,57.463313579559326,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.25903153419495,"unknown","unknown",69.6869056224823,"",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63",-16085.40180850029,"unknown",-16078.25256228447,-16071.202355146408,0.0,5.646334171295166,8.922169208526611,17.67163848876953,34.06743359565735,39.76241874694824,49.95421576499939,57.14186501502991,"unknown",63.39745903015137,65.50953245162964,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.10928082466125,"unknown","unknown",77.50705862045288,"",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-5710.657766819,"unknown",-5705.0356657505035,-5699.393681764603,0.0,5.858064413070679,9.291003704071045,17.674593925476074,29.372920036315918,35.32024383544922,39.21847605705261,45.20027041435242,"unknown",51.884140491485596,53.752705574035645,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",60.90430974960327,"unknown","unknown",67.10234355926514,"",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-8076.080093383789,"unknown",-8068.987520456314,-8062.395866394043,0.0,6.586885452270508,14.011946439743042,20.878002166748047,32.17051720619202,38.629664182662964,44.770917892456055,51.43402290344238,"unknown",56.86588716506958,58.45523476600647,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.42000889778137,"unknown","unknown",72.12303185462952,"",""
"8ec15bc",-1178.3923497200012,"unknown",-1171.4477269649506,-1164.7346057891846,0.0,7.1187684535980225,24.65176248550415,32.47730040550232,90.4741280078888,96.99527144432068,109.88187050819397,115.45327091217041,"unknown",122.40473985671997,138.5932273864746,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",144.18858981132507,"unknown","unknown",149.56389141082764,"",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-73316.26536226273,"unknown",-73309.03580570221,-73302.73764443398,0.0,6.267292499542236,16.145313262939453,24.34119725227356,34.37652921676636,40.83501482009888,44.34192991256714,50.73167705535889,"unknown",57.160401344299316,59.21302366256714,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.28399968147278,"unknown","unknown",73.36610198020935,"",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-24487.57102417946,"unknown",-24480.552010297775,-24474.682280778885,0.0,5.554567575454712,10.836871862411499,18.53252673149109,31.41690158843994,36.9896559715271,41.56805872917175,47.314510107040405,"unknown",53.477761030197144,55.84419059753418,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.603840351104736,"unknown","unknown",67.80488276481628,"",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-243.22350645065308,"unknown",-237.34195923805237,-231.3226490020752,0.0,6.611213445663452,8.594531297683716,16.626361846923828,27.63164496421814,33.15790343284607,38.83896255493164,44.81050777435303,"unknown",51.64868211746216,53.2309410572052,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",60.05533814430237,"unknown","unknown",65.71678709983826,"",""
"07ff49d",-514389.0097358227,"unknown",-514381.9022886753,-514376.0959265232,0.0,6.6084253787994385,8.231937646865845,15.167155027389526,24.279316186904907,30.739793062210083,49.37334203720093,56.30361533164978,"unknown",63.65174317359924,76.87048625946045,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.70374369621277,"unknown","unknown",89.71162152290344,"",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-20612.775557994843,"unknown",-20606.843237161636,-20600.043628931046,0.0,6.466094255447388,13.674047946929932,20.94226861000061,31.704041719436646,37.72142958641052,100.5104730129242,107.17199301719666,"unknown",113.18636775016785,114.85621309280396,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",120.13699412345886,"unknown","unknown",125.6350109577179,"",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-526341.6190199852,"unknown",-526335.7830822468,-526330.0134384632,0.0,18.06758999824524,34.20706295967102,42.71557116508484,55.51180672645569,61.92651343345642,85.88485670089722,92.61126637458801,"unknown",99.79576826095581,101.55422353744507,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",108.61973857879639,"unknown","unknown",115.67373132705688,-615.9793426990509,""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-5803.137699127197,"unknown",-5796.121423959732,-5790.001820325851,0.0,7.29890775680542,13.04201602935791,20.051194429397583,33.25587034225464,40.6149320602417,53.20497679710388,58.516860246658325,"unknown",65.47981643676758,68.21050071716309,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.96267485618591,"unknown","unknown",80.56355166435242,"",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-6127.90283203125,"unknown",-6122.264293909073,-6115.32520365715,0.0,5.848244667053223,12.150514841079712,23.992072105407715,35.256741762161255,41.21629452705383,47.24768948554993,53.889604806900024,"unknown",59.990642786026,64.9568498134613,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.70540237426758,"unknown","unknown",77.99640917778015,"",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-426363.8650050163,"unknown",-426357.9006743431,-426352.00012111664,0.0,6.401191711425781,10.290360689163208,18.57071828842163,29.382915258407593,35.88710927963257,43.04063367843628,49.63059163093567,"unknown",54.84863495826721,56.6029691696167,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.27245306968689,"unknown","unknown",69.76831984519958,"",""
"2ee7f92",-3467.041926383972,"unknown",-3461.2922558784485,-3454.2690348625183,0.0,7.16978120803833,8.780667543411255,17.455026865005493,33.29794430732727,40.42947578430176,48.325984477996826,54.33747911453247,"unknown",61.375813484191895,62.62817859649658,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",69.37574219703674,"unknown","unknown",76.37035465240479,"",""
"89d63ed",-205.0744504928589,"unknown",-199.61343240737915,-194.0224814414978,0.0,7.238951921463013,9.022326707839966,16.65972924232483,23.163567304611206,29.80819606781006,34.41029691696167,39.82256197929382,"unknown",45.2393057346344,47.19042682647705,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",52.84659004211426,"unknown","unknown",59.392433643341064,"",""
"c0a644e",-14.808845281600952,"unknown",-7.695993185043335,-2.2244203090667725,0.0,7.2085089683532715,11.592071294784546,19.508477449417114,35.24869084358215,42.39995455741882,53.30847096443176,59.54938292503357,"unknown",65.16061854362488,119.30895018577576,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",125.31252980232239,"unknown","unknown",132.64270973205566,"",""
"80f558b",-6571.085430383682,"unknown",-6563.8439383506775,-6556.618115186691,0.0,6.993250370025635,14.580612659454346,22.31470251083374,40.23642873764038,45.708998680114746,51.06535005569458,57.84303951263428,"unknown",63.68202805519104,66.78022623062134,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.60611581802368,"unknown","unknown",79.7610502243042,"",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d",-60170.401114702225,"unknown",-60165.06261062622,-60159.74249148369,0.0,5.66204571723938,10.722731113433838,17.642350912094116,39.290064573287964,45.25349569320679,49.981316566467285,56.96331477165222,"unknown",63.24674153327942,65.66365313529968,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.06607007980347,"unknown","unknown",77.13765692710876,"",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-116.72887897491455,"unknown",-60.90190315246582,-6.110777139663696,0.0,31.442801237106323,38.46816611289978,47.53932738304138,61.8892183303833,68.2363076210022,75.76355862617493,"unknown",85.25833368301392,91.52422714233398,94.15796709060669,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",101.12662935256958,"unknown","unknown",106.73607182502747,"",""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
