"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","3_1","2_1"
"7384692",-7317.396395683289,"unknown",-7310.913057565689,-7303.919805288315,0.0,7.11225700378418,12.834696292877197,20.791715145111084,66.32275319099426,73.5950837135315,84.05315613746643,"unknown",89.41444420814514,95.80242657661438,98.61563801765442,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",105.25118517875671,"unknown","unknown",111.03978705406189,"",""
"90ccafb",-181095.68465685844,"unknown",-181089.43412470818,-181082.3283445835,0.0,6.946660757064819,12.46910834312439,20.319780588150024,34.69556260108948,40.75206470489502,61.725194692611694,"unknown",68.26475739479065,74.02725481987,95.45262432098389,101.23045802116394,109.18117094039917,115.52503991127014,"unknown",122.52599000930786,124.82477807998657,132.11566734313965,159.90707850456238,166.00331950187683,"unknown","unknown","unknown",172.85289001464844,179.87510561943054,"",""
"0327530",-425628.6199502945,"unknown",-425621.3748474121,-425614.3534104824,0.0,5.788381576538086,10.16618037223816,17.47618532180786,40.91857933998108,46.9558207988739,122.79901599884033,"unknown",129.50614190101624,135.98373651504517,148.44456267356873,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",154.8113715648651,"unknown","unknown",160.1165542602539,"",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",16.499459266662598,"unknown",87.51274633407593,"unknown",120.31457233428955,"unknown","unknown","unknown",136.3343846797943,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"233ee90",-198372.16995191574,"unknown",-198365.38300156593,-198358.18968963623,0.0,5.9549596309661865,353090.3911550045,353098.78499007225,353119.9913341999,353125.4884252548,353133.0799534321,"unknown",353139.2772436142,353145.65589571,353148.06642746925,353154.3662970066,353155.9545199871,353161.8345413208,"unknown",353168.96817207336,353170.70165395737,"unknown","","unknown","unknown","unknown",353177.5553383827,"unknown",353183.8972902298,"",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c",-3445653.984867573,"unknown",-3445647.0189261436,-3445639.881994009,0.0,6.928260087966919,10.59554386138916,18.47182321548462,46.74889850616455,52.097784996032715,67.72690200805664,"unknown",74.64886546134949,80.06020593643188,82.15683722496033,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",87.38144898414612,"unknown","unknown",93.12319302558899,"",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2",-11549318.4708426,"unknown",-11549312.944048882,-11549306.056698322,0.0,6.386845111846924,10.577929258346558,17.883201360702515,37.12161183357239,42.74848413467407,52.18697237968445,"unknown",58.073375940322876,63.90975046157837,66.1361985206604,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",72.39721202850342,"unknown","unknown",79.00502562522888,"",""
"50ec1c5",-475.3071849346161,"unknown",-405.4773199558258,-338.909916639328,0.0,7.786807060241699,20.97322988510132,30.063777685165405,60.377811431884766,66.34347081184387,94.87925720214844,101.73578000068665,"unknown",108.28587627410889,111.34114074707031,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",118.07138204574585,"unknown","unknown",124.23651432991028,"",""
"11892fd",-447.6654145717621,"unknown",-441.76322054862976,-434.6490170955658,0.0,6.064263820648193,10.631699800491333,18.999995946884155,29.31166100502014,35.925286293029785,62.589173316955566,"unknown",69.74685311317444,76.7453122138977,79.93303775787354,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",86.71377754211426,"unknown","unknown",92.01644825935364,"",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-895.2157959938049,"unknown",-888.4227981567383,-881.7401382923126,0.0,5.483784914016724,21.188464641571045,30.170011281967163,61.26433086395264,67.50382947921753,80.65332913398743,87.82656812667847,"unknown",94.21881341934204,97.20680356025696,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",104.35553073883057,"unknown","unknown",109.88171911239624,"",""
