"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","4_1","2_2"
"c28b1a9","unknown","unknown","unknown","unknown",0.0,"unknown",14.5043363571167,"unknown",59.430519104003906,"unknown",95.16619682312012,"unknown","unknown","unknown",111.68130111694336,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"7384692",-1054.9005906581879,"unknown",-1047.8264858722687,-1041.2199478149414,0.0,6.705978631973267,13.178029298782349,21.11393165588379,50.66249895095825,57.12486672401428,64.16082072257996,70.80818843841553,"unknown",76.85578870773315,97.66041445732117,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",103.16816115379333,"unknown","unknown",110.10040593147278,"","",""
"90ccafb",-53251.925929546356,"unknown",-53245.020339012146,-53237.92221951485,0.0,5.643573760986328,13.200247764587402,20.560757875442505,37.329286336898804,43.70256161689758,69.76454949378967,76.46431398391724,"unknown",82.34461402893066,84.46037030220032,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",90.86696934700012,"unknown","unknown",97.65192484855652,"","",""
"0327530",-84711.07204389572,"unknown",-84705.34168505669,-84699.84837245941,0.0,5.857392311096191,29.84227991104126,37.74767708778381,66.25576186180115,71.60679626464844,135.18054461479187,142.21643829345703,"unknown",148.92771410942078,156.46207642555237,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",161.89216351509094,"unknown","unknown",168.88152146339417,"","",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",14.884178161621094,"unknown",67.60111212730408,"unknown",96.16583895683289,"unknown","unknown","unknown",112.93953943252563,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"233ee90",-379449.59969234467,"unknown",-379442.88082909584,-379436.8780682087,0.0,5.455377578735352,9.563483238220215,17.185644149780273,38.27430868148804,44.755228996276855,70.48774981498718,77.15554976463318,"unknown",83.10527920722961,86.76820182800293,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",92.75939869880676,"unknown","unknown",99.90849232673645,"","",""
"db844b1","unknown","unknown","unknown",-49848.13057971001,0.0,6.564897537231445,8.392262935638428,16.41434383392334,47.95564413070679,55.0495080947876,89.46308970451355,96.17931699752808,"unknown",101.83468627929688,104.23645353317261,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",110.45064353942871,"unknown","unknown",115.7817747592926,"","",""
"e4c0f9c",-1801187.4924793243,"unknown",-1801181.6367254257,-1801175.253255844,0.0,6.665703296661377,20.966227531433105,29.403542280197144,44.26482272148132,50.77058959007263,71.51090884208679,78.70226764678955,"unknown",85.95668888092041,87.77013349533081,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",94.18399572372437,"unknown","unknown",101.19511103630066,-1696880.6091902256,"",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","unknown","unknown","unknown","unknown",0.0,"unknown",18.986636638641357,"unknown",54594.6725461483,"unknown",56162.823890686035,"unknown","unknown","unknown",56754.10497689247,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"b92dee2","unknown","unknown","unknown","unknown",0.0,"unknown",11.391517400741577,"unknown",35.19041919708252,"unknown",49.242703437805176,"unknown","unknown","unknown",76.35889720916748,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"50ec1c5",-274.759046792984,"unknown",-267.9466915130615,-262.5513687133789,0.0,5.471803665161133,19.331432342529297,27.37077021598816,62.1557731628418,68.80510330200195,88.85049366950989,95.87671184539795,"unknown",102.17755341529846,108.53182005882263,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",115.57902789115906,"unknown","unknown",121.28219389915466,"","",""
"11892fd",-88808.07260632515,"unknown",-88801.26056456566,-88794.55980396271,0.0,7.071045637130737,15.993160963058472,24.457297563552856,66.1900954246521,71.98904585838318,4142.178039312363,4149.240548372269,"unknown",4155.780561923981,4158.0472230911255,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",4165.2698431015015,"unknown","unknown",4172.254054546356,"","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-554.0067126750946,"unknown",-548.8348467350006,-542.7539377212524,0.0,6.012440919876099,12.034382820129395,18.89047336578369,31.48341727256775,38.06694269180298,65.2435827255249,71.80268359184265,"unknown",77.94774436950684,81.62387323379517,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.68201041221619,"unknown","unknown",93.56535315513611,"","",""
"ee4b6cd",-1313.5493199825287,"unknown",-1307.4497919082642,-1300.7518048286438,0.0,5.286844491958618,20.381967306137085,28.820827960968018,45.63093113899231,52.20179057121277,67.0452082157135,72.60296106338501,"unknown",78.52801156044006,80.26250505447388,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.26595664024353,"unknown","unknown",94.17969417572021,"","",""
