"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","2_1","2_2"
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-147083.7846417427,"unknown",-147078.07850265503,-147072.48031520844,0.0,6.032377481460571,11.077005624771118,18.006468296051025,32.46598410606384,38.68201780319214,43.63482403755188,49.07952046394348,"unknown",56.06466197967529,57.84100890159607,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.9118583202362,"unknown","unknown",71.40749835968018,"","",""
"47dcadc",-32720.51968383789,"unknown",-32714.489218235016,-32708.63782930374,0.0,6.896594047546387,14.713371992111206,22.893210887908936,49.498472690582275,55.71132564544678,90.73877143859863,97.02390646934509,"unknown",103.65124034881592,107.8843207359314,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",113.41103005409241,"unknown","unknown",120.7264654636383,"","",""
"233ee90",-373576.8623287678,"unknown",-373570.23546648026,-373563.77202534676,0.0,5.585197448730469,112.13689613342285,127.0189299583435,352.75352716445923,359.54995799064636,365.86709785461426,372.5810947418213,"unknown",379.56327867507935,381.5345809459686,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",388.37323665618896,"unknown","unknown",395.6062672138214,"","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-10650.02666258812,"unknown",-10644.229300498962,-10638.770009279251,0.0,6.246413946151733,10.495984315872192,18.740845203399658,26.388928174972534,32.40480637550354,36.497628927230835,42.09448862075806,"unknown",47.961251974105835,51.218812465667725,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",57.150883197784424,"unknown","unknown",62.60577750205994,"","",""
"ee4b6cd",-5274.015457391739,"unknown",-5267.194845676422,-5260.682792425156,0.0,5.593098163604736,20.055672883987427,27.753142833709717,65.7427020072937,71.89204525947571,81.758220911026,88.12982368469238,"unknown",93.80380511283875,98.63297128677368,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",104.89406991004944,"unknown","unknown",110.71046447753906,"","",""
"f2291ba",-445311.2998301983,"unknown",-445304.2866561413,-445297.631067276,0.0,6.335134267807007,33.0943808555603,40.974796772003174,54.4264976978302,60.70500659942627,72.47481846809387,78.8957269191742,"unknown",86.13660049438477,88.44432282447815,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",94.50068783760071,"unknown","unknown",100.11345982551575,"","",""
"fb6ca94",-1148193.1807768345,"unknown",-1148187.6719031334,-1148181.6714351177,0.0,7.028350830078125,9.563963413238525,17.323277711868286,26.83747124671936,32.53826951980591,36.78261709213257,42.71884036064148,"unknown",47.96692776679993,50.60632371902466,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",56.83582425117493,"unknown","unknown",63.44150638580322,"","",""
"516417f",-2942.5860435962677,"unknown",-2936.8879203796387,-2931.13099694252,0.0,7.296621322631836,13.659011840820312,21.74984383583069,40.88477802276611,47.98514127731323,55.676679611206055,62.616533041000366,"unknown",69.61048102378845,73.97127795219421,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.53950381278992,"unknown","unknown",85.23926019668579,"","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-22498.20131087303,"unknown",-22492.20775079727,-22485.49169588089,0.0,6.213573694229126,10.806124925613403,18.363565921783447,28.000644207000732,35.15473389625549,40.57702612876892,46.76315355300903,"unknown",52.05277895927429,54.05102896690369,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",59.629302978515625,"unknown","unknown",65.19918322563171,"","",""
"50a0fdd",-31.306900024414062,"unknown",-25.769571542739868,-19.614723920822144,0.0,6.241152048110962,12.21353268623352,19.425482988357544,30.458009958267212,37.02331829071045,41.67626714706421,47.530723094940186,"unknown",53.71475410461426,55.75844931602478,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.00899887084961,"unknown","unknown",68.39799427986145,"","",""
