"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","7_1","3_1"
"2dffb9e",-19.91546392440796,"unknown",-13.514136791229248,-8.166013956069946,0.0,5.4890525341033936,8.601592779159546,15.184292554855347,23.512332439422607,29.125351190567017,39.359233140945435,44.92993640899658,"unknown",51.66619157791138,53.56448698043823,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",60.75714874267578,"unknown","unknown",66.5532488822937,"","",""
"7a35b75",-28.9786114692688,"unknown",-21.744137048721313,-14.870052576065063,0.0,5.770017862319946,10.351134777069092,17.116294860839844,35.32290315628052,42.5011043548584,48.64629530906677,55.376441955566406,"unknown",62.22760629653931,64.65513300895691,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.76308703422546,"unknown","unknown",78.75668430328369,"","",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-2389.671151638031,"unknown",-2383.796313762665,-2376.9052319526672,0.0,6.471512079238892,8.788493871688843,16.2990882396698,28.178773641586304,34.77791976928711,47.47345781326294,54.7539849281311,"unknown",60.64060711860657,64.58736324310303,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",69.87653827667236,"unknown","unknown",76.89372515678406,"","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-203371.1763765812,"unknown",-203364.15052485466,-203358.8045706749,0.0,6.894615173339844,11.937796354293823,19.600590467453003,37.83966541290283,44.70733451843262,64.23538947105408,70.58211922645569,"unknown",77.69738745689392,79.38322305679321,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",85.76339149475098,"unknown","unknown",92.64633703231812,"","",""
"8ec15bc",-5145.550038099289,"unknown",-5138.56950378418,-5132.92204618454,0.0,6.620413780212402,8.185813426971436,16.097901105880737,67.59339165687561,72.91782975196838,118.00635838508606,123.72545862197876,"unknown",130.6820206642151,137.0692481994629,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",143.06500220298767,"unknown","unknown",149.39959335327148,"","",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-174159.45779395103,"unknown",-174153.71111941338,-174146.45643305779,0.0,5.804900407791138,8.910029172897339,16.36707067489624,31.89776849746704,38.26178765296936,43.147926330566406,48.70375728607178,"unknown",55.41543745994568,59.26478123664856,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.06392693519592,"unknown","unknown",71.84322166442871,"","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-4857218.786550283,"unknown",-4857211.947896004,-4857205.560856342,0.0,6.718252182006836,11.831058502197266,20.958921432495117,47.46699571609497,54.34410309791565,59.98027038574219,67.14784407615662,"unknown",72.65789341926575,74.86267042160034,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",81.31137871742249,"unknown","unknown",88.18885231018066,-3963.8362510204315,"",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-16881.745075702667,"unknown",-16876.059980869293,-16869.890372753143,0.0,6.588113069534302,14.94950270652771,23.07081699371338,41.56187176704407,48.226093769073486,55.653868675231934,61.58199453353882,"unknown",68.4779601097107,70.6867356300354,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.06810903549194,"unknown","unknown",82.77126908302307,"","",""
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-969.5588374137878,"unknown",-963.3587176799774,-956.9752967357635,0.0,6.404032468795776,10.656481981277466,18.259697437286377,32.39248967170715,39.516716957092285,52.005680561065674,58.614707231521606,"unknown",65.26361036300659,67.63102149963379,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.70407605171204,"unknown","unknown",80.57237219810486,"","",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-742.2258517742157,"unknown",-736.2727415561676,-729.8895401954651,0.0,6.253416299819946,13.195519924163818,20.298996925354004,40.093069314956665,45.885356426239014,52.57122611999512,58.27951645851135,"unknown",64.02324676513672,66.11320757865906,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.1224582195282,"unknown","unknown",80.36354517936707,"","",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-553073.4115490913,"unknown",-553067.4578306675,-553060.8580026627,0.0,7.072419166564941,11.429627895355225,19.729578256607056,41.2060067653656,47.62487483024597,52.3008713722229,58.07359957695007,"unknown",64.34588074684143,65.7218370437622,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.08566880226135,"unknown","unknown",79.2036395072937,"","",""
