"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc",-2590.6553449630737,-2584.797249317169,-2578.8294982910156,-2571.6760494709015,0.0,5.616633892059326,12.938169002532959,20.676873445510864,38.59322690963745,45.256380558013916,88.46764492988586,95.10618376731873,"unknown",101.7912700176239,105.52333569526672,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",111.1465003490448,"unknown","unknown",118.00949478149414,""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-3589.732705593109,-3583.4237382411957,-3576.22075343132,-3569.9557440280914,0.0,6.447283983230591,35.74504637718201,42.839210987091064,53.29518103599548,59.63057088851929,71.8425121307373,79.14801573753357,"unknown",85.6081612110138,92.66715288162231,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.55811595916748,"unknown","unknown",110.84604477882385,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-346867.63411831856,-346862.0024700165,-346854.9020628929,-346848.24367690086,0.0,6.203448295593262,28.747057914733887,36.74410438537598,54.16745209693909,60.372945070266724,103.04761362075806,"unknown",109.53947234153748,116.84038662910461,123.8407564163208,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",129.61297011375427,"unknown","unknown",135.23980951309204,""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-86380.51271247864,-86375.21486973763,-86368.21408128738,-86361.65681576729,0.0,5.532842397689819,10.344360589981079,18.61155605316162,32.65985369682312,38.13808298110962,61.47306728363037,67.51225209236145,"unknown",72.9978084564209,77.2737557888031,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.27206373214722,"unknown","unknown",90.19001889228821,""
"50a0fdd",-78.05343008041382,-72.23345947265625,-65.29218196868896,-58.1203191280365,0.0,6.049744367599487,8.160433530807495,16.439160585403442,26.441434621810913,33.574124813079834,73.21128058433533,80.1101438999176,"unknown",86.36435985565186,88.1173255443573,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.47027683258057,"unknown","unknown",103.1977756023407,""
"b7cec81",-117358.04250502586,-117351.06593060493,-117345.1220254898,-117338.82356739044,0.0,5.386167287826538,10.067099571228027,17.235615968704224,28.514395236968994,35.582409620285034,58.00805401802063,"unknown",64.70571041107178,70.10356736183167,71.92207670211792,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.65697622299194,"unknown","unknown",83.55808544158936,""
"bf983ba",-59287.14152574539,-59281.095682144165,-59274.72021961212,-59267.517827034,0.0,6.67505407333374,8.054218530654907,16.15097975730896,24.847954988479614,31.73683786392212,48.07165193557739,"unknown",55.002190828323364,60.80642056465149,62.3316695690155,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.38314509391785,"unknown","unknown",76.11098790168762,""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-4383.982882976532,-4377.26590514183,-4370.417507171631,-4364.68820643425,0.0,5.66205096244812,12.992197751998901,21.44170379638672,53.89283990859985,60.39499878883362,80.81783628463745,88.13471603393555,"unknown",93.79227781295776,96.76969194412231,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.32364344596863,"unknown","unknown",109.02386403083801,""
"2457ed6",-241237.10994315147,-241229.74937272072,-241224.4672498703,-241219.06112384796,0.0,7.117276906967163,12.236895084381104,19.429535150527954,42.37598967552185,49.32720875740051,81.22446894645691,"unknown",87.00439929962158,92.38660645484924,94.76555442810059,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.48694682121277,"unknown","unknown",107.53244423866272,""
"c4bba29",-198.38068914413452,-192.31579422950745,-185.83866262435913,-179.8845317363739,0.0,7.0661091804504395,10.694084644317627,18.440452337265015,37.04453992843628,43.98394966125488,53.5129919052124,"unknown",58.702462911605835,64.24792218208313,69.6518440246582,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.13139629364014,"unknown","unknown",81.51788139343262,""
"2dffb9e",-171.9801104068756,-165.1167230606079,-158.8944103717804,-153.65143966674805,0.0,5.479127407073975,9.721059560775757,16.6453697681427,27.28581976890564,33.67912697792053,47.54657578468323,"unknown",52.81692981719971,59.35764455795288,61.73575496673584,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.16161847114563,"unknown","unknown",76.97974586486816,""
"7a35b75",-62365.39872598648,-62359.769261837006,-62354.39688515663,-62347.87310051918,0.0,6.389725208282471,14.057515144348145,20.54114270210266,38.16381216049194,45.11059832572937,89.08074522018433,"unknown",94.37070679664612,100.54336929321289,102.60073399543762,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.37900066375732,"unknown","unknown",115.3372414112091,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-32345.169359445572,-32338.346920728683,-32332.357570409775,-32325.3210978508,0.0,6.192521333694458,11.04385757446289,18.60218381881714,34.13782477378845,39.44776463508606,87.31721544265747,94.241286277771,"unknown",101.25788927078247,103.73026919364929,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.1890377998352,"unknown","unknown",117.28419589996338,""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63",-185513.96748781204,-185508.20264792442,-185501.9059267044,-185495.3076632023,0.0,7.159319162368774,13.990071058273315,20.985840797424316,42.798251152038574,48.871851205825806,98.50593042373657,104.15338253974915,"unknown",109.75236392021179,112.24661684036255,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",118.19908332824707,"unknown","unknown",125.17888736724854,""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-7097.181881189346,-7091.0718331336975,-7083.980469226837,-7078.4258008003235,0.0,5.572305679321289,9.455852031707764,16.351386785507202,26.963213682174683,33.67320656776428,46.66963481903076,"unknown",53.673561334609985,60.75794172286987,62.71111273765564,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.08753108978271,"unknown","unknown",73.94912314414978,""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-78123.44062829018,-78117.25126767159,-78110.65320515633,-78105.25793600082,0.0,6.55375337600708,13.964136362075806,20.955647230148315,36.985050678253174,43.59369730949402,81.42721319198608,87.37521481513977,"unknown",94.17475867271423,96.23767900466919,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.66355514526367,"unknown","unknown",108.15116238594055,""
"8ec15bc",-22.384639739990234,-17.039613962173462,-10.761152505874634,-5.122887372970581,0.0,5.987072467803955,16.222073793411255,23.336124181747437,27.924580335617065,34.85125017166138,103.34214687347412,"unknown",110.31466484069824,116.3976845741272,117.83850407600403,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",124.16436982154846,"unknown","unknown",129.8239996433258,""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-117624.99368429184,-117619.39609527588,-117613.91650271416,-117607.94875526428,0.0,5.3405420780181885,10.696364879608154,18.475990295410156,19.680274724960327,26.79291343688965,49.44677662849426,"unknown",54.90807008743286,60.77735662460327,62.3626344203949,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.2984733581543,"unknown","unknown",74.80881905555725,""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-4253.082191944122,-4247.1759922504425,-4241.636979818344,-4235.982507228851,0.0,7.206433057785034,11.656322002410889,19.91813325881958,33.653701066970825,39.35349202156067,48.59205746650696,"unknown",53.89457321166992,60.91640281677246,330.76300406455994,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",336.8325238227844,"unknown","unknown",343.49110865592957,""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-17558.003806114197,-17551.869849920273,-17546.413665771484,-17540.720679044724,0.0,5.867225170135498,76.94353723526001,85.24512720108032,169.6927855014801,175.9454255104065,219.53686022758484,225.5064663887024,"unknown",230.9510805606842,307.8657190799713,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",313.5817129611969,"unknown","unknown",320.04315876960754,""
"07ff49d",-14178.818897724152,-14172.991234064102,-14166.777997493744,-14160.095071315765,0.0,6.724277019500732,14.559245586395264,22.10388708114624,35.34159231185913,42.45415663719177,61.53469204902649,"unknown",67.03206610679626,73.46882796287537,87.34541058540344,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",93.14435505867004,"unknown","unknown",98.78796315193176,""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-20774.423329114914,-20767.584568977356,-20761.669227838516,-20755.563815116882,0.0,6.6243791580200195,10.842550039291382,17.894654512405396,29.056076526641846,34.47092843055725,54.43681836128235,"unknown",60.12343239784241,65.95187664031982,75.53879690170288,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.74266624450684,"unknown","unknown",89.70430827140808,""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-8272800.468627214,-8272795.1362810135,-8272787.980202913,-8272781.819344759,0.0,19.388173580169678,29.54929757118225,48.261534452438354,65.15021014213562,74.48856520652771,110.82575225830078,"unknown",122.43097925186157,142.86971712112427,149.0968325138092,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",159.28764533996582,"unknown","unknown",172.69533109664917,-156.14924216270447
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-445.827556848526,-438.4635181427002,-432.66633224487305,-426.6935064792633,0.0,5.794739007949829,11.425845623016357,19.82606267929077,33.02642893791199,39.66035842895508,127.35146641731262,133.6156997680664,"unknown",140.74289774894714,155.14748334884644,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",160.5549864768982,"unknown","unknown",167.70749974250793,""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-279.78377890586853,-273.5426723957062,-266.4741892814636,-259.45615339279175,0.0,6.575265169143677,17.924854040145874,25.816565990447998,50.38794493675232,57.634592056274414,79.96969795227051,"unknown",85.9867811203003,92.57623147964478,95.23836922645569,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.4208447933197,"unknown","unknown",107.24914193153381,""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-443342.96507930756,-443337.0429177284,-443330.0361890793,-443324.78112077713,0.0,7.441969871520996,34.42660450935364,43.12121033668518,64.15051889419556,70.48459076881409,116.03095769882202,"unknown",121.52080178260803,127.01476979255676,128.831228017807,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",134.62754583358765,"unknown","unknown",140.73000717163086,""
"2ee7f92",-466.4658393859863,-459.83389925956726,-453.3340036869049,-447.9176244735718,0.0,5.942797660827637,7.7226879596710205,15.904165029525757,23.719000339508057,30.877280950546265,55.6779408454895,"unknown",61.46720314025879,68.48966336250305,70.40754747390747,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.71701121330261,"unknown","unknown",83.76359724998474,""
"89d63ed",-463.94547939300537,-457.50156903266907,-451.868780374527,-445.8246359825134,0.0,5.430454730987549,13.947456121444702,23.483722686767578,31.808459281921387,37.793795585632324,51.01616716384888,"unknown",58.37585783004761,65.45811319351196,67.48472332954407,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.4099531173706,"unknown","unknown",81.39255023002625,""
"c0a644e",-3094.044683456421,-3087.444447994232,-3081.50874042511,-3074.90922832489,0.0,5.949594736099243,15.493067502975464,22.4848735332489,36.17410898208618,42.41933584213257,53.119123697280884,"unknown",59.0872757434845,66.23418927192688,68.99220371246338,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.7726821899414,"unknown","unknown",80.616770029068,""
"80f558b",-1364.8680801391602,-1358.8809442520142,-1352.0357446670532,-1345.445897102356,0.0,5.5219337940216064,11.096715688705444,19.273987293243408,30.750375747680664,36.243886947631836,68.11253452301025,73.74615168571472,"unknown",80.74037981033325,82.85986495018005,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.30037069320679,"unknown","unknown",97.19759488105774,""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d",-410394.33059191704,-410388.6476714611,-410382.4381930828,-410375.6555609703,0.0,6.9790403842926025,14.382705450057983,21.96482825279236,51.27005624771118,56.81100082397461,102.82258701324463,108.81517457962036,"unknown",114.1145761013031,116.40287327766418,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",122.21764349937439,"unknown","unknown",129.3021490573883,""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-186.10616445541382,-116.25236892700195,-49.77876162528992,-4.266795635223389,0.0,5.337953329086304,12.715543270111084,20.800089120864868,26.516206741333008,32.560956954956055,38.02938199043274,"unknown",45.18878936767578,52.278977394104004,54.163530111312866,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.7818284034729,"unknown","unknown",67.52605509757996,""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-486488.5335459709,-486483.07061457634,-486475.87547016144,-486469.0949039459,0.0,6.578163146972656,10.670058250427246,19.32588219642639,35.22907590866089,42.191442251205444,119.4246084690094,"unknown",125.3469774723053,130.65508341789246,173.36801528930664,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",180.00287675857544,"unknown","unknown",186.07757759094238,""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118",-314896.86739587784,-314890.1994640827,-314883.49586486816,-314877.50833940506,0.0,6.999250411987305,13.294385194778442,21.525087356567383,35.495819091796875,41.913986921310425,59.70512771606445,"unknown",65.40460562705994,72.55261874198914,74.75382924079895,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",80.4980616569519,"unknown","unknown",87.449383020401,""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86",-8346.382029294968,-8340.061009168625,-8333.21198964119,-8325.87888598442,0.0,6.603107690811157,12.312095165252686,19.57755446434021,37.55191922187805,43.98879790306091,82.02995157241821,"unknown",87.53621768951416,94.35102891921997,96.57009148597717,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.47135305404663,"unknown","unknown",108.92842173576355,""
"7636563",-36.75302839279175,-29.977563858032227,-24.44384479522705,-17.8997061252594,0.0,6.728306293487549,9.477090120315552,18.24398422241211,34.93249320983887,41.36267375946045,90.32637095451355,"unknown",96.67270278930664,102.31830477714539,109.32739305496216,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",116.08761215209961,"unknown","unknown",122.96146583557129,""
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd",-3745.155633687973,-3738.8894896507263,-3731.975354194641,-3726.471599817276,0.0,6.1410791873931885,13.288092136383057,20.49417734146118,22.201611757278442,27.87668466567993,41.79190707206726,"unknown",47.674405336380005,54.55044341087341,56.21539926528931,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.15499210357666,"unknown","unknown",70.11642479896545,""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-42953.024361133575,-42946.74528217316,-42940.972162246704,-42934.82967495918,0.0,6.318174123764038,8.627755880355835,16.324963569641113,30.033275842666626,36.177207708358765,49.36638426780701,"unknown",54.9285147190094,61.17756772041321,63.376057386398315,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.02356839179993,"unknown","unknown",76.16793036460876,""
"c9285e4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd4b2f4",-4687.304126739502,-4680.071741342545,-4674.635822534561,-4668.1039979457855,0.0,7.03412127494812,9.6423180103302,16.468512535095215,85.45316410064697,91.62227940559387,106.33368515968323,112.91584801673889,"unknown",118.31675934791565,124.34148931503296,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.3071529865265,"unknown","unknown",137.7074909210205,""
