"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","7_1"
"7a35b75",-6027.5237765312195,"unknown",-6021.796104192734,-6014.768573522568,0.0,6.2383270263671875,12.084790229797363,19.302923917770386,41.04920554161072,48.03382086753845,58.51454544067383,65.74380111694336,"unknown",72.37363314628601,78.18974900245667,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",83.60353541374207,"unknown","unknown",91.83621716499329,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-6780.613565206528,"unknown",-6773.76162648201,-6768.0446927547455,0.0,6.972662448883057,10.493347406387329,18.1528799533844,32.06607174873352,38.909796714782715,50.8157057762146,57.00914430618286,"unknown",63.19028353691101,65.17595553398132,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.73417806625366,"unknown","unknown",78.63779330253601,""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63",-206.48996138572693,"unknown",-199.97857809066772,-194.29061198234558,0.0,6.268991231918335,10.207938432693481,17.399121046066284,44.49143838882446,50.502402782440186,62.31066274642944,68.44692826271057,"unknown",74.27735304832458,76.63850831985474,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.68626475334167,"unknown","unknown",88.81626176834106,""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-1725.943277835846,"unknown",-1720.3875424861908,-1714.1552338600159,0.0,5.456490993499756,8.486129522323608,16.334342002868652,27.25934147834778,33.19668769836426,38.56769824028015,"unknown",44.807164430618286,50.48795294761658,51.73815083503723,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",57.67552924156189,"unknown","unknown",63.35337710380554,""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-409663.8092226982,"unknown",-409656.8314385414,-409649.9540705681,0.0,7.270751714706421,40.78315234184265,47.77737998962402,64.47343134880066,70.34447264671326,79.52015280723572,"unknown",85.73147749900818,91.34010219573975,92.87222599983215,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",98.90759992599487,"unknown","unknown",104.25383877754211,""
"8ec15bc",-12262.154475212097,"unknown",-12255.672858953476,-12248.903731822968,0.0,6.3812994956970215,9.110199689865112,17.0197274684906,25.93237328529358,31.66420817375183,50.04523515701294,57.2478187084198,"unknown",64.40916895866394,92.6492645740509,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",98.94649529457092,"unknown","unknown",105.06526064872742,""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-978482.6754276752,"unknown",-978476.7571058273,-978471.0891842842,0.0,6.8503429889678955,10.637354373931885,17.959980726242065,101.84674429893494,109.30885887145996,114.04918622970581,120.37888383865356,"unknown",126.34667038917542,135.76134204864502,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",142.23502564430237,"unknown","unknown",148.27042722702026,""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-1271.9894177913666,"unknown",-1264.988460302353,-1258.555284500122,0.0,6.115597248077393,13.205857276916504,20.562135457992554,36.09286117553711,41.79775071144104,46.88029742240906,53.96733808517456,"unknown",59.29110026359558,61.210848808288574,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.64282155036926,"unknown","unknown",74.52718353271484,""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
