"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-3256.2134506702423,"unknown",-3249.7667648792267,-3244.4469809532166,0.0,6.397204399108887,16.31759238243103,21.971014261245728,36.25353670120239,41.92741894721985,94.39872574806213,101.38757061958313,"unknown",108.25873374938965,109.77041983604431,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",116.7747254371643,"unknown","unknown",122.17570328712463,"","","",""
"2457ed6",-209761.75562667847,"unknown",-209755.62895560265,-209749.1357176304,0.0,7.050939083099365,10.321102142333984,17.68562912940979,34.9959499835968,40.370283365249634,78.38678622245789,"unknown",84.46251511573792,89.74946975708008,92.1405577659607,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",97.54389500617981,"unknown","unknown",103.46116662025452,"","","",""
"c4bba29",-54.96407985687256,"unknown",-49.20987296104431,-43.834410190582275,0.0,7.329584360122681,13.049779176712036,20.034127235412598,42.9051628112793,50.101807832717896,69.02327418327332,74.96640634536743,"unknown",80.91901922225952,82.87142014503479,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.79953360557556,"unknown","unknown",94.54637289047241,"","","",""
"2dffb9e",-1220.6535332202911,"unknown",-1215.300888299942,-1208.3992414474487,0.0,7.282878875732422,9.43755054473877,15.604869604110718,26.604642391204834,33.53973841667175,50.83248043060303,56.95963430404663,"unknown",63.4659788608551,65.36571216583252,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.09899497032166,"unknown","unknown",76.97522830963135,"","","",""
"7a35b75",-20844.635831594467,"unknown",-20839.305644273758,-20832.853708982468,0.0,6.8033294677734375,12.311680793762207,18.61829948425293,37.24617028236389,43.162002086639404,108.80114126205444,115.21913719177246,"unknown",122.12193512916565,123.99136400222778,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",130.36391377449036,"unknown","unknown",137.62281560897827,"","","",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-25761.218303203583,"unknown",-25754.471568346024,-25748.47162437439,0.0,5.678829193115234,8.541836738586426,15.680554628372192,58.926300048828125,66.11470580101013,98.75253582000732,105.12139391899109,"unknown",112.17803239822388,120.65728092193604,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",127.26820683479309,"unknown","unknown",133.22402358055115,"","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63",-9620.63773727417,"unknown",-9614.307322978973,-9607.299367427826,0.0,6.4062299728393555,9.817259073257446,16.323519945144653,38.81335663795471,45.62437605857849,67.30930995941162,74.15728664398193,"unknown",81.39476680755615,83.09557127952576,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.23397779464722,"unknown","unknown",97.12871289253235,"","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-86.34035444259644,"unknown",-79.75523471832275,-74.290762424469,0.0,6.337970495223999,12.971948146820068,19.889647960662842,34.72632646560669,41.43204402923584,52.071773290634155,58.09543704986572,"unknown",63.92314314842224,65.30624079704285,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.32876300811768,"unknown","unknown",79.32080221176147,"","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-3832.100349664688,"unknown",-3824.9280297756195,-3818.767509460449,0.0,6.5567967891693115,17.549159288406372,23.994298219680786,39.81066179275513,45.45927357673645,53.393980264663696,58.697531938552856,"unknown",64.90123295783997,66.69483518600464,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.37712931632996,"unknown","unknown",80.23232793807983,"","","",""
"8ec15bc",-12965.852042198181,"unknown",-12959.086857795715,-12952.476585388184,0.0,6.8627049922943115,19.733306169509888,25.38654375076294,26.591869592666626,33.55057692527771,63.190356969833374,"unknown",69.9541482925415,75.50253176689148,76.89178252220154,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.78517866134644,"unknown","unknown",89.09924054145813,"","","",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-7069.349420547485,"unknown",-7061.959148406982,-7055.884465456009,0.0,5.617486238479614,11.995129108428955,17.41859269142151,130.38983845710754,137.46139359474182,144.1910364627838,150.28653073310852,"unknown",156.08949208259583,158.30226945877075,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",164.0747354030609,"unknown","unknown",170.12116193771362,"","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-3240.0195457935333,"unknown",-3234.4185285568237,-3228.819995880127,0.0,6.0023415088653564,43.63507390022278,49.15882754325867,68.01154899597168,75.09029698371887,92.56376433372498,99.00201892852783,"unknown",105.84729671478271,107.84063911437988,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.3044798374176,"unknown","unknown",120.3458342552185,"","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-20664.51518893242,"unknown",-20657.821450948715,-20651.30913209915,0.0,5.927575588226318,11.51234221458435,17.93094825744629,32.35833120346069,39.031524658203125,52.1397340297699,58.52840805053711,"unknown",64.60021758079529,70.35055541992188,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.6529188156128,"unknown","unknown",83.42101788520813,"","","",""
"07ff49d",-8942.03367972374,"unknown",-8936.20862865448,-8930.244222164154,0.0,5.870126485824585,9.782256603240967,15.822547912597656,52.64453935623169,58.52914071083069,64.82905292510986,72.0912230014801,"unknown",78.00431323051453,94.93275260925293,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.11835360527039,"unknown","unknown",108.05731892585754,"","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-25388.76478457451,"unknown",-25383.002370119095,-25376.544917583466,0.0,5.825740098953247,13.118400573730469,20.384679555892944,35.03028631210327,40.609076738357544,175.90859079360962,183.02589559555054,"unknown",190.00660490989685,195.9076132774353,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",202.20828223228455,"unknown","unknown",207.82508397102356,"","","",""
"ad2fc5b",-83.22136640548706,"unknown",-77.7867341041565,-72.30556654930115,0.0,6.199376344680786,16.423985719680786,22.339666604995728,58.150200843811035,64.685715675354,80.47616672515869,87.20998048782349,"unknown",92.74806189537048,95.52206373214722,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.98301815986633,"unknown","unknown",106.98212575912476,"","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-603.4842731952667,"unknown",-596.619553565979,-590.1123189926147,0.0,5.739869832992554,51.54236960411072,58.33508658409119,925.0413110256195,930.6979827880859,1003.0115969181061,1009.2754683494568,"unknown",1015.1413207054138,1032.2387750148773,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",1037.6587674617767,"unknown","unknown",1043.5030372142792,"","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-4259.274303436279,"unknown",-4252.577167272568,-4246.96644282341,0.0,6.622451066970825,9.723128318786621,15.1246337890625,27.812781810760498,34.21587777137756,45.11482071876526,50.94595789909363,"unknown",57.08241820335388,59.24173069000244,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.91374325752258,"unknown","unknown",71.73944616317749,"","","",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-17829.258811473846,"unknown",-17822.13803601265,-17814.999498844147,0.0,5.866313934326172,19.39647650718689,24.613201141357422,43.53420376777649,49.19372344017029,71.00333404541016,76.48028588294983,"unknown",83.45449185371399,92.92668390274048,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.74090099334717,"unknown","unknown",106.94730710983276,"","","",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
