"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","5_1"
"bd4b2f4",-157977.67374706268,"unknown",-157970.95230269432,-157964.02256178856,0.0,6.666645526885986,8.408772706985474,16.509332180023193,32.65229535102844,38.59692883491516,52.020474910736084,"unknown",58.475414514541626,64.9662675857544,71.28814506530762,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.56068301200867,"unknown","unknown",83.08840227127075,"",""
"bd650e8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b81bc6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0ff20c2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b0e3caa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45f7f6c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1df700a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3a396c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79b129c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d85b5c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43b56f8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ecbabb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c9c92b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f9b9236",-7199.878646612167,"unknown",-7193.706549882889,-7187.6849954128265,0.0,7.061560392379761,23.459422826766968,32.873958587646484,44.60594940185547,51.7608802318573,65.55197358131409,"unknown",71.95053195953369,77.27168202400208,80.75547361373901,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.90570425987244,"unknown","unknown",92.47000527381897,"",""
"4a0236d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7a265d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912afde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c97639e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"af72486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2517d9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e88a68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9d97673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aa07d95",-116761.28121805191,"unknown",-116754.1912844181,-116747.11673974991,0.0,6.328919410705566,8.092056512832642,14.843155145645142,17.553801774978638,24.496405363082886,98.25720596313477,"unknown",104.41749835014343,110.9158227443695,113.04940104484558,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",119.45582342147827,"unknown","unknown",126.40155172348022,"",""
"d27b032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38c4951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13dba9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e6d310e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8c74aa5",-2259.6873762607574,"unknown",-2252.356478691101,-2246.6334619522095,0.0,6.183633327484131,41.82261323928833,50.8146755695343,53.310063123703,58.64470386505127,70.46565222740173,76.50697493553162,"unknown",83.63798880577087,84.56147289276123,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.27804684638977,"unknown","unknown",97.7772319316864,"",""
"679fa36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b164bf7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7e62763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c7a7d85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3b7f267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa1efad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ae58bf1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"492238f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43c977d",-162877.53207325935,"unknown",-162870.5662767887,-162864.7047355175,0.0,6.409579038619995,12.436401128768921,20.9340877532959,33.8325617313385,40.8331458568573,99.07992124557495,"unknown",104.70299983024597,110.22376704216003,112.42639994621277,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",118.66426205635071,"unknown","unknown",125.43832540512085,"",""
"4eff6be","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e1b193b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1415cd3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2953e33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a540012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dd88e0f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d135983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"814517e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53deb5c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4cf342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c1a9909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"844ab34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fc2538d",-1016.5187482833862,"unknown",-1010.7995319366455,-1005.1536004543304,0.0,5.774365663528442,1065.27863407135,1073.196050643921,2123.0391545295715,2129.245433330536,2134.9835085868835,"unknown",2141.681128025055,2147.1705956459045,14052.33645939827,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",14058.36521244049,"unknown","unknown",14064.870242118835,"",""
