"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1","5_1"
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5",-1014.1087965965271,"unknown",-1007.4894714355469,-1000.2930819988251,0.0,7.163058757781982,33.93412446975708,40.39004468917847,85.42706370353699,92.14360427856445,145.89102935791016,152.6402771472931,"unknown",158.5643184185028,162.32668256759644,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",168.0729386806488,"unknown","unknown",173.75925970077515,"",""
"11892fd",-554432.1148767471,"unknown",-554426.3165709972,-554419.485421896,0.0,6.8524205684661865,12.90273404121399,18.232368230819702,42.90093111991882,50.07441830635071,78.88961958885193,"unknown",85.57710480690002,92.05394911766052,94.37296438217163,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",100.70844435691833,"unknown","unknown",107.75857520103455,"",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-13109.580377817154,"unknown",-13103.25403547287,-13097.520299911499,0.0,5.971717596054077,11.9878408908844,18.56844186782837,34.83323311805725,41.49624156951904,113.25753855705261,118.59581708908081,"unknown",124.9715485572815,131.1442985534668,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",136.85971355438232,"unknown","unknown",143.58489894866943,"",""
"ee4b6cd",-1375.4907302856445,"unknown",-1369.7710196971893,-1364.374742269516,0.0,5.4523234367370605,10.66727352142334,15.967481136322021,43.16758465766907,50.14983320236206,64.04938840866089,"unknown",70.48814272880554,76.68896460533142,86.14122033119202,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",91.85463237762451,"unknown","unknown",98.46430349349976,"",""
"f2291ba",-465557.6618051529,"unknown",-465551.4214103222,-465544.4565393925,0.0,6.846799612045288,12.796139240264893,18.96706795692444,62.99390435218811,69.42896223068237,79.77128887176514,"unknown",85.89740467071533,92.6913275718689,96.45155048370361,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",103.61879539489746,"unknown","unknown",109.58993458747864,"",""
"fb6ca94",-841572.5423212051,"unknown",-841566.8119192123,-841560.9342489243,0.0,5.535962343215942,7.6726720333099365,14.017833948135376,50.609405755996704,56.97607398033142,84.64280676841736,90.6988172531128,"unknown",97.77664184570312,100.65378069877625,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",107.78546261787415,"unknown","unknown",113.46345949172974,"",""
"516417f",-166982.27025413513,"unknown",-166975.25074219704,-166967.9939415455,0.0,7.0513715744018555,16.723823308944702,21.93069076538086,55.447112798690796,60.7769730091095,121.35481691360474,"unknown",128.28877687454224,133.5329990386963,136.36439514160156,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",143.17540383338928,"unknown","unknown",150.10786867141724,-62233.7312579155,""
"7a0eabe",-3598.573830127716,"unknown",-3591.5104126930237,-3584.2362854480743,0.0,5.6761298179626465,12.937615633010864,19.010921955108643,49.48327422142029,55.63169598579407,80.98493432998657,86.77143931388855,"unknown",93.77953100204468,95.77038860321045,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",102.77493619918823,"unknown","unknown",108.99815583229065,"",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-59149.36450767517,"unknown",-59142.661722660065,-59136.11975288391,0.0,6.569275140762329,11.748424768447876,18.597266674041748,35.557796478271484,42.18894982337952,53.856353998184204,"unknown",59.997638463974,66.57661890983582,69.1090497970581,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",75.56623816490173,"unknown","unknown",81.05663895606995,"",""
"50a0fdd",-2540.6378269195557,"unknown",-2534.0573127269745,-2527.048262357712,0.0,5.592298746109009,11.428229093551636,17.70880627632141,43.67189025878906,49.76619505882263,62.21970510482788,"unknown",69.19523406028748,74.9939374923706,77.91168904304504,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",84.84545993804932,"unknown","unknown",91.24758768081665,"",""
"b7cec81",-54900.775891542435,"unknown",-54895.30992650986,-54889.741485118866,0.0,6.303991794586182,10.662362337112427,16.79204559326172,32.89963626861572,39.17238974571228,73.86673426628113,"unknown",79.28600931167603,84.63967895507812,86.88551783561707,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",93.03328585624695,"unknown","unknown",100.18074774742126,"",""
"bf983ba",-288.3363769054413,"unknown",-282.9967370033264,-275.8830132484436,0.0,5.290108680725098,6.9645140171051025,13.249322891235352,24.07969903945923,31.103217840194702,45.35337853431702,"unknown",51.69885802268982,58.11638331413269,60.13335156440735,67.28622579574585,70.11976861953735,76.40875267982483,"unknown",82.63888669013977,84.77177429199219,"unknown","","unknown","unknown","unknown",90.8988938331604,"unknown",97.80511617660522,"",""
"b53b559",-469063.32948613167,"unknown",-469057.0601270199,-469051.116109848,0.0,6.5910727977752686,17.974379301071167,25.132331371307373,73.06750750541687,78.79849147796631,117.16055345535278,"unknown",123.08295917510986,128.6621470451355,132.1983814239502,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",138.98151803016663,"unknown","unknown",145.19691443443298,"",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004",-2661.205041885376,"unknown",-2653.909603834152,-2647.3419563770294,0.0,6.547281980514526,8.690982818603516,15.829132795333862,5860.277051210403,5866.916301250458,5874.906152248383,5880.340059995651,"unknown",5885.945353507996,10061.064873456955,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",10067.119877815247,"unknown","unknown",10073.655251026154,"",""
"7b3c431",-447135.2471187115,"unknown",-447128.53169608116,-447123.10692071915,0.0,6.172269582748413,34.78680467605591,40.73619747161865,64.2754271030426,69.95943927764893,111.58770322799683,117.07826232910156,"unknown",123.4078209400177,125.08675360679626,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",130.75491952896118,"unknown","unknown",137.48788475990295,"",""
"2457ed6",-5756.517613172531,"unknown",-5750.174527645111,-5744.078852176666,0.0,6.177351951599121,9.05881404876709,14.90671992301941,35.940085649490356,41.576008796691895,66.74310946464539,"unknown",73.72743797302246,79.29117441177368,81.06438422203064,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",88.13219285011292,"unknown","unknown",93.91708850860596,"",""
"c4bba29",-59.720613956451416,"unknown",-52.601391553878784,-45.44360852241516,0.0,6.695656776428223,8.684789180755615,15.409300804138184,39.62891173362732,46.87097907066345,111.03892755508423,"unknown",116.99604916572571,122.76865363121033,124.45271897315979,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",129.9800088405609,"unknown","unknown",135.37839126586914,"",""
"2dffb9e",-3953.291863679886,"unknown",-3946.163859128952,-3940.551956653595,0.0,7.102886199951172,12.021883249282837,17.831247091293335,35.643391132354736,42.95528864860535,49.411662101745605,"unknown",56.206671714782715,61.91035079956055,64.34334540367126,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",69.64685320854187,"unknown","unknown",76.86321187019348,"",""
"7a35b75",-5684.22168636322,"unknown",-5677.532806634903,-5670.83193230629,0.0,7.078433036804199,13.896600484848022,20.063907623291016,44.91198539733887,51.44525861740112,95.58392071723938,"unknown",102.45721197128296,107.79335522651672,109.77220559120178,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",116.25451564788818,"unknown","unknown",123.2860209941864,"",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f",-90.55912804603577,"unknown",-84.85106062889099,-79.28696012496948,0.0,5.965837001800537,7.6241135597229,13.944034814834595,30.986162424087524,38.112281799316406,76.55232095718384,82.66719770431519,"unknown",87.96830487251282,89.53608059883118,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",96.56160354614258,"unknown","unknown",101.96136403083801,"",""
"58b1c8e",-5238.833324432373,"unknown",-5232.072694778442,-5225.031043052673,0.0,7.31838321685791,11.287828207015991,18.076497793197632,45.0856409072876,51.468039751052856,64.99202013015747,"unknown",70.5275719165802,77.13184452056885,79.57568264007568,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",86.36388659477234,"unknown","unknown",92.2745451927185,"",""
"bf3dfcf",-111296.99882936478,"unknown",-111291.4866566658,-111285.66619729996,0.0,6.491108179092407,10.36043119430542,15.798240661621094,19.84415340423584,26.754058361053467,107.71994757652283,"unknown",113.4696307182312,119.91490530967712,121.64248609542847,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",128.53899574279785,"unknown","unknown",135.25284624099731,"",""
"80e625f",-804115.3885111809,"unknown",-804108.4491176605,-804102.2139723301,0.0,6.7045066356658936,16.613831758499146,22.256713151931763,42.75171875953674,49.002113819122314,91.34488654136658,"unknown",97.51163911819458,103.50021719932556,113.57490253448486,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",120.88636493682861,"unknown","unknown",126.67739772796631,"",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-20596.165966510773,"unknown",-20590.01334309578,-20584.556430339813,0.0,6.357214689254761,7.852521181106567,14.372335195541382,63.538397550582886,70.70652318000793,114.29345464706421,120.05312705039978,"unknown",125.36065411567688,127.31207203865051,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",133.54896116256714,"unknown","unknown",139.9795253276825,"",""
"0a30844",-230500.6515598297,"unknown",-230494.25239539146,-230487.93063664436,0.0,6.6814494132995605,13.910978078842163,19.261993408203125,61.70414209365845,67.64150142669678,93.43405294418335,99.2598488330841,"unknown",105.47219491004944,108.8819990158081,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",114.91521048545837,"unknown","unknown",120.49966502189636,"",""
"43d0b63",-7171.677498102188,"unknown",-7166.120699167252,-7159.064754009247,0.0,6.214045763015747,13.596782445907593,19.17040228843689,49.56922149658203,55.58175206184387,80.79173493385315,"unknown",86.49625015258789,92.44119501113892,96.13069224357605,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",102.7283296585083,"unknown","unknown",108.13171577453613,"",""
"addf295",-3117.1973869800568,"unknown",-3110.54149723053,-3104.0437004566193,0.0,5.307942628860474,7.323970794677734,13.054097175598145,83.32967185974121,89.17967486381531,188.754234790802,"unknown",195.6499900817871,201.96429181098938,206.74517583847046,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",211.95209455490112,"unknown","unknown",217.24250388145447,"",""
"1a8e45b",-396.79893708229065,"unknown",-390.6827094554901,-383.9802553653717,0.0,5.585753679275513,10.6084885597229,17.428894758224487,30.119017601013184,36.1766791343689,48.92509937286377,54.91932654380798,"unknown",60.90519142150879,62.87107253074646,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",69.80501389503479,"unknown","unknown",76.2936601638794,"",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434",-614077.0501496792,"unknown",-614070.0732221603,-614063.6115620136,0.0,5.7926881313323975,14.931194067001343,20.790894269943237,38.647608041763306,45.085631370544434,61.642165660858154,"unknown",68.61872339248657,75.04845476150513,76.81787848472595,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",82.51911520957947,"unknown","unknown",88.52602744102478,-272991.7592039108,""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-458.1495943069458,"unknown",-452.09125232696533,-445.7348687648773,0.0,5.7949628829956055,13.606538772583008,19.379181385040283,38.967254400253296,48.145240783691406,69.70710062980652,"unknown",75.29872703552246,81.28160285949707,83.10248064994812,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",89.69352388381958,"unknown","unknown",96.9619140625,"",""
"8ec15bc",-2785.7953114509583,"unknown",-2779.8602406978607,-2774.3652160167694,0.0,5.6146910190582275,8.018005609512329,14.156835079193115,36.323082447052,42.11459445953369,52.50495100021362,"unknown",58.664018869400024,64.78388500213623,68.66515755653381,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",75.17580914497375,"unknown","unknown",81.39046859741211,"",""
"6c8906b",-633585.8305103779,"unknown",-633579.2150764465,-633572.1084041595,0.0,6.376690149307251,19.26744508743286,26.31567072868347,53.225377798080444,59.37606620788574,8623999.33869028,8624006.162379503,"unknown",8624012.051623344,8624014.356514215,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",8624020.475018024,"unknown","unknown",8624026.572182894,"",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-26023.814539670944,"unknown",-26017.712642669678,-26010.517354488373,0.0,7.020036697387695,10.180094242095947,15.838416576385498,29.251842260360718,34.63565111160278,43.850783824920654,"unknown",49.29802918434143,54.69219207763672,57.28218078613281,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",63.82208061218262,"unknown","unknown",70.33148837089539,"",""
"a300755",-92166.29394125938,"unknown",-92159.95265126228,-92153.91327190399,0.0,7.074892282485962,10.625389814376831,17.23024320602417,31.411654949188232,36.572839975357056,46.88443326950073,"unknown",52.71848487854004,59.062087535858154,60.76224637031555,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",66.58842134475708,"unknown","unknown",72.22070980072021,"",""
"802d704",-16515.91816854477,"unknown",-16505.35618376732,-16499.316792488098,0.0,10.301011085510254,15.569855690002441,28.9063081741333,55.8151593208313,64.15358114242554,78.701180934906,"unknown",86.98355507850647,102.37278485298157,104.4800181388855,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",117.77038407325745,"unknown","unknown",126.10194802284241,"",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-5456.959949970245,"unknown",-5451.243716716766,-5443.977474927902,0.0,5.994691371917725,9.472316980361938,16.092626571655273,38.00178527832031,44.10307312011719,69.0589599609375,"unknown",76.2053017616272,83.22310853004456,86.27833127975464,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",92.86594653129578,"unknown","unknown",99.82438135147095,"",""
"7bb45d3",-2156.100363254547,"unknown",-2150.3058998584747,-2143.1428825855255,0.0,6.9521825313568115,8.941291093826294,14.721332311630249,45.54532718658447,51.206936836242676,75.16234302520752,"unknown",81.31532001495361,87.50309562683105,89.65544652938843,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",95.07186508178711,"unknown","unknown",101.12974214553833,"",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-2086.451639175415,"unknown",-2079.9960930347443,-2074.7540349960327,0.0,5.412135601043701,19535.207644939423,19542.017412662506,19561.443139076233,19567.40354204178,19591.47677922249,"unknown",19598.07369184494,19604.707380771637,19609.107194423676,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",19614.92572593689,"unknown","unknown",19620.89205479622,"",""
