"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1","5_1","4_1","4_2"
"9846ca8",-13310.625300884247,"unknown",-13305.169226884842,-13299.572047948837,0.0,6.266881465911865,13.486009359359741,20.548275470733643,33.14563202857971,40.04186201095581,58.76914834976196,"unknown",64.54684233665466,69.96859288215637,74.0325083732605,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",80.56507921218872,"unknown","unknown",86.06905055046082,"","","",""
"cc02471",-1488.8570427894592,"unknown",-1483.3514807224274,-1476.5559720993042,0.0,6.997223854064941,12.83122205734253,19.532367706298828,32.8993616104126,39.59110879898071,147.85717964172363,"unknown",153.65413856506348,159.20260763168335,161.596093416214,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",167.82257390022278,"unknown","unknown",173.45629572868347,"","","",""
"0a30844",-114172.43287301064,"unknown",-114165.72922801971,-114159.32034182549,0.0,6.51459002494812,11.12131643295288,17.63181495666504,30.437161684036255,36.3146116733551,52.013720989227295,59.2374541759491,"unknown",66.04682612419128,68.60243940353394,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",74.67482852935791,"unknown","unknown",80.18450403213501,"","","",""
"43d0b63",-15060.946576833725,"unknown",-15053.95232796669,-15047.990850925446,0.0,6.498605251312256,14.038131952285767,20.554191827774048,38.487537145614624,45.104655265808105,61.241430044174194,66.64249157905579,"unknown",73.85390567779541,75.18525910377502,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",81.41091442108154,"unknown","unknown",88.37423324584961,"","","",""
"addf295",-134486.20859098434,"unknown",-134480.70524644852,-134472.8772702217,0.0,5.3538219928741455,10.880353927612305,16.890201330184937,83.80181813240051,90.56415390968323,111.01311087608337,"unknown",117.84328126907349,123.71504640579224,125.25945997238159,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",131.56042957305908,"unknown","unknown",137.23060178756714,-103113.11260342598,"","",""
"1a8e45b",-11705.516903162003,"unknown",-11699.555418252945,-11693.63515329361,0.0,6.59494161605835,11.655633449554443,18.46728801727295,26.873075485229492,32.83515286445618,44.46520948410034,"unknown",50.99190425872803,58.268863916397095,59.897249698638916,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",65.87073493003845,"unknown","unknown",72.81434512138367,"","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434",-224592.07080340385,"unknown",-224586.61854743958,-224579.89997935295,0.0,5.2929158210754395,15.118711709976196,20.362191677093506,32.84933948516846,39.2687406539917,58.79594397544861,"unknown",65.893798828125,72.02998352050781,74.22664046287537,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",80.62034940719604,"unknown","unknown",87.37610983848572,"","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-4122.619179010391,"unknown",-4115.808852434158,-4108.351339817047,0.0,6.814854860305786,48.70499277114868,55.55502223968506,69.24968600273132,74.79551649093628,92.13779711723328,"unknown",98.67093062400818,105.80427289009094,107.2704701423645,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",114.44776701927185,"unknown","unknown",121.80830502510071,"","","",""
"8ec15bc",-55891.30327486992,"unknown",-55885.5142519474,-55879.036137104034,0.0,6.999352693557739,8.324491500854492,14.867327451705933,16.764553546905518,22.946839570999146,65.92851996421814,73.1435866355896,"unknown",79.8504285812378,82.35447692871094,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",88.52823305130005,"unknown","unknown",94.49484777450562,"","","",""
