"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-15878.935219049454,"unknown",-15872.067591905594,-15864.779206991196,0.0,5.989499092102051,13.280172348022461,24.800723791122437,42.176284313201904,48.65343618392944,60.013495683670044,"unknown",65.8217842578888,72.66546869277954,74.31988716125488,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.60042095184326,"unknown","unknown",88.83252811431885,""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-53395.61245846748,"unknown",-53390.166046857834,-53383.91279244423,0.0,6.444958686828613,19.360938787460327,27.859232664108276,43.058839082717896,112.28303527832031,121.72998356819153,"unknown",190.43996500968933,235.2960467338562,237.75070524215698,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",244.26465964317322,"unknown","unknown",250.40466332435608,""
"50a0fdd",-64.22378325462341,"unknown",-57.451740980148315,-52.100351333618164,0.0,6.60555624961853,11.692549228668213,20.131597757339478,33.939812421798706,40.17695927619934,52.60005450248718,"unknown",58.59760856628418,64.114741563797,65.79384922981262,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.60260510444641,"unknown","unknown",79.40655517578125,""
"b7cec81",-25551.372782468796,"unknown",-25546.022119045258,-25538.861647367477,0.0,7.304288148880005,10.278286933898926,19.2261860370636,27.98575258255005,34.5653121471405,52.265998125076294,"unknown",58.12507653236389,64.09464383125305,66.63658714294434,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.14028286933899,"unknown","unknown",80.05170202255249,""
"bf983ba",-3619.453654050827,"unknown",-3612.809523820877,-3606.8681535720825,0.0,6.637177467346191,39.18493390083313,46.853243827819824,91.48277139663696,98.31991982460022,105.05613136291504,110.47191452980042,"unknown",116.34416937828064,118.12425398826599,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",124.06193256378174,"unknown","unknown",131.21612095832825,""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-3775.2728266716003,"unknown",-3768.212213039398,-3761.7288620471954,0.0,7.284355640411377,13.797836065292358,21.91625165939331,39.029118061065674,45.1341872215271,53.04888844490051,"unknown",59.18645429611206,65.67624616622925,68.1925618648529,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.07621788978577,"unknown","unknown",82.2923059463501,""
"2457ed6",-100399.72481012344,"unknown",-100392.63986754417,-100386.41376948357,0.0,6.7153356075286865,10.242305755615234,17.841453790664673,30.67448329925537,36.30103158950806,52.01224970817566,"unknown",57.268638134002686,63.489280462265015,67.47773504257202,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.43102622032166,"unknown","unknown",79.94230937957764,""
"c4bba29",-3051.7032005786896,"unknown",-3046.0228095054626,-3040.0417292118073,0.0,7.134987831115723,11.818230390548706,18.864015579223633,41.1788649559021,47.736849546432495,63.1857213973999,"unknown",68.65724539756775,74.90988755226135,77.15477991104126,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.86845350265503,"unknown","unknown",90.33232307434082,""
"2dffb9e",-1155.71160030365,"unknown",-1148.9064865112305,-1142.4178068637848,0.0,6.657407522201538,8.483176708221436,15.417057514190674,29.984845638275146,36.568737268447876,46.34029459953308,"unknown",52.686715602874756,58.762624979019165,60.57849860191345,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.10895848274231,"unknown","unknown",72.92783999443054,""
"7a35b75",-19474.283074378967,"unknown",-19468.950363636017,-19462.52666759491,0.0,5.861880540847778,8.897840023040771,17.3775417804718,65.54270315170288,71.03526282310486,83.71007180213928,"unknown",89.32786703109741,95.88204336166382,97.53062033653259,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",104.62071490287781,"unknown","unknown",110.0941731929779,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-35457.30398106575,"unknown",-35451.859481334686,-35445.791039943695,0.0,7.203195095062256,8.463265419006348,15.557259321212769,39.28931498527527,45.85442543029785,124.63632917404175,"unknown",131.44063019752502,137.2038938999176,146.02883863449097,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",152.16117668151855,"unknown","unknown",158.06300473213196,""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63",-32697.48087334633,"unknown",-32690.203064918518,-32683.099221229553,0.0,5.819544792175293,10.594018459320068,19.234394788742065,38.34433102607727,43.976104736328125,129.2656111717224,"unknown",135.1399712562561,141.42593693733215,143.03547835350037,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",150.12039971351624,"unknown","unknown",156.20703768730164,""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-7231.802728652954,"unknown",-7225.748244524002,-7219.785356760025,0.0,6.873008728027344,9.309711933135986,15.94023871421814,24.43600630760193,30.140907764434814,35.15080785751343,"unknown",41.42403602600098,47.683987617492676,49.33081912994385,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.74222660064697,"unknown","unknown",60.8543004989624,""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-429035.94528508186,"unknown",-429028.7557477951,-429022.48391342163,0.0,5.923163175582886,10.122797966003418,17.64726233482361,467.92051434516907,475.08635354042053,484.8991892337799,"unknown",491.60807490348816,498.4464478492737,500.6349837779999,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",507.1049520969391,"unknown","unknown",514.2042045593262,""
