"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_3","otro_final"
"5c97513","C","","C","B","","","B"
"bf71578","","","","","","",""
"f799335","","","","","","",""
"ef7d623","A","","A","B","","","B"
"6412561","","","","","","",""
"48ce715","","","","","","",""
"4aabc57","","","","","","",""
"daa0e98","","","","","","",""
"f8a30f5","","","","","","",""
"87007b4","","","","","","",""
"5e09b84","A","","A","A","","","A"
"48ba4ef","","","","","","",""
"2541155","A","","A","A","","","A"
"6289e6c","A","","A","A","","","A"
"db046f2","A","","A","A","","","A"
"d2678bc","","","","","","",""
"741ef32","A","","A","C","A","","A"
"7b3c431","B","","B","A","","","A"
"bd650e8","A","","A","A","","","A"
"79da67a","","","","","","",""
"52d61f6","A","","A","B","","","B"
"d91bf84","C","","C","A","","","A"
"a7a34c0","","","","","","",""
"c17e360","C","","C","C","","","C"
"01cf486","","","","","","",""
"44167d5","A","","A","A","","","A"
"d2b514b","","","","","","",""
"e0d7dcb","","","","","","",""
"a921a9b","","","","","","",""
"4c7f106","","","","","","",""
"6c3f0f6","C","","C","B","","","B"
"a123713","A","","A","A","","","A"
"25f4734","C","","C","C","","","C"
"e6de912","B","","B","A","","","A"
"bea3da5","","","","","","",""
"03fd6a4","","","","","","",""
"c9fe84a","","","","","","",""
"5b603bb","","","","","","",""
"64581b1","","","","","","",""
"b3d1f62","","","","","","",""
"64eef60","","","","","","",""
"06600a3","","","","","","",""
"89d63ed","A","","A","B","C","","C"
"4ac71cf","","","","","","",""
"048c402","","","","","","",""
"56dc5c6","","","","","","",""
"05ed313","","","","","","",""
"969fd46","","","","","","",""
"11acd26","","","","","","",""
"844ab34","C","","C","B","","","B"
"0327530","C","","C","A","","","A"
"088d8b4","","","","","","",""
"a300755","C","","C","B","","","B"
"f0a4194","B","","B","A","","","A"
"6eb7840","","","","","","",""
"07b298c","B","","B","B","C","A","A"
"b164bf7","A","","A","A","","","A"
"aa9ac00","B","","B","B","","","B"
"43b56f8","B","","B","A","","","A"
"3b7f267","A","","A","C","","","C"
"07e810f","","","","","","",""
"1fdc0e6","","","","","","",""
"528d0fe","A","","A","C","","","C"
"8f8a090","","","","","","",""
"76bbc0d","A","B","B","B","","","B"
"5eb33a0","","","","","","",""
"4af2fee","A","","A","B","","","B"
"ece9ce7","A","","A","A","","","A"
"ea052b5","","","","","","",""
"1b88f70","A","","A","B","","","B"
"8c7b6a3","","","","","","",""
"7779cac","","","","","","",""
"8c74aa5","A","","A","A","","","A"
"11593e6","","","","","","",""
"7bb45d3","C","","C","A","","","A"
"fcf59af","B","","B","B","","","B"
"a2d2ca9","","","","","","",""
"9d1768d","","","","","","",""
"c98a1d1","","","","","","",""
"dac5780","","","","","","",""
"c504abb","","","","","","",""
"6855e68","","","","","","",""
"f2a5eb7","","","","","","",""
"4f9d5d5","","","","","","",""
"804c32f","B","","B","C","","","C"
"b92ee81","","","","","","",""
"905df17","","","","","","",""
"c55c183","B","C","C","A","","","A"
"51bed37","","","","","","",""
"8d5112a","","","","","","",""
"c27d92c","","","","","","",""
"ea6a84c","","","","","","",""
"6172c09","","","","","","",""
"49c80c9","","","","","","",""
"ac6f3f6","B","","B","A","","","A"
"ff125d4","B","","B","C","","","C"
"a54cf83","B","","B","B","","","B"
"eff7ebe","A","","A","A","","","A"
"2457ed6","B","","B","A","","","A"
"61d9d14","A","","A","A","","","A"
"023b7ed","","","","","","",""
"12638ee","","","","","","",""
"813d55b","","","","","","",""
"f1132e1","","","","","","",""
"b456b75","","","","","","",""
"2dffb9e","A","","A","A","","","A"
"0d45844","","","","","","",""
"938fe7a","","","","","","",""
"bce1b27","","","","","","",""
"60a02cd","C","","C","A","","","A"
"9d97673","A","","A","A","","","A"
"dd64cdc","","","","","","",""
"15aab55","","","","","","",""
"e513259","","","","","","",""
"529d907","","","","","","",""
"4c8a5bc","A","","A","A","","","A"
"ddd1219","","","","","","",""
"2a968a7","","","","","","",""
"80f558b","C","","C","B","","","B"
"ad2fc5b","C","","C","B","","","B"
"7a54533","A","","A","A","","","A"
"051761f","A","","A","C","","","C"
"3c0c7c1","B","","B","B","","","B"
"22fdb61","B","","B","C","","","C"
"11e5d50","A","","A","A","","","A"
"b53b559","B","","B","A","","","A"
"d318264","A","","A","A","","","A"
"a5bc4f7","","","","","","",""
"d7c82ab","","","","","","",""
"d6e6c31","","","","","","",""
"65b2a4c","","","","","","",""
"b2b24fe","","","","","","",""
"e581545","C","","C","A","","","A"
"2dd02a9","","","","","","",""
"f8deaaa","","","","","","",""
"644830a","B","","B","A","","","A"
"fa529ac","","","","","","",""
"ced331f","B","","B","B","","","B"
"7636563","A","","A","A","","","A"
"bc8f353","","","","","","",""
"90ccafb","B","","B","A","","","A"
"e9e1409","B","","B","C","","","C"
"0fa3c49","A","","A","A","","","A"
"5732911","","","","","","",""
"eacd6a3","B","","B","A","","","A"
"618406d","","","","","","",""
"870795f","","","","","","",""
"87e4f18","A","","A","A","","","A"
"b568148","","","","","","",""
"890df05","","","","","","",""
"80701a1","","","","","","",""
"c899adb","C","","C","A","","","A"
"b2621a2","A","","A","A","A","","A"
"fbea372","","","","","","",""
"68c3192","A","","A","B","","","B"
"0570fc1","","","","","","",""
"0145af8","","","","","","",""
"1117a63","C","","C","C","","","C"
"5d6ad7f","A","","A","A","","","A"
"7d9c3_1","C","","C","B","","","B"
"aa68b7a","A","","A","A","","","A"
"db101d1","","","","","","",""
"0b7193d","","","","","","",""
"73c3f48","B","","B","A","","","A"
"2da3cc8","","","","","","",""
"6bf6d44","","","","","","",""
"003406f","","","","","","",""
"fc2538d","C","","C","A","","","A"
"b457044","","","","","","",""
"07ff49d","A","","A","A","","","A"
"9417b2f","","","","","","",""
"6e412a8","","","","","","",""
"0d651b0","","","","","","",""
"db9112b","","","","","","",""
"472d42a","","","","","","",""
"ac3a94c","C","","C","A","","","A"
"5d9ae0c","A","","A","A","","","A"
"14d2bac","","","","","","",""
"89f120b","A","","A","A","","","A"
"fd01af9","B","","B","B","","","B"
"355c1ed","","","","","","",""
"f3ac65f","","","","","","",""
"3114f94","","","","","","",""
"cd54d57","","","","","","",""
"1f68249","","","","","","",""
"7c9678a","B","","B","C","","","C"
"facfe1c","","","","","","",""
"e51496b","A","","A","B","","","B"
"6bf803f","","","","","","",""
"6c8906b","B","","B","A","","","A"
"af1ec0b","","","","","","",""
"db0051d","A","","A","A","","","A"
"4569a12","","","","","","",""
"c810da6","","","","","","",""
"18b736b","","","","","","",""
"87e086c","B","","B","A","","","A"
"7c7ee1e","","","","","","",""
"cc02471","A","","A","C","","","C"
"e3ae59a","A","","A","A","","","A"
"b90cecc","","","","","","",""
"35adcf1","C","","C","C","","","C"
"bf983ba","B","","B","C","C","","C"
"672a06a","","","","","","",""
"fc4adfc","B","","B","B","","","B"
"78603ec","A","","A","A","","","A"
"6245828","","","","","","",""
"c845818","","","","","","",""
"3b65cc8","","","","","","",""
"b0a2535","","","","","","",""
"a412254","","","","","","",""
"1c202a8","B","","B","B","","","B"
"ad2af75","","","","","","",""
"d8ecf99","A","","A","C","","","C"
"c28b1a9","A","B","B","B","","","B"
"b05306f","","","","","","",""
"826fbf5","","","","","","",""
"817282d","","","","","","",""
"45b5efa","","","","","","",""
"d0c20cf","","","","","","",""
"addf295","C","","C","A","","","A"
"e5bb5fe","","","","","","",""
"a3ff1ab","B","","B","A","","","A"
"79868cd","B","","B","A","","","A"
"9bcb545","","","","","","",""
"912afde","B","","B","A","","","A"
"7b5fed8","","","","","","",""
"d85b5c4","B","","B","A","","","A"
"1ac925b","","","","","","",""
"20f3e2e","A","","A","B","","","B"
"c16eb71","B","","B","A","","","A"
"a83d90e","","","","","","",""
"b7a265d","A","","A","A","","","A"
"50efa5d","","","","","","",""
"1116780","B","","B","A","","","A"
"7018506","","","","","","",""
"dea26ad","","","","","","",""
"1f77294","","","","","","",""
"aa3e305","","","","","","",""
"498b325","","","","","","",""
"c4e8c1a","","","","","","",""
"e892cd4","A","","A","A","","","A"
"e30a541","","","","","","",""
"f496964","B","","B","A","","","A"
"ac6ecda","B","","B","B","","","B"
"b8ec123","B","","B","A","","","A"
"80b4cbf","","","","","","",""
"99775ba","C","","C","B","","","B"
"e246307","","","","","","",""
"bd305b8","C","","C","B","","","B"
"32980f8","","","","","","",""
"8c6e198","","","","","","",""
"31e12d6","","","","","","",""
"4a0236d","B","","B","A","","","A"
"e1efd4f","","","","","","",""
"80e625f","B","","B","B","","","B"
"170bd80","C","","C","C","","","C"
"28e0968","","","","","","",""
"89bbcd3","B","","B","B","","","B"
"4306a35","","","","","","",""
"32851d2","","","","","","",""
"11892fd","C","","C","B","","","B"
"a984aad","","","","","","",""
"7a0eabe","A","","A","A","","","A"
"17b5a6e","A","","A","A","","","A"
"7d9a43d","","","","","","",""
"a975113","A","","A","A","","","A"
"9f79cf4","A","","A","A","","","A"
"e8a0b7a","A","","A","B","","","B"
"b068203","","","","","","",""
"3317f09","","","","","","",""
"39dc9b8","B","","B","A","","","A"
