"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"ddd1219","","","","","",""
"2a968a7","","","","","",""
"80f558b","C","","C","C","","C"
"ad2fc5b","C","","C","C","","C"
"7a54533","B","","B","A","","A"
"051761f","C","","C","C","","C"
"3c0c7c1","C","","C","C","","C"
"22fdb61","C","","C","C","","C"
"11e5d50","C","","C","C","","C"
"b53b559","B","","B","B","","B"
"d318264","B","","B","C","","C"
"a5bc4f7","","","","","",""
"d7c82ab","","","","","",""
"d6e6c31","","","","","",""
"65b2a4c","","","","","",""
"b2b24fe","","","","","",""
"e581545","","","","","",""
"2dd02a9","","","","","",""
"f8deaaa","","","","","",""
"644830a","","","","","",""
"fa529ac","","","","","",""
"ced331f","B","","B","A","","A"
"7636563","C","","C","C","","C"
"bc8f353","","","","","",""
"90ccafb","C","","C","C","","C"
"e9e1409","C","","C","C","","C"
"0fa3c49","","","","","",""
"5732911","","","","","",""
"eacd6a3","B","","B","C","","C"
"618406d","","","","","",""
"870795f","","","","","",""
"87e4f18","C","","C","C","","C"
"b568148","","","","","",""
"890df05","","","","","",""
"80701a1","","","","","",""
"c899adb","C","","C","B","","B"
"b2621a2","C","","C","C","","C"
"fbea372","","","","","",""
"68c3192","B","","B","B","","B"
"0570fc1","","","","","",""
"0145af8","","","","","",""
"1117a63","C","","C","B","","B"
"5d6ad7f","B","","B","A","A","A"
"7d9c3_1","C","","C","C","","C"
"aa68b7a","B","","B","C","","C"
"db101d1","","","","","",""
"0b7193d","","","","","",""
"73c3f48","","","","","",""
"2da3cc8","","","","","",""
"6bf6d44","","","","","",""
"003406f","","","","","",""
"fc2538d","C","","C","B","","B"
"b457044","","","","","",""
"07ff49d","C","","C","C","","C"
"9417b2f","","","","","",""
"6e412a8","","","","","",""
"0d651b0","","","","","",""
"db9112b","","","","","",""
"472d42a","","","","","",""
"ac3a94c","C","","C","B","","B"
"5d9ae0c","B","","B","B","","B"
"14d2bac","","","","","",""
"89f120b","B","","B","A","","A"
"fd01af9","","","","","",""
"355c1ed","","","","","",""
"f3ac65f","","","","","",""
"3114f94","","","","","",""
"cd54d57","","","","","",""
"1f68249","","","","","",""
"7c9678a","","","","","",""
"facfe1c","","","","","",""
"e51496b","","","","","",""
"6bf803f","","","","","",""
"6c8906b","C","","C","B","C","C"
"af1ec0b","","","","","",""
"db0051d","C","","C","C","","C"
"4569a12","","","","","",""
"c810da6","","","","","",""
"18b736b","","","","","",""
"87e086c","C","","C","B","","B"
"7c7ee1e","","","","","",""
"cc02471","C","B","B","C","","C"
"e3ae59a","","","","","",""
"b90cecc","","","","","",""
"35adcf1","C","","C","C","","C"
"bf983ba","C","","C","C","","C"
"672a06a","","","","","",""
"fc4adfc","","","","","",""
"78603ec","","","","","",""
"6245828","","","","","",""
"c845818","","","","","",""
"3b65cc8","","","","","",""
"b0a2535","","","","","",""
"a412254","","","","","",""
"1c202a8","C","","C","B","","B"
"ad2af75","","","","","",""
"d8ecf99","","","","","",""
"c28b1a9","C","","C","C","","C"
"b05306f","","","","","",""
"826fbf5","","","","","",""
"817282d","","","","","",""
"45b5efa","","","","","",""
"d0c20cf","","","","","",""
"addf295","A","","A","A","","A"
"e5bb5fe","","","","","",""
"a3ff1ab","C","","C","C","","C"
"79868cd","C","","C","C","","C"
"9bcb545","","","","","",""
"912afde","B","","B","A","","A"
"7b5fed8","","","","","",""
"d85b5c4","B","","B","A","","A"
"1ac925b","","","","","",""
"20f3e2e","B","","B","B","","B"
"c16eb71","","","","","",""
"a83d90e","","","","","",""
"b7a265d","A","","A","A","","A"
"50efa5d","","","","","",""
"1116780","","","","","",""
"7018506","","","","","",""
"dea26ad","","","","","",""
"1f77294","","","","","",""
"aa3e305","","","","","",""
"498b325","","","","","",""
"c4e8c1a","","","","","",""
"e892cd4","B","","B","B","","B"
"e30a541","","","","","",""
"f496964","C","","C","C","","C"
"ac6ecda","B","","B","C","","C"
"b8ec123","C","","C","A","","A"
"80b4cbf","","","","","",""
"99775ba","B","","B","B","","B"
"e246307","","","","","",""
"bd305b8","C","","C","B","","B"
"32980f8","","","","","",""
"8c6e198","","","","","",""
"31e12d6","","","","","",""
"4a0236d","A","B","B","C","","C"
"e1efd4f","","","","","",""
"80e625f","C","","C","C","","C"
"170bd80","C","","C","C","","C"
"28e0968","","","","","",""
"89bbcd3","C","","C","C","","C"
"4306a35","","","","","",""
"32851d2","","","","","",""
"11892fd","C","","C","B","","B"
"a984aad","","","","","",""
"7a0eabe","A","","A","A","","A"
"17b5a6e","C","","C","A","","A"
"7d9a43d","","","","","",""
"a975113","C","","C","B","","B"
"9f79cf4","","","","","",""
"e8a0b7a","","","","","",""
"b068203","","","","","",""
"3317f09","","","","","",""
"39dc9b8","B","","B","B","","B"
"8fd863f","B","","B","A","","A"
"7384692","C","","C","B","","B"
"839a53c","","","","","",""
"4828266","B","C","C","C","","C"
"e0111ac","","","","","",""
"8fe0c53","","","","","",""
"b12b978","","","","","",""
"6067843","","","","","",""
"0514a07","","","","","",""
"942d694","","","","","",""
"9a1b5fa","C","","C","C","","C"
"fffd3b6","","","","","",""
"619e952","C","","C","C","","C"
"485801f","","","","","",""
"a0bd77e","","","","","",""
"492238f","C","","C","B","","B"
"37798a6","B","","B","C","","C"
"65fc101","","","","","",""
"bba08e8","","","","","",""
"b0e3caa","C","B","B","B","","B"
"d874e84","B","","B","A","","A"
"060cd49","","","","","",""
"4bb7fd2","","","","","",""
"2d5866b","","","","","",""
"db844b1","A","","A","B","","B"
"eccfff0","C","","C","B","","B"
"8f6fe4e","","","","","",""
"e88c741","","","","","",""
"e73b255","","","","","",""
"e928aa4","","","","","",""
"ea8c0d6","C","","C","C","","C"
"0fb7584","","","","","",""
"527d11d","","","","","",""
"e4aa5eb","","","","","",""
"64155b9","C","","C","C","","C"
"d35583d","","","","","",""
"ce1d155","","","","","",""
"c6d68df","","","","","",""
"5769925","","","","","",""
"730747e","C","","C","C","","C"
"be94a32","C","","C","B","","B"
"b716a75","","","","","",""
"277dd85","","","","","",""
"41011fc","","","","","",""
"6f1360e","","","","","",""
"435e788","","","","","",""
"5b2f970","","","","","",""
"49bd7ab","","","","","",""
"47eea0f","","","","","",""
"99ee852","C","","C","C","","C"
"ac42d69","C","","C","C","","C"
"fb6ca94","C","","C","C","","C"
"c0b0b8d","","","","","",""
"d0c28bd","","","","","",""
"f72baab","","","","","",""
"7de2a3d","C","","C","C","","C"
"0a30844","B","","B","C","","C"
"16c851e","","","","","",""
"374ecf8","B","","B","C","","C"
"6b36bf5","B","","B","B","","B"
"a12b731","","","","","",""
"f84d8ce","","","","","",""
"3a03bea","C","","C","C","","C"
"56191c0","","","","","",""
"cb28371","B","","B","C","","C"
"dee5269","C","","C","A","","A"
"45dcec0","","","","","",""
"fa86f6c","","","","","",""
"2535794","","","","","",""
"c09d25e","","","","","",""
"e2447f7","","","","","",""
"fa6a8b8","A","","A","A","","A"
"f6ffd76","C","","C","A","","A"
"5f84339","","","","","",""
"0d5233e","C","","C","A","","A"
"f11e43a","","","","","",""
"916c172","C","","C","C","","C"
"5883800","","","","","",""
"f578367","","","","","",""
"43c977d","C","","C","C","","C"
"1d235c1","C","","C","C","","C"
"4c228f6","B","","B","B","","B"
"755e429","","","","","",""
"022a3c8","","","","","",""
"d524668","","","","","",""
"844fef2","C","","C","B","","B"
"e3983fc","","","","","",""
"29d5c2d","","","","","",""
"c8e93ba","","","","","",""
"35c93ab","","","","","",""
"36b4ec5","C","","C","A","","A"
"3883e37","","","","","",""
"50ec1c5","C","","C","A","","A"
"e0e4f04","","","","","",""
"6801018","B","","B","B","","B"
"e1b193b","C","","C","B","","B"
"12dfda3","","","","","",""
"431a1f2","","","","","",""
"466a0ab","C","","C","C","","C"
"b93f60e","","","","","",""
"98b4423","","","","","",""
"965ec7c","","","","","",""
"1d3b63b","","","","","",""
"6099d06","C","","C","B","","B"
"814517e","C","","C","B","","B"
"56ee475","C","","C","C","","C"
"e845b6b","C","","C","B","","B"
"3458a8b","","","","","",""
"047f2ca","C","","C","C","","C"
"a80b75d","","","","","",""
"1b1a108","","","","","",""
"dbef0f1","","","","","",""
"5d2b358","B","","B","C","","C"
"c36bc4b","","","","","",""
"f2e6813","","","","","",""
"173b4d2","","","","","",""
"98ecb86","B","","B","C","","C"
"bf3dfcf","C","","C","C","","C"
"b75259d","C","","C","B","","B"
"b5edd3c","C","B","B","C","","C"
"dbe3880","C","","C","C","","C"
"d27b032","C","","C","C","","C"
"5ba2fe6","","","","","",""
"e6d310e","B","","B","A","","A"
"0e42357","","","","","",""
"5d4fcbe","C","","C","C","","C"
"e98cdcd","C","","C","B","","B"
"3129a5f","","","","","",""
"3c60f14","","","","","",""
"fbc9f8e","","","","","",""
"e2517d9","B","","B","A","","A"
"4eff6be","B","","B","A","","A"
"d886e8c","","","","","",""
"518e9b8","C","","C","A","","A"
"0ff20c2","C","","C","B","","B"
"47dcadc","C","","C","B","","B"
"168adfc","","","","","",""
"1883ca0","C","","C","C","","C"
"37b9a9f","C","","C","C","","C"
"44c4439","","","","","",""
"d8c6137","","","","","",""
"cde024d","","","","","",""
"41f497c","B","","B","C","","C"
"9cfbb83","C","","C","C","","C"
"13dba9e","C","","C","B","","B"
"2969d00","","","","","",""
"a28c2ed","","","","","",""
"53deb5c","C","","C","C","","C"
"7baeff7","","","","","",""
"1800004","A","","A","A","","A"
"758fff8","","","","","",""
"e56df1e","","","","","",""
"f9b9236","C","","C","C","","C"
"6c8f107","","","","","",""
"959908d","","","","","",""
"7cf831f","B","","B","B","","B"
"152aa4d","C","","C","C","","C"
"4997357","C","","C","C","B","B"
"390c370","","","","","",""
"0975113","","","","","",""
"145d339","B","","B","B","","B"
"9ff15be","","","","","",""
"c97639e","C","","C","A","","A"
"d3e37eb","C","","C","C","","C"
"0fd9ca7","C","","C","C","","C"
"2d90b99","","","","","",""
"024f546","","","","","",""
"190aebe","","","","","",""
"4a92bfd","C","","C","C","","C"
"388a24f","","","","","",""
"c2d349a","","","","","",""
