"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"f8deaaa","","","","","",""
"644830a","A","","A","A","","A"
"fa529ac","","","","","",""
"ced331f","A","","A","A","","A"
"7636563","A","","A","A","","A"
"bc8f353","","","","","",""
"90ccafb","A","","A","A","","A"
"e9e1409","A","","A","C","","C"
"0fa3c49","A","","A","A","","A"
"5732911","","","","","",""
"eacd6a3","B","","B","A","","A"
"618406d","","","","","",""
"870795f","","","","","",""
"87e4f18","A","","A","A","","A"
"b568148","","","","","",""
"890df05","A","","A","A","","A"
"80701a1","","","","","",""
"c899adb","A","","A","A","","A"
"b2621a2","B","","B","A","","A"
"fbea372","","","","","",""
"68c3192","C","","C","C","","C"
"0570fc1","","","","","",""
"0145af8","","","","","",""
"1117a63","B","","B","C","","C"
"5d6ad7f","A","","A","A","","A"
"7d9c3_1","B","","B","A","","A"
"aa68b7a","A","","A","B","","B"
"db101d1","","","","","",""
"0b7193d","","","","","",""
"73c3f48","A","","A","A","","A"
"2da3cc8","","","","","",""
"6bf6d44","","","","","",""
"003406f","","","","","",""
"fc2538d","A","","A","A","","A"
"b457044","","","","","",""
"07ff49d","A","","A","A","","A"
"9417b2f","","","","","",""
"6e412a8","","","","","",""
"0d651b0","","","","","",""
"db9112b","","","","","",""
"472d42a","","","","","",""
"ac3a94c","A","","A","A","","A"
"5d9ae0c","A","","A","A","","A"
"14d2bac","","","","","",""
"89f120b","A","","A","A","","A"
"fd01af9","A","","A","A","","A"
"355c1ed","","","","","",""
"f3ac65f","","","","","",""
"3114f94","","","","","",""
"cd54d57","","","","","",""
"1f68249","","","","","",""
"7c9678a","B","","B","C","","C"
"facfe1c","","","","","",""
"e51496b","A","","A","B","","B"
"6bf803f","","","","","",""
"6c8906b","A","","A","A","","A"
"af1ec0b","","","","","",""
"db0051d","A","","A","A","","A"
"4569a12","A","","A","A","","A"
"c810da6","","","","","",""
"18b736b","","","","","",""
"87e086c","A","","A","A","","A"
"7c7ee1e","","","","","",""
"cc02471","A","","A","A","","A"
"e3ae59a","A","","A","A","A","A"
"b90cecc","","","","","",""
"35adcf1","A","","A","A","","A"
"bf983ba","B","","B","B","","B"
"672a06a","","","","","",""
"fc4adfc","A","","A","A","","A"
"78603ec","A","","A","B","","B"
"6245828","","","","","",""
"c845818","","","","","",""
"3b65cc8","A","","A","C","","C"
"b0a2535","","","","","",""
"a412254","","","","","",""
"1c202a8","B","","B","B","","B"
"ad2af75","","","","","",""
"d8ecf99","B","","B","C","","C"
"c28b1a9","A","","A","A","","A"
"b05306f","","","","","",""
"826fbf5","","","","","",""
"817282d","","","","","",""
"45b5efa","","","","","",""
"d0c20cf","","","","","",""
"addf295","B","","B","B","","B"
"e5bb5fe","B","","B","C","","C"
"a3ff1ab","A","","A","A","","A"
"79868cd","A","","A","A","","A"
"9bcb545","","","","","",""
"912afde","A","","A","A","","A"
"7b5fed8","","","","","",""
"d85b5c4","A","","A","A","","A"
"1ac925b","","","","","",""
"20f3e2e","A","","A","A","","A"
"c16eb71","B","","B","B","","B"
"a83d90e","","","","","",""
"b7a265d","B","","B","C","","C"
"50efa5d","","","","","",""
"1116780","A","","A","A","","A"
"7018506","","","","","",""
"dea26ad","","","","","",""
"1f77294","A","","A","A","","A"
"aa3e305","","","","","",""
"498b325","","","","","",""
"c4e8c1a","","","","","",""
"e892cd4","A","","A","A","","A"
"e30a541","","","","","",""
"f496964","A","","A","B","","B"
"ac6ecda","A","","A","A","","A"
"b8ec123","B","","B","C","","C"
"80b4cbf","","","","","",""
"99775ba","A","","A","A","","A"
"e246307","","","","","",""
"bd305b8","A","","A","A","","A"
"32980f8","A","","A","A","","A"
"8c6e198","","","","","",""
"31e12d6","","","","","",""
"4a0236d","B","","B","C","","C"
"e1efd4f","","","","","",""
"80e625f","A","","A","A","","A"
"170bd80","B","","B","B","","B"
"28e0968","","","","","",""
"89bbcd3","A","","A","A","","A"
"4306a35","","","","","",""
"32851d2","","","","","",""
"11892fd","A","","A","A","","A"
"a984aad","","","","","",""
"7a0eabe","A","","A","A","","A"
"17b5a6e","A","","A","A","","A"
"7d9a43d","","","","","",""
"a975113","B","","B","C","","C"
"9f79cf4","A","","A","A","","A"
"e8a0b7a","A","","A","A","","A"
"b068203","","","","","",""
"3317f09","","","","","",""
"39dc9b8","A","","A","A","","A"
"8fd863f","A","","A","A","","A"
"7384692","B","","B","A","","A"
"839a53c","","","","","",""
"4828266","A","","A","A","","A"
"e0111ac","","","","","",""
"8fe0c53","","","","","",""
"b12b978","","","","","",""
"6067843","","","","","",""
"0514a07","B","","B","B","","B"
"942d694","","","","","",""
"9a1b5fa","C","","C","C","","C"
"fffd3b6","","","","","",""
"619e952","B","","B","C","","C"
"485801f","","","","","",""
"a0bd77e","","","","","",""
"492238f","A","","A","C","","C"
"37798a6","A","","A","A","","A"
"65fc101","","","","","",""
"bba08e8","","","","","",""
"b0e3caa","A","","A","A","","A"
"d874e84","A","","A","A","","A"
"060cd49","","","","","",""
"4bb7fd2","","","","","",""
"2d5866b","","","","","",""
"db844b1","A","","A","C","","C"
"eccfff0","A","","A","A","","A"
"8f6fe4e","","","","","",""
"e88c741","","","","","",""
"e73b255","","","","","",""
"e928aa4","","","","","",""
"ea8c0d6","A","","A","A","","A"
"0fb7584","","","","","",""
"527d11d","A","","A","B","","B"
"e4aa5eb","","","","","",""
"64155b9","B","","B","C","","C"
"d35583d","","","","","",""
"ce1d155","A","","A","A","","A"
"c6d68df","","","","","",""
"5769925","","","","","",""
"730747e","A","","A","A","","A"
"be94a32","B","","B","A","","A"
"b716a75","","","","","",""
"277dd85","","","","","",""
"41011fc","A","","A","A","","A"
"6f1360e","A","","A","A","","A"
"435e788","","","","","",""
"5b2f970","","","","","",""
"49bd7ab","A","","A","B","","B"
"47eea0f","","","","","",""
"99ee852","A","","A","A","","A"
"ac42d69","B","","B","C","","C"
"fb6ca94","A","","A","A","","A"
"c0b0b8d","","","","","",""
