"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"802d704","","","","","",""
"97879de","","","","","",""
"6568ea1","C","","C","C","","C"
"2cd7961","","","","","",""
"ca96db9","","","","","",""
"c1a9909","","","","","",""
"acc6118","C","","C","B","","B"
"2f5762a","B","","B","C","","C"
"399b994","","","","","",""
"b16e558","","","","","",""
"4c072d3","","","","","",""
"1e88a68","","","","","",""
"62447b9","A","","A","A","","A"
"5455b1d","","","","","",""
"220d07a","","","","","",""
"8a2ad40","","","","","",""
"5c97513","","","","","",""
"bf71578","","","","","",""
"f799335","","","","","",""
"ef7d623","","","","","",""
"6412561","","","","","",""
"48ce715","","","","","",""
"4aabc57","","","","","",""
"daa0e98","","","","","",""
"f8a30f5","","","","","",""
"87007b4","","","","","",""
"5e09b84","","","","","",""
"48ba4ef","","","","","",""
"2541155","B","","B","B","","B"
"6289e6c","","","","","",""
"db046f2","","","","","",""
"d2678bc","","","","","",""
"741ef32","B","","B","C","","C"
"7b3c431","C","","C","A","","A"
"bd650e8","","","","","",""
"79da67a","","","","","",""
"52d61f6","A","","A","A","B","B"
"d91bf84","C","","C","C","","C"
"a7a34c0","","","","","",""
"c17e360","","","","","",""
"01cf486","","","","","",""
"44167d5","","","","","",""
"d2b514b","","","","","",""
"e0d7dcb","","","","","",""
"a921a9b","","","","","",""
"4c7f106","","","","","",""
"6c3f0f6","","","","","",""
"a123713","","","","","",""
"25f4734","","","","","",""
"e6de912","C","","C","C","","C"
"bea3da5","","","","","",""
"03fd6a4","","","","","",""
"c9fe84a","","","","","",""
"5b603bb","","","","","",""
"64581b1","","","","","",""
"b3d1f62","","","","","",""
"64eef60","","","","","",""
"06600a3","","","","","",""
"89d63ed","C","","C","B","","B"
"4ac71cf","","","","","",""
"048c402","","","","","",""
"56dc5c6","","","","","",""
"05ed313","","","","","",""
"969fd46","","","","","",""
"11acd26","","","","","",""
"844ab34","","","","","",""
"0327530","C","","C","B","","B"
"088d8b4","","","","","",""
"a300755","","","","","",""
"f0a4194","","","","","",""
"6eb7840","","","","","",""
"07b298c","","","","","",""
"b164bf7","","","","","",""
"aa9ac00","","","","","",""
"43b56f8","","","","","",""
"3b7f267","","","","","",""
"07e810f","","","","","",""
"1fdc0e6","","","","","",""
"528d0fe","","","","","",""
"8f8a090","","","","","",""
"76bbc0d","B","","B","B","","B"
"5eb33a0","","","","","",""
"4af2fee","","","","","",""
"ece9ce7","","","","","",""
"ea052b5","","","","","",""
"1b88f70","","","","","",""
"8c7b6a3","","","","","",""
"7779cac","","","","","",""
"8c74aa5","A","","A","C","B","B"
"11593e6","","","","","",""
"7bb45d3","","","","","",""
"fcf59af","","","","","",""
"a2d2ca9","","","","","",""
"9d1768d","","","","","",""
"c98a1d1","","","","","",""
"dac5780","","","","","",""
"c504abb","","","","","",""
"6855e68","","","","","",""
"f2a5eb7","","","","","",""
"4f9d5d5","","","","","",""
"804c32f","","","","","",""
"b92ee81","","","","","",""
"905df17","","","","","",""
"c55c183","","","","","",""
"51bed37","","","","","",""
"8d5112a","","","","","",""
"c27d92c","","","","","",""
"ea6a84c","","","","","",""
"6172c09","","","","","",""
"49c80c9","","","","","",""
"ac6f3f6","C","","C","B","","B"
"ff125d4","","","","","",""
"a54cf83","","","","","",""
"eff7ebe","B","","B","B","","B"
"2457ed6","B","","B","B","","B"
"61d9d14","","","","","",""
"023b7ed","","","","","",""
"12638ee","","","","","",""
"813d55b","","","","","",""
"f1132e1","","","","","",""
"b456b75","","","","","",""
"2dffb9e","A","","A","A","","A"
"0d45844","","","","","",""
"938fe7a","","","","","",""
"bce1b27","","","","","",""
"60a02cd","","","","","",""
"9d97673","","","","","",""
"dd64cdc","","","","","",""
"15aab55","","","","","",""
"e513259","","","","","",""
"529d907","","","","","",""
"4c8a5bc","","","","","",""
"ddd1219","","","","","",""
"2a968a7","","","","","",""
"80f558b","B","C","C","C","","C"
"ad2fc5b","C","","C","C","","C"
"7a54533","B","","B","A","","A"
"051761f","","","","","",""
"3c0c7c1","","","","","",""
"22fdb61","","","","","",""
"11e5d50","C","","C","C","","C"
"b53b559","","","","","",""
"d318264","","","","","",""
"a5bc4f7","","","","","",""
"d7c82ab","","","","","",""
"d6e6c31","","","","","",""
"65b2a4c","","","","","",""
"b2b24fe","","","","","",""
"e581545","","","","","",""
"2dd02a9","","","","","",""
"f8deaaa","","","","","",""
"644830a","","","","","",""
"fa529ac","","","","","",""
"ced331f","","","","","",""
"7636563","B","","B","B","","B"
"bc8f353","","","","","",""
"90ccafb","","","","","",""
"e9e1409","","","","","",""
"0fa3c49","","","","","",""
"5732911","","","","","",""
"eacd6a3","","","","","",""
"618406d","","","","","",""
"870795f","","","","","",""
"87e4f18","B","","B","B","C","C"
"b568148","","","","","",""
"890df05","","","","","",""
"80701a1","","","","","",""
"c899adb","C","","C","B","","B"
"b2621a2","C","","C","C","","C"
"fbea372","","","","","",""
"68c3192","","","","","",""
"0570fc1","","","","","",""
"0145af8","","","","","",""
"1117a63","B","","B","B","","B"
"5d6ad7f","B","","B","C","","C"
"7d9c3_1","C","","C","C","","C"
"aa68b7a","","","","","",""
"db101d1","","","","","",""
"0b7193d","","","","","",""
"73c3f48","","","","","",""
"2da3cc8","","","","","",""
"6bf6d44","","","","","",""
"003406f","","","","","",""
"fc2538d","C","","C","B","","B"
"b457044","","","","","",""
"07ff49d","C","","C","C","","C"
"9417b2f","","","","","",""
"6e412a8","","","","","",""
"0d651b0","","","","","",""
"db9112b","","","","","",""
"472d42a","","","","","",""
"ac3a94c","","","","","",""
"5d9ae0c","","","","","",""
"14d2bac","","","","","",""
"89f120b","","","","","",""
"fd01af9","","","","","",""
"355c1ed","","","","","",""
"f3ac65f","","","","","",""
"3114f94","","","","","",""
"cd54d57","","","","","",""
"1f68249","","","","","",""
"7c9678a","","","","","",""
"facfe1c","","","","","",""
"e51496b","","","","","",""
"6bf803f","","","","","",""
"6c8906b","","","","","",""
"af1ec0b","","","","","",""
"db0051d","","","","","",""
"4569a12","","","","","",""
"c810da6","","","","","",""
"18b736b","","","","","",""
"87e086c","","","","","",""
"7c7ee1e","","","","","",""
"cc02471","C","","C","C","","C"
"e3ae59a","","","","","",""
"b90cecc","","","","","",""
"35adcf1","","","","","",""
"bf983ba","A","","A","C","","C"
"672a06a","","","","","",""
"fc4adfc","","","","","",""
"78603ec","","","","","",""
"6245828","","","","","",""
"c845818","","","","","",""
"3b65cc8","","","","","",""
"b0a2535","","","","","",""
"a412254","","","","","",""
"1c202a8","","","","","",""
"ad2af75","","","","","",""
"d8ecf99","","","","","",""
"c28b1a9","","","","","",""
"b05306f","","","","","",""
"826fbf5","","","","","",""
"817282d","","","","","",""
"45b5efa","","","","","",""
"d0c20cf","","","","","",""
"addf295","","","","","",""
"e5bb5fe","","","","","",""
"a3ff1ab","C","","C","C","","C"
"79868cd","B","","B","B","","B"
"9bcb545","","","","","",""
"912afde","","","","","",""
"7b5fed8","","","","","",""
"d85b5c4","B","","B","A","","A"
"1ac925b","","","","","",""
"20f3e2e","C","","C","C","","C"
"c16eb71","","","","","",""
"a83d90e","","","","","",""
"b7a265d","","","","","",""
"50efa5d","","","","","",""
