"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"d2678bc","","","","","",""
"741ef32","C","","C","A","","A"
"7b3c431","C","","C","A","","A"
"bd650e8","B","","B","A","","A"
"79da67a","C","","C","C","","C"
"52d61f6","B","","B","A","","A"
"d91bf84","C","","C","C","","C"
"a7a34c0","","","","","",""
"c17e360","B","","B","C","","C"
"01cf486","C","","C","C","","C"
"44167d5","C","","C","C","","C"
"d2b514b","","","","","",""
"e0d7dcb","C","","C","C","","C"
"a921a9b","","","","","",""
"4c7f106","C","","C","B","","B"
"6c3f0f6","C","","C","C","","C"
"a123713","C","","C","C","","C"
"25f4734","C","","C","C","","C"
"e6de912","C","","C","C","","C"
"bea3da5","","","","","",""
"03fd6a4","","","","","",""
"c9fe84a","","","","","",""
"5b603bb","C","","C","C","","C"
"64581b1","","","","","",""
"b3d1f62","","","","","",""
"64eef60","B","C","C","C","","C"
"06600a3","A","","A","A","","A"
"89d63ed","B","","B","C","","C"
"4ac71cf","C","","C","A","","A"
"048c402","","","","","",""
"56dc5c6","","","","","",""
"05ed313","C","","C","C","","C"
"969fd46","","","","","",""
"11acd26","","","","","",""
"844ab34","C","","C","B","","B"
"0327530","B","B","B","C","","C"
"088d8b4","C","","C","B","","B"
"a300755","C","","C","C","","C"
"f0a4194","C","","C","C","","C"
"6eb7840","B","","B","C","","C"
"07b298c","C","","C","C","B","B"
"b164bf7","C","","C","C","","C"
"aa9ac00","C","","C","B","","B"
"43b56f8","C","","C","C","","C"
"3b7f267","B","","B","C","","C"
"07e810f","B","","B","C","","C"
"1fdc0e6","B","C","C","C","","C"
"528d0fe","C","","C","C","","C"
"8f8a090","","","","","",""
"76bbc0d","C","","C","B","","B"
"5eb33a0","","","","","",""
"4af2fee","B","","B","A","","A"
"ece9ce7","C","","C","C","","C"
"ea052b5","C","","C","B","","B"
"1b88f70","B","","B","C","","C"
"8c7b6a3","B","","B","C","","C"
"7779cac","C","","C","C","","C"
"8c74aa5","B","","B","A","","A"
"11593e6","C","","C","C","","C"
"7bb45d3","C","","C","C","","C"
"fcf59af","B","","B","C","","C"
"a2d2ca9","C","","C","B","","B"
"9d1768d","C","","C","C","","C"
"c98a1d1","","","","","",""
"dac5780","","","","","",""
"c504abb","","","","","",""
"6855e68","B","","B","C","","C"
"f2a5eb7","C","","C","A","","A"
"4f9d5d5","","","","","",""
"804c32f","C","","C","C","","C"
"b92ee81","C","","C","C","","C"
"905df17","","","","","",""
"c55c183","C","","C","C","","C"
"51bed37","C","","C","B","","B"
"8d5112a","C","","C","C","","C"
"c27d92c","","","","","",""
"ea6a84c","A","","A","A","","A"
"6172c09","B","","B","A","","A"
"49c80c9","A","","A","A","","A"
"ac6f3f6","B","","B","A","","A"
"ff125d4","C","","C","C","","C"
"a54cf83","C","","C","C","","C"
"eff7ebe","C","","C","C","","C"
"2457ed6","C","","C","C","","C"
"61d9d14","B","","B","C","","C"
"023b7ed","","","","","",""
"12638ee","B","","B","C","","C"
"813d55b","B","","B","C","","C"
"f1132e1","","","","","",""
"b456b75","","","","","",""
"2dffb9e","C","","C","C","","C"
"0d45844","C","","C","B","","B"
"938fe7a","","","","","",""
"bce1b27","B","","B","C","","C"
"60a02cd","C","","C","C","","C"
"9d97673","B","","B","B","","B"
"dd64cdc","B","","B","B","A","A"
"15aab55","C","C","C","C","","C"
"e513259","C","","C","C","","C"
"529d907","","","","","",""
"4c8a5bc","B","","B","A","","A"
"ddd1219","C","","C","B","","B"
"2a968a7","","","","","",""
"80f558b","C","","C","C","","C"
"ad2fc5b","C","","C","C","","C"
"7a54533","A","","A","C","A","A"
"051761f","C","","C","C","","C"
"3c0c7c1","C","","C","C","","C"
"22fdb61","C","","C","C","","C"
"11e5d50","C","","C","C","","C"
"b53b559","C","","C","C","","C"
"d318264","C","","C","C","","C"
"a5bc4f7","","","","","",""
"d7c82ab","","","","","",""
"d6e6c31","","","","","",""
"65b2a4c","C","","C","C","","C"
"b2b24fe","C","","C","C","","C"
"e581545","C","","C","B","","B"
"2dd02a9","C","","C","C","","C"
"f8deaaa","C","","C","C","C","C"
"644830a","C","","C","C","","C"
"fa529ac","C","","C","B","","B"
"ced331f","B","","B","C","","C"
"7636563","C","","C","C","","C"
"bc8f353","C","","C","B","","B"
"90ccafb","C","","C","B","","B"
"e9e1409","C","","C","C","","C"
"0fa3c49","C","","C","B","","B"
"5732911","B","","B","C","","C"
"eacd6a3","B","","B","C","","C"
"618406d","B","","B","A","","A"
"870795f","","","","","",""
"87e4f18","C","","C","C","","C"
"b568148","","","","","",""
"890df05","C","","C","C","","C"
"80701a1","C","","C","C","","C"
"c899adb","C","","C","A","","A"
"b2621a2","C","","C","C","","C"
"fbea372","C","","C","C","","C"
"68c3192","C","","C","C","","C"
"0570fc1","B","","B","A","","A"
"0145af8","B","","B","B","","B"
"1117a63","C","","C","C","","C"
"5d6ad7f","B","","B","B","","B"
"7d9c3_1","C","","C","B","","B"
"aa68b7a","B","","B","C","","C"
"db101d1","C","","C","C","","C"
"0b7193d","","","","","",""
"73c3f48","C","","C","C","","C"
"2da3cc8","","","","","",""
"6bf6d44","C","","C","A","","A"
"003406f","","","","","",""
"fc2538d","C","","C","C","","C"
"b457044","","","","","",""
"07ff49d","C","","C","C","","C"
"9417b2f","","","","","",""
"6e412a8","C","","C","A","","A"
"0d651b0","","","","","",""
"db9112b","B","","B","A","","A"
"472d42a","","","","","",""
"ac3a94c","C","","C","B","","B"
"5d9ae0c","B","","B","C","","C"
"14d2bac","C","","C","C","","C"
"89f120b","B","","B","A","","A"
"fd01af9","C","","C","C","","C"
"355c1ed","","","","","",""
"f3ac65f","","","","","",""
"3114f94","","","","","",""
"cd54d57","","","","","",""
"1f68249","C","","C","B","","B"
