"","genere","edat","pp","pp_v","pp_v_g","pp_bf","pp_bef","pp_bel","pp_bev","pp_bec","pp_bes","pp_bea","p_cuid","p_c","p_c_si","p_f","p_f_si","p_a","p_a_si","p_l","p_l_si","p_v","p_v_si","p_ac","p_ac_si","p_g1","p_g2","p_ass","p_prof","p_prof_si","country_alpha2","urban_rural","is_in_Catalonia","language"
"e892cd4","m","2","Sí","No","","a","a","m","b","b","b","a","No","No","","Sí","a","Sí","a","Sí","b","Sí","b","Sí","b","a","a","No","No","","ES","urban",True,"ca"
"e30a541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"f496964","f","2","Sí","Sí","m","a","b","nvr","nsdmp","m","b","m","No","No","","No","","Sí","m","nvr","","No","","No","","m","m","No","No","","ES","urban",True,"es"
"ac6ecda","f","4","No","","","","","","","","","","Sí","No","","Sí","a","No","","No","","No","","No","","m","m","Sí","No","","ES","rural",True,"ca"
"b8ec123","m","5","No","","","","","","","","","","Sí","No","","Sí","m","Sí","b","Sí","b","nvr","","nvr","","a","m","Sí","No","","ES","urban",True,"ca"
"80b4cbf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"99775ba","m","1","Sí","No","","m","m","nt","nvr","b","b","b","No","No","","No","","Sí","m","No","","No","","Sí","m","b","a","No","No","","DE","",False,"de"
"e246307","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"bd305b8","f","nvr","Sí","Sí","m","b","b","m","b","b","b","m","Sí","Sí","a","nvr","","nvr","","nvr","","nvr","","nvr","","nvr","a","Sí","No","","ES","",False,"ca"
"32980f8","m","4","Sí","No","","a","a","b","nsdmp","nsdmp","m","a","No","No","","Sí","m","Sí","a","No","","No","","No","","m","m","No","No","","ES","rural",True,"ca"
"8c6e198","m","4","Sí","No","","m","m","b","nsdmp","nsdmp","b","m","No","No","","No","","Sí","m","Sí","b","nvr","","nvr","","b","nvr","Sí","Sí","psm","ES","urban",True,"ca"
"31e12d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"4a0236d","m","4","Sí","No","","b","b","nt","nsdmp","b","b","b","No","No","","No","","No","","No","","No","","No","","b","","No","No","","","rural",True,"en"
"e1efd4f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"80e625f","f","3","No","","","","","","","","","","No","No","","No","","No","","nvr","","nvr","","No","","m","","Sí","Sí","apaso","ES","urban",True,"ca"
"170bd80","m","5","No","","","","","","","","","","No","No","","Sí","b","No","","No","","nvr","","Sí","b","b","m","No","No","","ES","urban",True,"ca"
"28e0968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"89bbcd3","f","4","Sí","Sí","a","m","m","b","nsdmp","nsdmp","m","a","Sí","Sí","a","Sí","m","No","","No","","No","","No","","a","m","Sí","No","","ES","rural",True,"es"
"4306a35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"32851d2","f","4","Sí","Sí","nvr","nsdmp","a","b","nsdmp","nsdmp","nsdmp","a","No","nvr","","No","","No","","No","","nvr","","No","","nvr","","No","No","","ES","urban",True,"ca"
"11892fd","f","5","Sí","Sí","a","m","m","b","b","b","b","a","No","No","","Sí","m","No","","No","","nvr","","No","","b","m","Sí","No","","ES","urban",True,"ca"
"a984aad","f","5","Sí","Sí","a","m","m","nt","m","m","m","a","No","No","","Sí","m","No","","nvr","","Sí","m","No","","b","m","No","No","","ES","urban",True,"ca"
"7a0eabe","f","5","Sí","Sí","b","a","a","nsdmp","nsdmp","a","m","a","No","No","","Sí","a","Sí","a","nvr","","nvr","","Sí","a","a","a","Sí","No","","ES","urban",True,"ca"
"17b5a6e","f","5","Sí","Sí","a","m","m","b","nsdmp","a","b","a","No","No","","Sí","a","No","","Sí","m","nvr","","No","","m","nvr","Sí","No","","ES","urban",True,"ca"
"7d9a43d","m","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"a975113","m","1","Sí","Sí","a","m","m","m","b","nsdmp","a","a","No","Sí","a","Sí","b","No","","No","","Sí","b","No","","a","m","No","No","","ES","urban",True,"ca"
"9f79cf4","f","3","Sí","Sí","m","b","m","nt","nsdmp","a","m","a","No","No","","No","","Sí","a","nvr","","No","","Sí","a","a","m","Sí","No","","ES","urban",True,"es"
"e8a0b7a","f","3","Sí","No","","nsdmp","b","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","Sí","m","Sí","m","Sí","a","nvr","","No","","m","b","No","No","","ES","urban",True,"ca"
"b068203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"3317f09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"39dc9b8","m","6","No","","","","","","","","","","Sí","Sí","a","Sí","a","Sí","a","No","","No","","Sí","m","a","a","Sí","No","","ES","urban",True,"ca"
"8fd863f","f","2","No","","","","","","","","","","Sí","Sí","a","Sí","a","Sí","m","Sí","a","No","","No","","a","a","No","Sí","a","ES","urban",True,"ca"
"7384692","f","5","Sí","No","","a","a","nt","a","a","a","a","Sí","No","","No","","No","","No","","No","","No","","m","a","No","No","","","urban",True,"ca"
"839a53c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"4828266","f","1","Sí","Sí","b","m","a","nsdmp","nsdmp","nsdmp","nsdmp","b","Sí","No","","Sí","m","Sí","a","No","","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"e0111ac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"8fe0c53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"b12b978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"6067843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"0514a07","f","4","No","","","","","","","","","","No","No","","Sí","m","Sí","b","No","","Sí","b","No","","b","b","No","No","","ES","urban",True,"ca"
"942d694","f","5","Sí","Sí","a","nsdmp","m","b","nsdmp","nsdmp","m","a","","","","","","","","","","","","","","","","","","","ES","",False,"es"
"9a1b5fa","m","5","Sí","Sí","a","a","b","nt","nsdmp","b","b","a","Sí","Sí","a","No","","No","","No","","No","","Sí","m","m","m","No","No","","ES","",False,"es"
"fffd3b6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"619e952","f","4","Sí","Sí","a","m","m","m","nsdmp","nsdmp","nsdmp","m","No","No","","Sí","m","Sí","m","No","","nvr","","nvr","","m","m","Sí","Sí","apasa","ES","rural",True,"ca"
"485801f","m","4","No","","","","","","","","","","No","No","","Sí","a","Sí","m","Sí","a","No","","Sí","m","a","m","Sí","Sí","","ES","rural",True,"ca"
"a0bd77e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"492238f","m","3","Sí","No","","nsdmp","b","nsdmp","nsdmp","nsdmp","m","nsdmp","No","No","","No","","Sí","m","No","","Sí","b","No","","b","b","No","No","","ES","rural",True,"ca"
"37798a6","f","3","Sí","Sí","a","a","a","a","b","m","m","a","Sí","No","","Sí","a","Sí","m","Sí","b","nvr","","Sí","b","a","a","Sí","Sí","psm","ES","urban",True,"ca"
"65fc101","f","4","No","","","","","","","","","","No","No","","No","","No","","No","","Sí","b","No","","m","nvr","No","No","","ES","urban",True,"ca"
"bba08e8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"b0e3caa","f","3","Sí","Sí","m","nsdmp","m","b","nsdmp","nsdmp","b","m","No","Sí","m","Sí","b","Sí","a","Sí","m","Sí","b","Sí","b","m","a","Sí","Sí","apasa","MX","",False,"es"
"d874e84","d","3","Sí","No","","b","m","a","nsdmp","nsdmp","b","m","No","No","","Sí","b","Sí","a","Sí","m","nvr","","Sí","b","m","m","Sí","No","","ES","urban",True,"ca"
"060cd49","f","4","Sí","Sí","b","b","b","b","b","b","b","a","No","nvr","","Sí","a","No","","No","","Sí","m","No","","m","b","Sí","No","","ES","urban",True,"ca"
"4bb7fd2","f","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"2d5866b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"db844b1","f","5","Sí","Sí","m","b","a","nt","a","a","m","a","Sí","Sí","a","No","","Sí","a","nvr","","nvr","","nvr","","a","a","Sí","No","","ES","urban",True,"ca"
"eccfff0","f","4","Sí","Sí","a","b","m","b","nsdmp","b","m","m","Sí","Sí","a","No","","No","","No","","Sí","b","No","","b","a","Sí","No","","ES","rural",True,"ca"
"8f6fe4e","m","4","Sí","No","","b","b","nvr","b","nsdmp","b","a","Sí","No","","Sí","a","Sí","b","nvr","","No","","Sí","b","m","b","Sí","No","","ES","",False,"es"
"e88c741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"e73b255","m","3","No","","","","","","","","","","No","No","","Sí","m","Sí","m","Sí","b","Sí","b","No","","b","m","Sí","No","","ES","urban",True,"ca"
"e928aa4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"ea8c0d6","f","6","No","","","","","","","","","","No","No","","Sí","a","Sí","m","nvr","","Sí","b","No","","m","m","No","No","","ES","rural",True,"es"
"0fb7584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"527d11d","m","4","No","","","","","","","","","","No","No","","Sí","m","No","","Sí","b","No","","Sí","b","b","b","No","No","","ES","rural",True,"ca"
"e4aa5eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"64155b9","f","6","Sí","Sí","b","b","m","m","nvr","nvr","m","b","Sí","Sí","m","No","","No","","No","","No","","No","","b","m","Sí","No","","ES","urban",True,"ca"
"d35583d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"ce1d155","d","3","nvr","","","","","","","","","","Sí","No","","No","","Sí","a","nvr","","nvr","","Sí","m","m","a","No","No","","ES","",False,"ca"
"c6d68df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"5769925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"730747e","f","5","No","","","","","","","","","","No","No","","No","","No","","No","","No","","No","","b","","Sí","No","","ES","urban",True,"es"
"be94a32","f","1","Sí","Sí","m","b","nsdmp","nsdmp","nsdmp","nvr","b","m","No","Sí","m","Sí","b","Sí","b","Sí","m","Sí","b","nvr","","b","m","No","No","","ES","urban",True,"ca"
"b716a75","m","4","Sí","No","","a","a","nt","b","a","a","a","No","No","","No","","Sí","a","No","","No","","No","","m","nvr","Sí","No","","ES","urban",True,"ca"
"277dd85","f","5","Sí","Sí","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"41011fc","d","2","Sí","Sí","b","b","a","nsdmp","nsdmp","m","b","a","No","Sí","m","Sí","a","Sí","a","Sí","b","Sí","b","Sí","m","a","m","No","Sí","apaso","ES","urban",True,"ca"
"6f1360e","f","4","Sí","Sí","a","m","a","b","b","b","m","a","Sí","No","","Sí","a","Sí","a","No","","No","","No","","m","m","Sí","No","","ES","urban",True,"ca"
"435e788","f","2","Sí","Sí","b","a","nvr","nt","nsdmp","nsdmp","b","m","No","No","","Sí","a","Sí","a","nvr","","nvr","","Sí","b","m","b","Sí","No","","ES","",False,"es"
"5b2f970","f","2","Sí","Sí","a","","","","","","","","","","","","","","","","","","","","","","","","","","ES","",False,"es"
"49bd7ab","f","3","Sí","Sí","m","m","a","b","m","m","m","nvr","No","Sí","m","Sí","m","Sí","m","Sí","m","Sí","b","Sí","b","m","a","No","No","","ES","rural",True,"es"
"47eea0f","m","2","Sí","Sí","a","a","b","b","nsdmp","nsdmp","m","m","Sí","Sí","a","Sí","b","Sí","m","Sí","m","Sí","b","nvr","","b","b","Sí","No","","ES","",False,"es"
"99ee852","f","3","Sí","Sí","a","a","m","m","b","m","m","a","No","No","","No","","Sí","a","Sí","a","nvr","","No","","a","a","No","No","","ES","urban",True,"ca"
"ac42d69","f","5","Sí","Sí","m","b","b","nsdmp","nsdmp","nsdmp","b","a","No","No","","No","","No","","Sí","m","Sí","b","Sí","m","b","b","No","No","","ES","urban",True,"ca"
"fb6ca94","m","5","Sí","Sí","a","a","b","m","nsdmp","b","b","a","No","No","","Sí","m","No","","No","","No","","No","","a","m","Sí","Sí","psm","ES","urban",True,"ca"
"c0b0b8d","f","3","Sí","Sí","a","a","m","","","","","","","","","","","","","","","","","","","","","","","","ES","rural",True,"es"
"d0c28bd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"f72baab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"7de2a3d","m","3","Sí","Sí","b","m","b","nt","nsdmp","b","b","a","Sí","Sí","a","Sí","a","Sí","m","nvr","","nvr","","nvr","","m","m","Sí","nvr","","ES","urban",True,"ca"
"0a30844","f","4","No","","","","","","","","","","No","No","","Sí","b","Sí","m","No","","No","","No","","m","m","Sí","No","","ES","urban",True,"ca"
"16c851e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"374ecf8","f","4","Sí","Sí","a","b","b","nt","nsdmp","m","b","b","nvr","Sí","a","Sí","nvr","Sí","m","No","","Sí","m","Sí","a","a","m","Sí","No","","ES","urban",True,"es"
"6b36bf5","f","1","No","","","","","","","","","","Sí","No","","Sí","m","Sí","a","No","","No","","No","","a","a","Sí","No","","DE","",False,"de"
"a12b731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"f84d8ce","f","1","Sí","Sí","m","m","b","m","nsdmp","nsdmp","nsdmp","m","Sí","No","","No","","Sí","m","No","","No","","No","","a","","","","","ES","urban",True,"es"
"3a03bea","f","4","Sí","Sí","a","a","a","m","b","b","m","a","No","No","","Sí","a","Sí","a","nvr","","No","","nvr","","a","m","No","No","","ES","rural",True,"ca"
"56191c0","f","2","Sí","Sí","a","a","a","m","m","m","a","m","No","No","","No","","Sí","m","Sí","b","nvr","","No","","b","m","No","No","","DE","",False,"de"
"cb28371","f","3","Sí","Sí","b","b","a","nt","b","m","m","a","No","No","","No","","No","","No","","No","","No","","a","","Sí","No","","ES","urban",True,"es"
"dee5269","f","4","Sí","Sí","a","b","m","nt","m","b","b","b","Sí","Sí","a","Sí","m","Sí","m","No","","Sí","m","Sí","m","m","m","Sí","No","","","rural",True,"ca"
"45dcec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"fa86f6c","f","5","No","","","","","","","","","","No","No","","Sí","m","No","","No","","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"2535794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"c09d25e","f","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"e2447f7","f","3","Sí","Sí","m","m","m","b","nsdmp","nsdmp","b","a","No","No","","Sí","a","Sí","m","No","","No","","No","","b","b","No","No","","PT","",False,"en"
"fa6a8b8","f","4","Sí","Sí","a","a","b","nsdmp","nsdmp","nsdmp","b","m","No","No","","Sí","b","No","","No","","No","","No","","b","b","Sí","Sí","psm","ES","rural",True,"ca"
"f6ffd76","f","3","Sí","Sí","a","a","m","m","nvr","m","m","a","Sí","Sí","a","Sí","m","nvr","","Sí","m","No","","No","","a","m","Sí","No","","ES","urban",True,"ca"
"5f84339","f","4","Sí","Sí","a","m","m","nt","nsdmp","nsdmp","m","m","No","No","","Sí","b","No","","No","","nvr","","nvr","","b","m","No","No","","ES","urban",True,"ca"
"0d5233e","m","6","Sí","Sí","a","a","m","nsdmp","m","m","a","a","Sí","Sí","a","Sí","a","No","","No","","Sí","m","No","","b","a","Sí","No","","ES","urban",True,"es"
"f11e43a","f","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"916c172","f","3","Sí","Sí","a","a","a","m","nsdmp","nsdmp","m","a","No","No","","Sí","b","Sí","b","Sí","b","nvr","","No","","m","m","No","No","","ES","",False,"es"
"5883800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"f578367","f","4","No","","","","","","","","","","Sí","Sí","a","No","","No","","Sí","b","nvr","","No","","b","b","No","No","","ES","urban",True,"ca"
"43c977d","f","5","Sí","Sí","a","a","a","nsdmp","nsdmp","nsdmp","nsdmp","a","Sí","No","","Sí","a","Sí","a","nvr","","Sí","m","nvr","","m","a","No","Sí","psm","ES","urban",True,"ca"
"1d235c1","f","1","Sí","nvr","","m","a","nt","nsdmp","nsdmp","m","b","No","Sí","b","Sí","b","Sí","m","No","","nvr","","nvr","","m","b","No","No","","DE","",False,"de"
"4c228f6","f","3","Sí","Sí","a","b","m","b","m","b","m","m","No","Sí","a","Sí","b","Sí","a","Sí","b","No","","Sí","b","m","m","Sí","No","","ES","urban",True,"ca"
"755e429","f","5","Sí","Sí","a","a","b","nt","nsdmp","b","b","b","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"022a3c8","m","4","Sí","No","","m","b","nsdmp","nsdmp","nsdmp","b","b","No","No","","Sí","m","Sí","a","No","","No","","nvr","","b","b","No","No","","DE","",False,"es"
"d524668","f","3","Sí","Sí","a","b","b","b","nsdmp","nsdmp","nsdmp","b","No","No","","Sí","b","No","","No","","No","","No","","b","b","No","No","","ES","",False,"ca"
"844fef2","f","5","Sí","No","","m","a","m","m","a","m","a","No","No","","Sí","b","Sí","m","nvr","","Sí","b","Sí","m","m","m","No","Sí","apasa","ES","urban",True,"es"
"e3983fc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"29d5c2d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"c8e93ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"35c93ab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"36b4ec5","f","4","No","","","","","","","","","","No","No","","No","","Sí","a","No","","Sí","m","No","","m","m","Sí","Sí","apaso","ES","urban",True,"ca"
"3883e37","m","4","Sí","Sí","a","b","nsdmp","nvr","nsdmp","nvr","nsdmp","m","Sí","Sí","a","Sí","b","Sí","b","nvr","","nvr","","nvr","","b","b","Sí","nvr","","ES","urban",True,"es"
"50ec1c5","m","4","Sí","No","","a","m","nt","nsdmp","nsdmp","m","m","No","No","","No","","Sí","a","No","","No","","Sí","m","m","m","Sí","No","","ES","urban",True,"ca"
"e0e4f04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"6801018","f","3","Sí","Sí","nsdmp","b","b","nsdmp","nsdmp","nsdmp","b","a","No","No","","Sí","a","No","","No","","No","","Sí","a","a","a","Sí","No","","ES","urban",True,"ca"
"e1b193b","m","3","No","","","","","","","","","","No","No","","No","","Sí","b","Sí","b","nvr","","No","","b","m","No","No","","ES","urban",True,"ca"
"12dfda3","m","2","Sí","Sí","nsdmp","nsdmp","b","nt","nsdmp","b","nsdmp","b","No","No","","Sí","b","Sí","b","No","","No","","Sí","b","b","nvr","Sí","No","","ES","urban",True,"es"
"431a1f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"466a0ab","f","4","No","","","","","","","","","","No","No","","No","","No","","No","","No","","No","","b","","Sí","Sí","apaso","ES","urban",True,"ca"
"b93f60e","f","3","No","","","","","","","","","","No","No","","Sí","m","Sí","b","Sí","b","nvr","","nvr","","b","nvr","Sí","Sí","apaso","ES","",False,"es"
"98b4423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"965ec7c","f","3","Sí","No","","a","a","nsdmp","m","nvr","a","a","No","No","","Sí","a","Sí","a","nvr","","nvr","","nvr","","a","a","No","No","","ES","",False,"es"
"1d3b63b","m","6","Sí","Sí","a","a","m","m","b","b","b","m","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"6099d06","f","4","No","","","","","","","","","","Sí","Sí","a","No","","No","","Sí","b","No","","No","","b","b","Sí","Sí","a","ES","urban",True,"ca"
"814517e","f","4","Sí","Sí","a","m","m","m","b","m","m","a","Sí","Sí","a","Sí","a","No","","Sí","a","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"56ee475","f","2","Sí","Sí","a","m","m","nsdmp","nvr","nvr","nvr","m","No","No","","Sí","m","Sí","m","nvr","","nvr","","nvr","","b","m","No","No","","ES","",False,"ca"
"e845b6b","m","2","No","","","","","","","","","","No","No","","Sí","m","Sí","m","Sí","m","No","","No","","b","m","No","No","","ES","urban",True,"ca"
"3458a8b","f","1","No","","","","","","","","","","No","No","","No","","Sí","m","No","","nvr","","Sí","m","b","a","No","No","","US","",False,"en"
"047f2ca","f","1","Sí","Sí","a","a","m","b","nsdmp","m","m","a","No","No","","No","","Sí","a","No","","No","","Sí","m","a","m","No","No","","ES","urban",True,"ca"
"a80b75d","f","4","Sí","No","","b","m","nt","b","b","m","b","No","No","","No","","No","","No","","Sí","m","No","","b","b","Sí","No","","ES","urban",True,"es"
"1b1a108","f","2","Sí","Sí","a","a","m","nsdmp","nsdmp","b","b","m","Sí","No","","Sí","m","Sí","m","Sí","m","Sí","b","Sí","b","m","m","No","Sí","psm","ES","rural",True,"ca"
"dbef0f1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"5d2b358","f","3","Sí","Sí","a","m","a","m","nsdmp","m","b","a","No","No","","Sí","m","Sí","m","No","","nvr","","Sí","b","m","a","No","No","","ES","urban",True,"es"
"c36bc4b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"f2e6813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"173b4d2","f","5","Sí","No","","b","b","nsdmp","nsdmp","nsdmp","nsdmp","b","No","No","","Sí","b","Sí","b","Sí","b","No","","Sí","b","b","b","Sí","nvr","","US","",False,"en"
"98ecb86","f","3","Sí","No","","a","a","m","nsdmp","nsdmp","b","m","Sí","No","","Sí","m","Sí","a","Sí","b","No","","No","","m","a","Sí","Sí","a","ES","urban",True,"ca"
"bf3dfcf","f","4","No","","","","","","","","","","Sí","Sí","a","Sí","m","No","","No","","No","","No","","a","nvr","Sí","No","","ES","urban",True,"ca"
"b75259d","f","6","Sí","Sí","nsdmp","a","m","nt","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","m","Sí","m","No","","nvr","","nvr","","b","m","Sí","Sí","a","ES","urban",True,"ca"
"b5edd3c","m","4","Sí","Sí","a","m","m","nt","nsdmp","b","m","a","No","No","","Sí","b","Sí","m","nvr","","nvr","","Sí","m","a","a","Sí","Sí","apaso","ES","urban",True,"ca"
"dbe3880","f","3","No","","","","","","","","","","No","No","","No","","No","","No","","Sí","b","No","","b","b","No","No","","ES","urban",True,"ca"
"d27b032","m","4","No","","","","","","","","","","Sí","Sí","a","No","","Sí","a","nvr","","Sí","b","No","","a","a","No","No","","ES","urban",True,"ca"
"5ba2fe6","f","2","Sí","Sí","a","m","m","b","nsdmp","b","b","b","No","No","","Sí","b","No","","No","","No","","Sí","m","m","m","Sí","No","","ES","",False,"es"
"e6d310e","f","4","Sí","No","","a","a","m","m","b","a","a","No","No","","Sí","a","Sí","a","Sí","a","Sí","b","No","","a","a","Sí","Sí","a","ES","urban",True,"ca"
"0e42357","f","2","No","","","","","","","","","","No","No","","Sí","m","No","","No","","Sí","nvr","Sí","m","m","m","Sí","Sí","psm","ES","rural",True,"ca"
"5d4fcbe","f","3","Sí","Sí","a","m","m","nsdmp","nsdmp","m","m","a","No","Sí","a","No","","Sí","m","nvr","","Sí","b","nvr","","m","m","No","No","","ES","urban",True,"ca"
"e98cdcd","f","6","Sí","No","","m","m","nvr","m","b","m","a","nvr","No","","No","","Sí","m","nvr","","Sí","m","Sí","nvr","a","b","Sí","Sí","apasa","ES","",False,"ca"
"3129a5f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"3c60f14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"fbc9f8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"e2517d9","f","5","Sí","Sí","m","m","a","m","m","a","m","a","Sí","Sí","a","Sí","a","No","","No","","No","","No","","a","a","Sí","Sí","a","ES","rural",True,"ca"
"4eff6be","f","5","Sí","Sí","m","b","b","b","nsdmp","m","b","b","No","Sí","a","No","","Sí","a","No","","No","","Sí","m","a","a","Sí","No","","ES","rural",True,"ca"
"d886e8c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"518e9b8","f","4","Sí","Sí","a","a","m","a","nsdmp","b","m","a","Sí","No","","Sí","m","Sí","a","Sí","m","nvr","","Sí","m","a","m","Sí","Sí","psm","ES","urban",True,"ca"
"0ff20c2","f","5","Sí","Sí","a","b","m","b","nsdmp","nsdmp","m","m","Sí","Sí","a","Sí","m","Sí","m","Sí","b","nvr","","Sí","b","m","m","No","Sí","a","ES","urban",True,"ca"
"47dcadc","m","4","Sí","Sí","a","a","a","nt","m","nvr","a","a","No","No","","No","","Sí","a","nvr","","nvr","","Sí","a","a","a","Sí","No","","ES","urban",True,"es"
"168adfc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"1883ca0","f","4","Sí","No","","a","m","b","b","b","m","a","No","No","","Sí","a","No","","No","","No","","No","","a","a","Sí","No","","ES","urban",True,"ca"
"37b9a9f","f","3","Sí","Sí","a","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","b","No","No","","Sí","b","Sí","b","Sí","b","nvr","","nvr","","b","b","No","No","","ES","",False,"es"
"44c4439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d8c6137","m","1","Sí","Sí","a","m","b","nsdmp","nsdmp","b","m","a","Sí","Sí","a","Sí","m","No","","Sí","b","No","","No","","a","a","No","No","","ES","urban",True,"es"
"cde024d","m","6","Sí","No","","a","m","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","No","","No","","No","","Sí","m","No","","m","b","Sí","No","","ES","urban",True,"ca"
"41f497c","m","5","Sí","Sí","a","m","a","nt","nsdmp","m","m","a","No","No","","Sí","b","Sí","a","No","","Sí","b","Sí","m","m","m","Sí","Sí","a","ES","rural",True,"ca"
"9cfbb83","f","2","No","","","","","","","","","","Sí","Sí","m","No","","Sí","a","No","","No","","Sí","b","m","a","Sí","Sí","apaso","ES","urban",True,"ca"
"13dba9e","m","6","Sí","Sí","a","a","a","nt","m","nvr","a","a","Sí","Sí","a","No","","No","","nvr","","nvr","","nvr","","a","a","Sí","No","","ES","",False,"ca"
"2969d00","d","2","Sí","Sí","m","b","m","b","b","nsdmp","b","m","","","","","","","","","","","","","","","","","","","ES","rural",True,"ca"
"a28c2ed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"53deb5c","f","6","nvr","","","","","","","","","","No","No","","No","","No","","Sí","b","No","","No","","b","b","No","No","","ES","urban",True,"ca"
"7baeff7","f","6","No","","","","","","","","","","No","No","","Sí","m","No","","No","","Sí","b","Sí","m","m","m","Sí","Sí","psm","ES","urban",True,"es"
"1800004","f","3","Sí","Sí","a","a","a","b","a","nsdmp","a","m","No","No","","Sí","nvr","Sí","a","nvr","","nvr","","No","","a","a","Sí","No","","ES","urban",True,"es"
"758fff8","m","4","No","","","","","","","","","","No","No","","No","","Sí","b","No","","Sí","b","Sí","b","b","b","No","No","","ES","urban",True,"ca"
"e56df1e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
