"","genere","edat","pp","pp_v","pp_v_g","pp_bf","pp_bef","pp_bel","pp_bev","pp_bec","pp_bes","pp_bea","p_cuid","p_c","p_c_si","p_f","p_f_si","p_a","p_a_si","p_l","p_l_si","p_v","p_v_si","p_ac","p_ac_si","p_g1","p_g2","p_ass","p_prof","p_prof_si","country_alpha2","urban_rural","is_in_Catalonia","language"
"01baaf6","f","1","Sí","Sí","m","nsdmp","m","nt","b","m","m","m","No","No","","Sí","b","Sí","m","No","","No","","Sí","m","m","m","No","No","","ES","urban",True,"ca"
"c3db77a","m","3","Sí","Sí","a","a","m","nt","m","a","a","a","No","Sí","a","No","","Sí","m","No","","No","","Sí","m","m","a","Sí","No","","ES","rural",True,"ca"
"41617bd","f","3","Sí","Sí","a","a","b","nt","nsdmp","a","m","a","No","Sí","a","Sí","b","Sí","a","Sí","a","Sí","m","Sí","a","a","a","Sí","Sí","psm","ES","urban",True,"es"
"0fa3d65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"1df700a","m","4","Sí","No","","a","a","b","nsdmp","nsdmp","b","a","No","No","","Sí","b","No","","Sí","a","No","","No","","m","b","No","Sí","apaso","ES","urban",True,"ca"
"50a0fdd","m","5","Sí","Sí","m","m","b","m","b","b","m","m","Sí","Sí","m","Sí","m","Sí","m","No","","Sí","b","Sí","b","m","m","Sí","No","","ES","urban",True,"ca"
"c98ae69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"af72486","f","5","Sí","Sí","m","b","m","nt","nsdmp","a","b","m","No","Sí","m","Sí","m","No","","No","","Sí","m","Sí","a","a","a","Sí","No","","ES","urban",True,"ca"
"0eb7fba","f","2","Sí","Sí","m","b","m","nsdmp","nsdmp","nsdmp","nsdmp","m","No","Sí","b","No","","Sí","m","No","","No","","No","","b","m","Sí","No","","US","",False,"en"
"1288ac2","f","4","Sí","No","","a","a","b","m","a","a","a","No","No","","Sí","a","Sí","a","No","","nvr","","Sí","m","a","a","Sí","No","","ES","",False,"es"
"802d704","f","3","No","","","","","","","","","","Sí","No","","Sí","a","No","","No","","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"97879de","m","3","Sí","Sí","a","m","m","b","nsdmp","a","m","m","No","Sí","m","Sí","","","","","","","","","","","","","","","ES","",False,"ca"
"6568ea1","f","4","Sí","Sí","a","a","b","b","b","b","b","a","No","No","","Sí","a","No","","No","","No","","No","","a","m","No","No","","DE","",False,"de"
"2cd7961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"ca96db9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"c1a9909","f","4","Sí","Sí","a","a","a","b","m","nsdmp","nsdmp","a","No","No","","No","","No","","No","","No","","No","","m","","No","No","","ES","urban",True,"ca"
"acc6118","f","4","No","","","","","","","","","","No","Sí","a","Sí","nvr","Sí","a","No","","No","","Sí","b","m","m","No","No","","ES","",False,"es"
"2f5762a","m","4","Sí","No","","b","b","nt","nsdmp","nsdmp","b","a","No","No","","No","","No","","No","","No","","No","","a","","Sí","No","","ES","urban",True,"ca"
"399b994","f","4","Sí","Sí","a","a","b","b","nsdmp","b","nsdmp","b","No","No","","No","","nvr","","Sí","m","nvr","","nvr","","b","nvr","Sí","Sí","apasa","ES","urban",True,"ca"
"b16e558","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"4c072d3","f","4","Sí","No","","b","b","nt","nsdmp","a","b","a","Sí","No","","Sí","a","Sí","m","No","","Sí","m","Sí","m","a","m","Sí","No","","ES","urban",True,"es"
"1e88a68","f","5","Sí","Sí","a","a","m","b","b","b","b","a","Sí","No","","Sí","a","No","","No","","No","","No","","m","a","No","Sí","apaso","ES","urban",True,"ca"
"62447b9","f","5","No","","","","","","","","","","Sí","Sí","a","No","","Sí","m","No","","Sí","b","Sí","b","a","b","Sí","No","","ES","urban",True,"ca"
"5455b1d","m","1","Sí","Sí","nsdmp","nsdmp","m","nt","nsdmp","nsdmp","nsdmp","b","No","No","","Sí","m","Sí","m","No","","nvr","","nvr","","b","m","No","Sí","a","ES","urban",True,"ca"
"220d07a","f","3","Sí","Sí","a","m","a","m","b","m","m","a","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"8a2ad40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"de"
"5c97513","f","5","Sí","Sí","a","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","b","No","No","","No","","No","","Sí","b","No","","No","","b","b","No","Sí","apasa","ES","urban",True,"ca"
"bf71578","f","3","Sí","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"f799335","f","4","No","","","","","","","","","","No","No","","Sí","a","No","","Sí","a","nvr","","","","","","","","","ES","urban",True,"ca"
"ef7d623","f","4","Sí","Sí","m","nsdmp","b","nsdmp","nsdmp","nsdmp","nsdmp","a","Sí","Sí","a","Sí","m","Sí","m","Sí","b","Sí","b","nvr","","m","a","No","No","","ES","urban",True,"ca"
"6412561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"48ce715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"4aabc57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"daa0e98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"f8a30f5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"87007b4","f","4","Sí","Sí","m","m","b","nsdmp","nsdmp","nsdmp","b","a","No","No","","No","","No","","No","","No","","No","","m","","Sí","Sí","a","ES","rural",True,"ca"
"5e09b84","f","2","Sí","Sí","nsdmp","a","a","m","nsdmp","nsdmp","m","a","No","No","","Sí","m","No","","Sí","m","nvr","","nvr","","m","a","Sí","Sí","apaso","ES","urban",True,"es"
"48ba4ef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"2541155","f","4","Sí","Sí","a","b","m","nt","b","b","b","m","No","No","","Sí","m","Sí","a","No","","Sí","m","Sí","a","m","m","Sí","No","","ES","rural",True,"ca"
"6289e6c","f","4","Sí","No","","a","a","nsdmp","nsdmp","nsdmp","m","a","No","No","","Sí","m","Sí","a","nvr","","nvr","","nvr","","m","m","No","No","","ES","",False,"es"
"db046f2","f","4","Sí","Sí","m","m","nsdmp","nt","nsdmp","nsdmp","nsdmp","m","No","No","","No","","Sí","m","No","","nvr","","nvr","","m","b","Sí","No","","ES","urban",True,"ca"
"d2678bc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"741ef32","f","5","Sí","Sí","a","b","a","nsdmp","nsdmp","nsdmp","b","b","No","No","","Sí","b","Sí","b","nvr","","Sí","b","nvr","","b","b","No","No","","ES","rural",True,"ca"
"7b3c431","f","4","Sí","Sí","a","a","a","a","a","a","a","a","No","No","","No","","Sí","a","Sí","a","nvr","","No","","a","a","No","Sí","apaso","ES","urban",True,"ca"
"bd650e8","m","3","Sí","Sí","a","m","a","a","m","m","a","a","Sí","Sí","a","No","","Sí","m","No","","nvr","","Sí","m","m","m","Sí","No","","ES","rural",True,"ca"
"79da67a","f","5","Sí","Sí","a","m","a","m","nsdmp","a","a","a","No","Sí","a","Sí","m","Sí","a","Sí","m","nvr","","Sí","a","a","a","No","No","","ES","urban",True,"es"
"52d61f6","m","3","Sí","Sí","a","a","a","b","a","m","a","a","Sí","No","","No","","Sí","a","No","","No","","Sí","a","a","a","Sí","No","","ES","urban",True,"ca"
"d91bf84","f","4","No","","","","","","","","","","Sí","No","","Sí","a","No","","No","","No","","No","","b","b","No","No","","ES","",False,"es"
"a7a34c0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"c17e360","f","3","Sí","Sí","b","b","a","nt","nsdmp","nsdmp","m","a","No","No","","Sí","m","No","","No","","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"01cf486","m","3","Sí","Sí","a","a","b","nsdmp","nsdmp","nsdmp","b","","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"44167d5","f","3","Sí","Sí","nsdmp","nsdmp","m","m","nsdmp","nsdmp","b","m","No","No","","No","","Sí","m","No","","Sí","b","Sí","m","b","m","Sí","No","","ES","urban",True,"es"
"d2b514b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"e0d7dcb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"a921a9b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"4c7f106","f","6","Sí","Sí","b","a","m","nt","b","nsdmp","m","m","Sí","Sí","a","Sí","m","nvr","","nvr","","nvr","","nvr","","m","b","Sí","No","","ES","urban",True,"es"
"6c3f0f6","m","3","No","","","","","","","","","","No","No","","No","","No","","No","","No","","No","","b","","No","No","","ES","urban",True,"ca"
"a123713","f","3","Sí","Sí","a","a","a","a","b","b","a","a","No","No","","No","","Sí","a","No","","No","","No","","a","a","Sí","Sí","psm","ES","urban",True,"ca"
"25f4734","m","1","Sí","Sí","nsdmp","nsdmp","nsdmp","nt","nsdmp","nsdmp","nsdmp","b","No","No","","No","","No","","No","","No","","No","","b","","Sí","No","","IL","",False,"en"
"e6de912","f","2","Sí","Sí","b","nsdmp","nsdmp","nt","nsdmp","nsdmp","nsdmp","a","Sí","No","","Sí","a","Sí","m","No","","No","","Sí","b","a","b","No","No","","DE","",False,"es"
"bea3da5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"03fd6a4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"c9fe84a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"5b603bb","m","2","Sí","Sí","a","a","b","b","m","m","b","a","No","No","","No","","No","","No","","nvr","","nvr","","a","","No","No","","ES","urban",True,"es"
"64581b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"b3d1f62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"64eef60","m","6","Sí","Sí","a","a","a","nsdmp","nsdmp","nsdmp","nsdmp","a","Sí","Sí","a","No","","No","","No","","nvr","","No","","a","a","Sí","No","","ES","urban",True,"es"
"06600a3","f","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","urban",True,"es"
"89d63ed","f","3","Sí","Sí","a","b","nsdmp","b","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","a","Sí","a","Sí","a","No","","No","","a","b","Sí","Sí","psm","ES","rural",True,"ca"
"4ac71cf","m","3","No","","","","","","","","","","No","No","","Sí","m","No","","No","","No","","No","","m","m","No","No","","ES","urban",True,"es"
"048c402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
