"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","7_otro_1","2_1"
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-5001.446494340897,"unknown",-4995.916545629501,-4989.141038179398,0.0,7.0959553718566895,8.493855953216553,17.31059169769287,27.297606706619263,33.821452379226685,40.59714674949646,"unknown",47.155805587768555,"unknown",54.255553245544434,55.88790440559387,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.44989204406738,"","unknown",69.06893396377563,71.60970401763916,77.88108468055725,"unknown","unknown",84.7206163406372,86.97286200523376,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.62928247451782,"unknown","unknown",100.53831911087036,"",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.60221242904663,"unknown",28.641023874282837,"unknown",37.818103075027466,"unknown","unknown","unknown","unknown",52.56734848022461,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",83.25438094139099,"unknown","unknown","unknown","unknown",98.12877345085144,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-1234.982796907425,"unknown",-1228.982265472412,-1223.1836969852448,0.0,7.394247770309448,871.4870607852936,879.0214669704437,6235.122150182724,6241.9795825481415,6249.836461305618,6256.213276386261,"unknown","unknown",6261.581826686859,6262.770886182785,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6268.080660581589,"","unknown",6274.901173591614,6277.296956539154,6283.017271995544,"unknown","unknown",6288.837869644165,6289.985223054886,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6296.548506736755,"unknown","unknown",6301.852307796478,"",""
"916c172",-404.3438181877136,"unknown",-398.94449186325073,-393.63532853126526,0.0,7.156235694885254,12.480177640914917,19.987374782562256,75.57957983016968,82.53485465049744,4689.379997491837,"unknown","unknown",4696.206228494644,4702.071897029877,4718.014327764511,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4723.535759925842,"","unknown",4730.592587709427,6263.804979324341,"unknown","unknown",6270.130965709686,6276.631469011307,6284.731862545013,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6291.788475990295,"unknown","unknown",6298.204182624817,"",""
"d9696dd",-19656.404866218567,"unknown",-19650.54584121704,-19643.61807847023,0.0,5.551465034484863,8.2457115650177,15.642515659332275,30.92965006828308,36.815871238708496,1295048.292790413,"unknown",1295055.307979107,"unknown",1295061.3758208752,1295067.6372807026,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1295073.4491195679,"","unknown",1295080.1283593178,1295083.7811021805,1295089.4926474094,"unknown","unknown",1295096.2458417416,1295098.2089338303,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1295103.5970516205,"unknown","unknown",1295108.8521709442,"",""
"eff7ebe",-525816.0978703499,"unknown",-525810.6843705177,-525805.4063541889,0.0,7.3082897663116455,9.476590394973755,17.582809925079346,30.33962321281433,37.07367181777954,39.49434018135071,"unknown",46.70935916900635,"unknown",53.26740384101868,56.66999411582947,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.87259268760681,"","unknown",69.67218065261841,71.9211037158966,77.9202139377594,"unknown","unknown",84.64139294624329,86.25856375694275,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.85222816467285,"unknown","unknown",99.09690403938293,"",""
"5d4fcbe",-370.80403757095337,"unknown",-363.91167640686035,-357.9094707965851,0.0,6.75360369682312,8.286385297775269,15.506356000900269,130.32741594314575,135.7287082672119,621.856493473053,"unknown",628.3004913330078,"unknown",635.1639568805695,644.6390836238861,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",650.0387699604034,"","unknown",655.8262460231781,281577.3314259052,"unknown",281584.55319952965,"unknown",281591.5408682823,281594.3654551506,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",281599.8591578007,"unknown","unknown",281605.2363598347,"",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-21567.751811027527,"unknown",-21560.74431705475,-21553.841894865036,0.0,6.923360824584961,10.965079069137573,19.44444966316223,36.68054270744324,41.9882333278656,43.62542963027954,"unknown",49.71756601333618,"unknown",56.12445116043091,57.34657955169678,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.527628898620605,"","unknown",68.93291711807251,71.95725989341736,77.93609023094177,"unknown","unknown",84.03529810905457,85.36110544204712,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.89208364486694,"unknown","unknown",98.20729303359985,"",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-58.72996544837952,"unknown",-52.672531604766846,-47.1206636428833,0.0,5.484405755996704,11.568668603897095,19.22471809387207,49.33302569389343,54.972991704940796,203.43299555778503,"unknown",210.70531558990479,"unknown",217.48240041732788,223.6217930316925,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",230.6326723098755,"","unknown",235.91247653961182,285.9032599925995,291.39820170402527,"unknown","unknown",297.3747444152832,300.37919068336487,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",306.5314769744873,"unknown","unknown",312.7964382171631,"",""
"47dcadc",-10286.87859082222,"unknown",-10280.185683012009,-10273.121512889862,0.0,7.206084251403809,13.20612645149231,20.155808448791504,65.83731484413147,71.54943823814392,93.84250926971436,"unknown","unknown",99.63669776916504,106.37026619911194,111.61135411262512,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.83163666725159,"","unknown",123.42937684059143,155.2999746799469,"unknown","unknown",161.98305749893188,168.80718970298767,171.2466151714325,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",177.31351613998413,"unknown","unknown",183.76485586166382,"",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
