"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"1a8e45b",-8370.974083662033,"unknown",-8364.277863502502,-8357.49752664566,0.0,5.916428327560425,7.662184476852417,15.736024856567383,22.450182676315308,28.060546875,31.071349382400513,"unknown","unknown",38.27673363685608,45.27617120742798,176456.364631176,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",176462.5191028118,"unknown",176469.16227078438,231332.23134064674,231339.11262059212,"unknown","unknown",231346.22408509254,231351.44530034065,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",231356.94053196907,"unknown","unknown",231364.02956700325
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-608.816376209259,"unknown",-602.0482969284058,-595.52809715271,0.0,7.062087297439575,9.205477476119995,16.6655855178833,28.407543182373047,34.77959632873535,38.873735427856445,"unknown","unknown",45.03951454162598,51.69090461730957,53.719396352767944,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.30075287818909,"unknown",66.84497594833374,68.88410711288452,"unknown","unknown",75.88332891464233,81.9578320980072,84.39736866950989,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.66687798500061,"unknown","unknown",97.03028464317322
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
