"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","7_otro_1"
"c94e42e",-1742476.8728487492,"unknown",-1742470.4878883362,-1742463.459653616,0.0,6.008850574493408,14.926854133605957,21.810966730117798,25.96597933769226,32.27744126319885,37.162259578704834,"unknown","unknown",44.35197877883911,51.04401183128357,53.68063259124756,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.00222826004028,"","unknown",65.42592024803162,69.43176627159119,"unknown","unknown",74.65538597106934,81.59495449066162,90.09889793395996,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.32432746887207,"unknown","unknown",102.90131545066833,-1657.3791477680206,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-9657.411582946777,"unknown",-9651.374803304672,-9645.280791521072,0.0,6.968628406524658,10.54142165184021,16.12544870376587,33.99402856826782,40.664302349090576,48.730225563049316,"unknown","unknown",54.260504484176636,60.34073042869568,62.84264826774597,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.8436336517334,"","unknown",74.53655576705933,105.47715067863464,111.73457074165344,"unknown","unknown",117.39524865150452,119.25230813026428,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.1568877696991,"unknown","unknown",133.15541219711304,"",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
