"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1"
"79868cd",-1359.8723418712616,-1352.8825492858887,-1347.5033056735992,-1340.9971430301666,0.0,7.384085178375244,8.870267868041992,16.604252338409424,29.12361168861389,35.08567762374878,40.402806520462036,"unknown","unknown",47.4291467666626,54.530999422073364,57.16088008880615,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.04031610488892,"","unknown",69.8329210281372,476.7428512573242,"unknown","unknown",483.6078677177429,490.5230233669281,1769.0348176956177,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1776.071347951889,"unknown","unknown",1782.305065870285,""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-36344.76662278175,-36338.72570300102,-36332.93696451187,-36326.43373823166,0.0,6.270991802215576,81.2188332080841,88.59839367866516,91.05895209312439,97.58973717689514,113.1762011051178,"unknown",119.8851089477539,"unknown",126.41350102424622,88467.23036813736,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88474.27526760101,"","unknown",88481.30699181557,337964.2956006527,"unknown",337971.52196621895,"unknown",337977.8779785633,338055.053869009,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",338061.4540371895,"unknown","unknown",338066.76951622963,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-215882.66680192947,-215876.5293724537,-215870.2775053978,-215864.71920323372,0.0,6.0166003704071045,8.062011957168579,15.098925828933716,30.29103446006775,36.562485456466675,46.83697199821472,53.10939073562622,"unknown","unknown",58.6064076423645,60.48343205451965,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.71877527236938,"","unknown",73.66621851921082,85.36457252502441,92.28500699996948,"unknown","unknown",100.50293397903442,102.38617086410522,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",107.97359800338745,"unknown","unknown",115.01129007339478,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
