"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"79868cd",-1393.786437511444,"unknown",-1387.2963473796844,-1380.851169347763,0.0,6.718077898025513,8.084931135177612,14.320652484893799,18.794289588928223,24.899787187576294,29.676279067993164,35.508997440338135,"unknown","unknown",42.22191143035889,57.152775287628174,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",64.30604410171509,"","unknown",69.65743565559387,77.67100954055786,"unknown",84.65605163574219,"unknown",91.32657504081726,106.34615588188171,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.41191601753235,"unknown","unknown",118.71905016899109,""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-333061.9789187908,"unknown",-333056.59695863724,-333050.8935201168,0.0,7.469651937484741,17.28999614715576,22.739413499832153,39.5558876991272,46.932042598724365,58.511576890945435,"unknown","unknown",64.52899837493896,71.16227531433105,77.25651383399963,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",83.42415595054626,"","unknown",89.02029871940613,95.67730569839478,"unknown",101.18716478347778,"unknown",107.10062646865845,111.47814846038818,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.56829047203064,"unknown","unknown",124.714759349823,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-154166.45539927483,"unknown",-154161.15763020515,-154154.15742611885,0.0,5.667186260223389,4096.016082525253,4103.4593160152435,4123.245907306671,4128.900418758392,4157.882810354233,"unknown","unknown",4164.910105466843,4171.419337272644,4174.18221950531,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",4180.854758739471,"","unknown",4186.180413722992,4192.634787797928,"unknown","unknown",4199.0110375881195,4205.329167604446,4214.395439386368,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4220.386933088303,"unknown","unknown",4226.744174480438,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
