"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_otro_1","2_1"
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-8089.35933804512,"unknown",-8081.05718255043,-8074.340189933777,0.0,6.964910507202148,10.90948748588562,19.46205711364746,32.52104449272156,38.17056584358215,45.200109243392944,"unknown","unknown",52.526562452316284,59.505430936813354,81.23698282241821,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",88.06124687194824,"","unknown",93.61967611312866,103.93305540084839,"unknown","unknown",110.84185791015625,117.92788338661194,120.59619951248169,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.53386449813843,"unknown","unknown",132.32541966438293,"",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.791889667510986,"unknown",21.14767050743103,"unknown",31.382051706314087,"unknown","unknown","unknown","unknown",46.59118914604187,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",65.32116889953613,"unknown","unknown","unknown","unknown",96.0753927230835,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-20027.85899424553,"unknown",-20021.378913402557,-20015.531535625458,0.0,5.816559314727783,11.050833225250244,19.231698989868164,29.427173376083374,36.48557734489441,41.65509653091431,"unknown",48.45042276382446,"unknown",55.4706916809082,57.97252607345581,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",63.98089003562927,"","unknown",70.50361561775208,15896901.963244677,"unknown","unknown",15896908.578737497,15896915.163427591,15896921.314643621,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",15896926.981574297,"unknown","unknown",15896933.700600624,4984286.698884487,""
"916c172",-1125.5010929107666,"unknown",-1119.370343208313,-1114.0469481945038,0.0,6.133618116378784,12.55177903175354,20.335933685302734,1581.792944431305,1587.5303814411163,1600.629915714264,"unknown",1608.1313724517822,"unknown",1614.4342713356018,2555.5474140644073,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",2561.8775658607483,"","unknown",2568.9134986400604,2899.839962244034,2906.4627780914307,"unknown","unknown",2913.3441791534424,2914.8116331100464,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2920.0836114883423,"unknown","unknown",2925.4616420269012,"",""
"d9696dd",-18945.696786165237,"unknown",-18938.435800552368,-18932.533364772797,0.0,6.619843006134033,31.257042169570923,39.235806941986084,50.932610511779785,56.164113998413086,70.68142056465149,"unknown",76.76800036430359,"unknown",82.83544611930847,85.20232582092285,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",91.53203010559082,"","unknown",98.6034152507782,116.24828815460205,"unknown",122.85280895233154,"unknown",129.72962498664856,139.87446856498718,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",145.63148140907288,"unknown","unknown",152.49469256401062,"",""
"eff7ebe",-18.72015643119812,"unknown",-11.77977180480957,-5.234221696853638,0.0,7.132111310958862,10.85679578781128,19.26075029373169,33.35960054397583,39.70807671546936,44.30445122718811,"unknown",49.62157225608826,"unknown",55.92254900932312,58.080793142318726,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",65.12504649162292,"","unknown",70.63499093055725,73.5910382270813,80.5343816280365,"unknown","unknown",87.25158882141113,89.2515139579773,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.65830492973328,"unknown","unknown",102.67578220367432,"",""
"5d4fcbe",-132.8690905570984,"unknown",-125.78044414520264,-119.98867797851562,0.0,6.627783536911011,8.300757884979248,16.832676649093628,23.891807556152344,29.54349946975708,32.4214346408844,"unknown","unknown",38.309956789016724,44.99519181251526,56.69462990760803,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",63.25826358795166,"","unknown",68.65905785560608,118.44097852706909,"unknown","unknown",125.28835344314575,130.6059124469757,135.01102709770203,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",140.42349910736084,"unknown","unknown",147.41797995567322,"",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80",-140638.1946401596,"unknown",-140632.2622859478,-140625.91667246819,0.0,6.227889537811279,10.423645496368408,19.19850206375122,32.64349555969238,38.43562388420105,46.967195987701416,"unknown","unknown",52.620237588882446,58.06525158882141,59.82649207115173,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",66.00856757164001,"","unknown",72.84451007843018,77.44699740409851,"unknown",82.8868658542633,"unknown",89.52086186408997,90.99388718605042,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.04945421218872,"unknown","unknown",105.01987648010254,"",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-167.62264251708984,"unknown",-162.00734782218933,-154.79279351234436,0.0,5.914201736450195,10.231266260147095,18.171831130981445,34.69459533691406,40.6542272567749,44.753846883773804,"unknown","unknown",50.97014832496643,57.98055028915405,61.305474042892456,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",67.54085683822632,"","unknown",73.35857224464417,79.58234667778015,"unknown","unknown",84.92007040977478,90.40617966651917,93.99858140945435,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.39381384849548,"unknown","unknown",105.69674849510193,"",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-3879.3305673599243,"unknown",-3872.5114970207214,-3865.8562495708466,0.0,7.051205396652222,11.625155925750732,20.146085500717163,52.54594302177429,59.56037783622742,66.16529560089111,"unknown",72.07271718978882,"unknown",78.55378127098083,84.60738921165466,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",91.64920330047607,"","unknown",98.73293352127075,123.83677124977112,"unknown",129.59414744377136,"unknown",135.1673069000244,137.19964718818665,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",144.2001748085022,"unknown","unknown",150.1708686351776,"",""
"47dcadc",-34978.18601465225,"unknown",-34972.84069657326,-34967.03799676895,0.0,5.528638601303101,13.646517515182495,22.244441032409668,65.02580857276917,72.21134281158447,87.674161195755,"unknown","unknown",94.59711956977844,101.6629204750061,104.50419116020203,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",110.66716575622559,"","unknown",116.48619413375854,125.12983417510986,"unknown","unknown",131.65753865242004,138.03908038139343,141.2913796901703,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",148.46447896957397,"unknown","unknown",153.8991358280182,"",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
