"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-132.18493103981018,"unknown",-121.49578332901001,-111.90570020675659,0.0,6.623323678970337,21.343128442764282,27.39094614982605,46.297330141067505,53.46924805641174,55.79682755470276,62.18709945678711,"unknown","unknown",68.41945004463196,71.5011351108551,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.22294521331787,"unknown",83.61787247657776,127.39915561676025,133.41757249832153,"unknown","unknown",140.13251543045044,2510.9762120246887,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2516.9699201583862,"unknown","unknown",2522.277173757553,""
"56ee475",-302371.25372362137,"unknown",-302364.3616657257,-302357.9485297203,0.0,7.218095064163208,2492.2580938339233,2499.5854799747467,2511.5183334350586,2518.483878135681,2523.9468219280243,2529.4989902973175,"unknown","unknown",2535.0958182811737,2865.6871592998505,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2871.8106830120087,"unknown",2877.2329955101013,4317.409905910492,4324.760498285294,"unknown","unknown",4331.243997097015,4333.336740970612,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4338.833079576492,"unknown","unknown",4345.6204829216,""
"916c172",-15168.367670059204,"unknown",-15162.357916593552,-15156.232051849365,0.0,5.810575246810913,788.443864107132,794.4589745998383,814.7112345695496,820.6919159889221,985.3940277099609,"unknown","unknown",991.1825039386749,998.0713405609131,1001.283301115036,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1006.8654201030731,"unknown",1012.9714639186859,1018.0121259689331,"unknown","unknown",1024.293662071228,1031.5061633586884,1033.2117774486542,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1038.7246391773224,"unknown","unknown",1045.1461219787598,""
"d9696dd",-134591.4040596485,"unknown",-134584.16873931885,-134578.6689054966,0.0,5.880837917327881,8.460207223892212,14.983250856399536,33.96138620376587,40.113447427749634,829075.0909078121,829082.0262925625,"unknown","unknown",829088.726722002,829091.5846865177,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",829097.3498044014,"unknown",829102.7075810432,829105.6297461987,829111.6461133957,"unknown","unknown",829117.4787681103,829119.0252280235,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",829125.786740303,"unknown","unknown",829131.5046415329,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-544256.0416889191,"unknown",-1490.347273349762,-1307.2743656635284,0.0,8.243597507476807,545.2964391708374,551.5075151920319,573.9159438610077,580.4712789058685,583.7724497318268,590.1471502780914,"unknown","unknown",597.7041029930115,599.6550033092499,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",606.1548943519592,"unknown",612.5229442119598,623.0352153778076,629.767566204071,"unknown","unknown",635.374903678894,645.1747572422028,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",652.4799928665161,"unknown","unknown",658.991441488266,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-55882.302508831024,"unknown",-55875.16026639938,-55868.74438238144,0.0,6.610173225402832,13.203272819519043,18.966213941574097,35.62850999832153,42.133052110672,43.9389214515686,50.60949921607971,"unknown","unknown",57.585026025772095,58.87371301651001,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.44147515296936,"unknown",71.57397651672363,76.08802604675293,82.38900351524353,"unknown","unknown",89.56538343429565,90.74141359329224,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.96469187736511,"unknown","unknown",103.82951402664185,""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
