"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1"
"eb77de6",-183928.72196555138,"unknown",-183923.14125800133,-183916.23539686203,0.0,6.959009408950806,14.53515076637268,19.986623287200928,45.317684173583984,52.41149544715881,66.50192785263062,"unknown",73.63326573371887,"unknown",79.12460970878601,88.24155950546265,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",93.74502325057983,"","unknown",100.83607077598572,109.84907245635986,"unknown","unknown",115.56038904190063,121.45169425010681,123.05614590644836,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",129.97406721115112,"unknown","unknown",136.28312945365906,"",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",7.573588609695435,"unknown",25.43810486793518,"unknown",35.03020358085632,"unknown","unknown","unknown","unknown",56.71202993392944,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",72.41448926925659,"unknown","unknown","unknown","unknown",87.47593379020691,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",9.479422569274902,"unknown",24.566384077072144,"unknown",33.302042961120605,"unknown","unknown","unknown","unknown",48.086355447769165,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",71.12055277824402,"unknown","unknown","unknown","unknown",83.6418468952179,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-7066.865339756012,"unknown",-7059.904485940933,-7053.753447294235,0.0,6.525646209716797,9.127741813659668,15.481096506118774,30.16339921951294,36.92648220062256,42.1645565032959,"unknown",48.276387214660645,"unknown",54.56842398643494,202.14902424812317,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",207.60390639305115,"","unknown",213.87560081481934,237.8418834209442,243.13648462295532,"unknown","unknown",249.1794376373291,566.3125293254852,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",571.7245409488678,"unknown","unknown",577.8736593723297,"",""
"916c172",-59.15384578704834,"unknown",-52.713462352752686,-46.25346279144287,0.0,6.154732942581177,14.409673929214478,21.27804970741272,46.194666385650635,53.53331470489502,129.7728989124298,"unknown",135.72063612937927,"unknown",142.0340452194214,1004.9210405349731,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",1010.4642651081085,"","unknown",1016.6817572116852,1033.4409792423248,"unknown","unknown",1039.736495256424,1046.848417043686,1649.1554033756256,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1655.8807241916656,"unknown","unknown",1662.089477777481,"",""
"d9696dd",-15523.96816778183,"unknown",-15518.48397064209,-15511.61172914505,0.0,5.799112796783447,190.4575138092041,196.56359958648682,218.11243844032288,223.72875428199768,225.1452944278717,231.2336676120758,"unknown","unknown",236.76150035858154,238.58933019638062,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",245.90334630012512,"","unknown",252.90515637397766,258.6300883293152,263.8221814632416,"unknown","unknown",269.7268748283386,271.51548409461975,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",277.96066880226135,"unknown","unknown",283.3479514122009,"",""
"eff7ebe",-1477.7677137851715,"unknown",-1471.5188500881195,-1465.2806808948517,0.0,5.677428960800171,8.785215854644775,15.986459255218506,29.782590866088867,35.20497107505798,43.261906147003174,"unknown",49.599395751953125,"unknown",55.24248194694519,57.26194667816162,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",63.47938537597656,"","unknown",68.6209671497345,72.95570611953735,79.37652516365051,"unknown","unknown",84.85191941261292,86.19708395004272,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.63450789451599,"unknown","unknown",97.87399768829346,"",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",13.738903522491455,"unknown",35.88924503326416,"unknown",121.16392207145691,"unknown","unknown","unknown","unknown",136.22505593299866,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",155.26764845848083,"unknown","unknown","unknown","unknown",170.00172924995422,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80",-1383.407649755478,"unknown",-1376.9920890331268,-1370.4934697151184,0.0,5.563066005706787,65.9335560798645,72.30659294128418,111.4681487083435,117.22635054588318,147.55176782608032,"unknown",154.0407145023346,"unknown",159.3321521282196,162.06882500648499,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",167.63995480537415,"","unknown",174.86322689056396,187.73291850090027,"unknown","unknown",194.90134716033936,201.29532742500305,203.174378156662,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",208.53198957443237,"unknown","unknown",215.37739276885986,"",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",10.381731986999512,"unknown",32.842122077941895,"unknown",39.88673114776611,"unknown","unknown","unknown","unknown",226.22380900382996,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",295.23105478286743,"unknown","unknown","unknown","unknown",310.0780358314514,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb",-717075.1890437603,"unknown",-717068.6019966602,-717063.0246472359,0.0,6.575337886810303,9.776822566986084,15.989508867263794,36.38205862045288,43.47671699523926,54.102670669555664,"unknown",60.57727360725403,"unknown",65.883052110672,68.17708134651184,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",74.68405246734619,"","unknown",81.80626177787781,90.27825665473938,95.93142318725586,"unknown","unknown",102.34985613822937,104.1495909690857,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.24022221565247,"unknown","unknown",116.07696437835693,"",""
"0327530",-3088.3107550144196,"unknown",-3082.1616928577423,-3075.86630654335,0.0,5.607834100723267,7.097412586212158,14.242636680603027,63.65099382400513,70.24918055534363,98.00947427749634,104.81593728065491,"unknown","unknown",111.54359698295593,113.7219398021698,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",120.85918831825256,"","unknown",128.02555418014526,151.58006811141968,"unknown","unknown",158.25782585144043,164.98146104812622,166.83834624290466,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",172.85917019844055,"unknown","unknown",179.73447155952454,"",""
"47dcadc",-20293.330033779144,"unknown",-20287.85118317604,-20282.119807481766,0.0,5.269072532653809,40674.276757240295,40679.57471752167,40715.6807641983,40722.31899809837,40731.37023019791,40738.41151070595,"unknown","unknown",40744.352278232574,40746.862644672394,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",40752.44786119461,"","unknown",40758.36400461197,40771.928970336914,40777.944640636444,"unknown","unknown",40783.65982031822,40788.467562913895,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",40795.69174480438,"unknown","unknown",40802.712971925735,"",""
"233ee90",-8183665.6529634,"unknown",-8183659.643073082,-8183654.0440888405,0.0,7.151020765304565,9.201680660247803,16.165873050689697,23.211325645446777,29.487208127975464,41.19892334938049,47.05911660194397,"unknown","unknown",52.842487812042236,55.37986397743225,61.639190673828125,63.172250270843506,"unknown",70.15817832946777,"unknown",76.56520509719849,82.85588359832764,"unknown","","unknown","unknown","unknown","unknown",88.30294752120972,"unknown",95.23839449882507,2449.3406941890717,2456.510716199875,"unknown","unknown",2463.374909877777,2467.7443809509277,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2473.533061027527,"unknown","unknown",2480.7341010570526,-7062383.608394623,""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-4028.9254293441772,"unknown",-4022.035125017166,-4015.3755650520325,0.0,6.147052526473999,9.662003517150879,16.64868426322937,33.37547183036804,40.42607259750366,43.71753525733948,"unknown","unknown",50.56133580207825,56.0168821811676,59.61755681037903,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",65.56883335113525,"","unknown",71.12175273895264,76.09845876693726,"unknown","unknown",83.49974775314331,89.67929220199585,94.7285840511322,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.89389562606812,"unknown","unknown",107.45101428031921,"",""
"ee4b6cd",-230.73549365997314,"unknown",-224.52289628982544,-218.0704698562622,0.0,6.085681438446045,22.275144338607788,29.204676628112793,48.859314918518066,54.48287606239319,68.41547799110413,"unknown",74.85064911842346,"unknown",80.18036413192749,523.9458391666412,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",529.9723720550537,"","unknown",537.1260039806366,549.6397054195404,555.8583104610443,"unknown","unknown",562.5369591712952,637.0196964740753,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",643.1432027816772,"unknown","unknown",649.1429102420807,"",""
"f2291ba",-152599.05478310585,"unknown",-152543.05566620827,-152488.23444724083,0.0,5.936636447906494,117529.61597108841,117535.80828499794,117567.72881317139,117573.68251633644,117579.62031245232,"unknown",117585.52937245369,"unknown",117590.87039875984,117592.236515522,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",117597.92671704292,"","unknown",117604.95335841179,1409624.4501314163,"unknown",1409630.9251339436,"unknown",1409636.9547894,1409638.8808526993,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1409645.3738956451,"unknown","unknown",1409652.2843654156,-6888.84566783905,97764.82166624069
"fb6ca94",-3024860.639993906,"unknown",-3024854.5279750824,-3024845.2710545063,0.0,7.1815502643585205,12.5578932762146,19.15951657295227,30.436304807662964,37.64517140388489,40.15791869163513,45.389238357543945,"unknown","unknown",52.528714656829834,53.765796422958374,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",60.09902548789978,"","unknown",67.18955945968628,75.67879462242126,"unknown","unknown",81.47970223426819,87.05986142158508,101.69331431388855,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.03998970985413,"unknown","unknown",114.00473070144653,-2920197.741160631,""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-16789.67789196968,"unknown",-16783.838523864746,-16777.802162885666,0.0,6.508295297622681,11.896434783935547,17.97666049003601,36.91978454589844,44.15531516075134,78.35084581375122,"unknown",84.69940829277039,"unknown",91.38976716995239,116.15534663200378,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",122.57168078422546,"","unknown",129.675922870636,157.67991876602173,"unknown",163.1297743320465,"unknown",170.05966567993164,174.7904510498047,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",182.0158176422119,"unknown","unknown",187.88998174667358,"",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-7441.9217648506165,"unknown",-7435.2404153347015,-7429.955217838287,0.0,6.486887693405151,10.763565301895142,16.598132610321045,31.278381824493408,38.064549684524536,42.22579026222229,48.47287964820862,"unknown","unknown",55.00782585144043,64.61519122123718,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",70.82108354568481,"","unknown",76.23631381988525,83.30774354934692,89.57284212112427,"unknown","unknown",96.68976497650146,127.96888613700867,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.2386872768402,"unknown","unknown",140.7597439289093,"",""
"50a0fdd",-1092.3377249240875,"unknown",-1085.8331172466278,-1079.0329413414001,0.0,6.346925497055054,12.394060134887695,17.900723934173584,29.573644399642944,35.28304314613342,38.18357181549072,45.176708698272705,"unknown","unknown",50.55945920944214,52.37963652610779,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",58.597272872924805,"","unknown",64.09668326377869,67.5356867313385,74.01323366165161,"unknown","unknown",81.08921837806702,82.58259224891663,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.77593684196472,"unknown","unknown",94.82426810264587,"",""
