"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1"
"d9696dd",-30206.595712661743,"unknown",-30199.78398013115,-30193.37129688263,0.0,5.908912181854248,120774.24887871742,120781.8316886425,120791.77206325531,120798.1375465393,120815.51977133751,"unknown","unknown",120821.43912601471,120827.32242202759,120829.27393722534,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120836.31936240196,"unknown",120843.48681521416,120845.60784745216,"unknown",120852.67960596085,"unknown",120858.36664319038,120861.39558362961,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120868.47725534439,"unknown","unknown",120874.45920443535,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-191760.3821489811,"unknown",-191754.80590367317,-191747.68874311447,0.0,5.630431175231934,8.403136968612671,16.22367000579834,60.933079957962036,68.11294531822205,86.76607942581177,"unknown",94.04997134208679,"unknown",100.85487127304077,127.45683169364929,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",134.35698556900024,"unknown",139.67158031463623,2060.5745391845703,"unknown","unknown",2068.073459148407,2073.909783601761,21477.6764588356,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",21484.672555685043,"unknown","unknown",21492.116676807404,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-848.2346606254578,"unknown",-841.5694372653961,-836.3521580696106,0.0,6.30527663230896,23.855342864990234,32.505707025527954,62.06169819831848,67.71395993232727,74.38753938674927,"unknown","unknown",81.57583832740784,86.99230790138245,94.2998595237732,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.091623544693,"unknown",108.04051351547241,113.94448256492615,"unknown","unknown",120.7820737361908,126.90384984016418,138.01676154136658,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",143.50820207595825,"unknown","unknown",148.93390202522278,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-43172.65346431732,"unknown",-43166.030059576035,-43158.72767877579,0.0,6.235600233078003,9.23049807548523,16.32454204559326,32.950117349624634,39.8201699256897,43.749608516693115,"unknown",50.06083846092224,"unknown",56.4297354221344,60.42626643180847,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.28206753730774,"unknown",74.28747153282166,76.55207324028015,"unknown",83.34961414337158,"unknown",90.01578426361084,99.05061745643616,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",104.61044049263,"unknown","unknown",110.76320505142212,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-12037.09384894371,"unknown",-12030.032718896866,-12024.526787519455,0.0,6.97589635848999,15.261135339736938,23.324567794799805,35.95457100868225,41.722107887268066,47.39842700958252,"unknown","unknown",54.30560040473938,59.609288692474365,61.531553745269775,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.37788224220276,"unknown",74.00319290161133,77.32549023628235,"unknown","unknown",86.46884989738464,93.25858998298645,95.16753482818604,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.85583686828613,"unknown","unknown",107.8101212978363,""
"bf983ba",-127.02048349380493,"unknown",-121.1039412021637,-114.62807202339172,0.0,7.486286878585815,14.182472467422485,21.924938678741455,51417.054693222046,51423.14568853378,51425.4637465477,"unknown",51432.62133002281,"unknown",51438.79779314995,51440.358548641205,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",51446.57509636879,"unknown",51452.54865074158,51455.217679739,"unknown","unknown",51460.966690540314,51467.756919384,51469.46471571922,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",51475.014872312546,"unknown","unknown",51480.31602048874,""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-3632.657927274704,"unknown",-3625.7258899211884,-3620.0213561058044,0.0,6.8800365924835205,10.603643655776978,17.655141592025757,37.547152280807495,44.067312717437744,47.40405011177063,"unknown","unknown",53.06267547607422,58.86212658882141,63.471871852874756,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.2795729637146,"unknown",75.40829467773438,81.66095471382141,"unknown",87.19459962844849,"unknown",92.91897296905518,94.86458325386047,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.71068859100342,"unknown","unknown",107.54624652862549,""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-1345.9735431671143,"unknown",-1339.144884109497,-1333.3387446403503,0.0,7.053440570831299,9.280485391616821,17.3715341091156,41.987391233444214,48.510422706604004,53.020838022232056,"unknown","unknown",59.72853660583496,65.15285277366638,66.93969511985779,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.98483633995056,"unknown",79.1501853466034,81.82238531112671,"unknown","unknown",88.45792579650879,94.28116536140442,2438.488168001175,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2445.9824080467224,"unknown","unknown",2452.877638578415,""
"2dffb9e",-1810273.3213496208,"unknown",-1810268.011045456,-1810260.8175361156,0.0,5.92584490776062,8.118589401245117,16.400956630706787,28.38602876663208,35.52875566482544,38.22986340522766,45.20645213127136,"unknown","unknown",51.687055349349976,53.6297070980072,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.430978775024414,"unknown",66.24579405784607,69.70695352554321,75.59935998916626,"unknown","unknown",81.34039688110352,83.28892469406128,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.54548573493958,"unknown","unknown",94.10154891014099,""
"7a35b75",-1282.8639597892761,"unknown",-1275.9253189563751,-1269.2783045768738,0.0,5.3657732009887695,7.746856212615967,14.690058469772339,33.424959897994995,40.37584042549133,44.9561493396759,"unknown","unknown",50.400182247161865,57.10750961303711,66.75119590759277,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.79649877548218,"unknown",78.47469234466553,85.27839088439941,"unknown","unknown",90.6147952079773,97.73537349700928,99.81792902946472,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.93370246887207,"unknown","unknown",112.47331976890564,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
