"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"2f5762a",-10820.562362670898,"unknown",-10815.073408126831,-10808.572306632996,0.0,7.303472280502319,12.466854333877563,20.038031101226807,56.150078535079956,62.67647981643677,65.6114284992218,"unknown","unknown",72.51549196243286,79.0237500667572,81.02902412414551,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.74623608589172,"unknown",93.51798868179321,96.26051783561707,"unknown","unknown",102.33619093894958,108.5832839012146,113.85480642318726,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.28697299957275,"unknown","unknown",127.00285935401917,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba",-3992.6634821891785,"unknown",-3986.6380710601807,-3980.3786492347717,0.0,6.727963209152222,8.403411865234375,16.729896068572998,28.351125717163086,33.948694467544556,35.83754372596741,"unknown","unknown",42.29251551628113,48.79148769378662,50.44694113731384,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.789535999298096,"unknown",63.19392228126526,494.91407918930054,"unknown","unknown",501.64187383651733,508.66053462028503,515.5817277431488,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",521.6736207008362,"unknown","unknown",527.7016286849976,""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-242.94312047958374,"unknown",-236.11434483528137,-230.03175163269043,0.0,7.267170190811157,10.600980043411255,19.059016466140747,27.635131120681763,33.04837083816528,39.117318630218506,"unknown","unknown",45.69183921813965,52.47456336021423,54.409783124923706,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.883201360702515,"unknown",66.80359959602356,76.06919574737549,"unknown","unknown",83.2675666809082,90.4958655834198,96.44631576538086,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.67006635665894,"unknown","unknown",108.0891752243042,""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-592.2194323539734,"unknown",-584.9621436595917,-579.0591464042664,0.0,7.361105680465698,10.348301887512207,18.272355556488037,111229.38702893257,111236.61931848526,111248.19788527489,111253.56225562096,"unknown","unknown",111259.9054338932,111262.51138448715,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",111269.18389606476,"unknown",111275.50270056725,111277.87872195244,111283.71970462799,"unknown","unknown",111289.6735906601,111291.47401690483,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",111297.02998065948,"unknown","unknown",111302.37420916557,""
