"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"b7cec81",-2956.685043334961,"unknown",-2949.3519763946533,-2943.98193693161,0.0,6.369808912277222,8.145698547363281,14.92238450050354,26.807739734649658,33.654378175735474,36.17036485671997,"unknown","unknown",43.22672128677368,48.59378361701965,50.69629502296448,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",57.772335052490234,"","unknown",64.0497214794159,77941.5716714859,"unknown","unknown",77948.05003762245,77955.32712340355,77957.03926110268,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",77963.20766234398,"unknown","unknown",77969.24810957909
"bf983ba",-52.63345766067505,"unknown",-46.03118014335632,-39.034504652023315,0.0,6.600441217422485,9.17611026763916,14.726516246795654,21.519355297088623,26.936994075775146,30.317556858062744,"unknown",35.664897441864014,"unknown",41.961695194244385,43.77725148200989,50.408716917037964,51.797319173812866,"unknown","unknown",57.51441812515259,64.13859176635742,68.71529197692871,75.58372235298157,77.24524569511414,"unknown",83.92421889305115,"unknown","unknown","",90.08531188964844,96.29727005958557,99.60446310043335,"unknown","unknown",105.20815706253052,111.25308203697205,1210.3676710128784,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1216.9471347332,"unknown","unknown",1224.0059051513672
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-5053.512408256531,"unknown",-5047.113925218582,-5040.292946577072,0.0,7.2957234382629395,12.730953454971313,18.467442512512207,48.99838948249817,54.91597247123718,58.96244192123413,"unknown",65.1016263961792,"unknown",71.04182744026184,72.61271834373474,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",78.28810334205627,"","unknown",85.10831141471863,87.7747700214386,"unknown",93.70281052589417,"unknown",99.82127904891968,103.24247574806213,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.56195831298828,"unknown","unknown",115.77196621894836
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-28.416253328323364,"unknown",-23.19273328781128,-17.253159284591675,0.0,6.283200740814209,14.696570634841919,20.489339351654053,37.708489418029785,43.37966871261597,45.498663663864136,"unknown","unknown",50.774107217788696,57.14389228820801,89.98145318031311,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",98.20907759666443,"","unknown",104.01157522201538,112.33130502700806,117.84051942825317,"unknown","unknown",123.82729411125183,137.67000651359558,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",143.36515617370605,"unknown","unknown",149.26697778701782
"2dffb9e",-22.471352338790894,"unknown",-16.409815788269043,-10.514878273010254,0.0,6.948089122772217,9.161755800247192,15.280828714370728,35.88588523864746,42.32235026359558,44.77991461753845,"unknown","unknown",51.76991844177246,57.804197549819946,60.07234501838684,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",66.60459661483765,"","unknown",72.88644003868103,79.33513045310974,85.97656607627869,"unknown","unknown",92.24334573745728,95.21740508079529,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.84290480613708,"unknown","unknown",107.53636574745178
"7a35b75",-18386.32705783844,"unknown",-18380.206922531128,-18373.856825351715,0.0,6.974323987960815,9.537755012512207,15.441173553466797,30.971983671188354,37.351744413375854,42.1087441444397,"unknown",47.78690218925476,"unknown",53.95726943016052,55.73495960235596,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",61.15819597244263,"","unknown",68.05748128890991,73.81740689277649,"unknown",80.84537267684937,"unknown",87.36485123634338,89.61923909187317,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.94524598121643,"unknown","unknown",101.65455365180969
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-691.6330938339233,"unknown",-684.9815144538879,-677.9884474277496,0.0,6.755748271942139,18.58052134513855,25.34169888496399,1237895.3093233109,1237901.321890831,1237904.7112669945,"unknown",1237910.603765726,"unknown",1237917.226833105,1237931.9791779518,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",1237939.5081686974,"","unknown",1237945.9669852257,1237951.3716835976,1237956.813286066,"unknown","unknown",1237962.5160832405,1237967.2216954231,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1237973.4414815903,"unknown","unknown",1237979.64184165
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-23191.047572612762,"unknown",-23184.275122880936,-23177.165749311447,0.0,7.083385229110718,9.054784059524536,16.326162338256836,35.91499400138855,41.678325176239014,65.76124429702759,"unknown",73.08344602584839,"unknown",78.98721122741699,83.64934349060059,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",90.63556456565857,"","unknown",97.05528235435486,101.13593697547913,"unknown",107.50475001335144,"unknown",114.8224048614502,116.2101902961731,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",122.84718704223633,"unknown","unknown",130.03648042678833
"8ec15bc",-22.60250735282898,"unknown",-17.049590587615967,-11.386507749557495,0.0,5.348721981048584,6.78987455368042,12.997273683547974,15.106018543243408,20.95801854133606,32.350501537323,37.75726556777954,"unknown","unknown",43.33641052246094,44.90790796279907,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",51.525681257247925,"","unknown",58.56798720359802,69.85959482192993,"unknown",75.85224103927612,"unknown",82.90684413909912,84.10069227218628,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.35940313339233,"unknown","unknown",95.81392288208008
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-60586.310921669006,"unknown",-60580.103350162506,-60573.59604382515,0.0,5.708111524581909,8.230906009674072,14.853721380233765,35.453383445739746,41.471250772476196,51.37733721733093,58.47689914703369,"unknown","unknown",64.9280059337616,69.38116121292114,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",74.96912050247192,"","unknown",80.45175409317017,149.05640268325806,155.64829683303833,"unknown","unknown",161.94220900535583,166.87165999412537,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",173.9221498966217,"unknown","unknown",181.02047157287598
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
