"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-92850.23465418816,"unknown",-92843.60131454468,-92838.20762753487,0.0,5.36359977722168,8.619409322738647,14.390671730041504,26.426411151885986,33.060933113098145,37.14586067199707,"unknown","unknown",42.539549350738525,49.6300094127655,52.15378427505493,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.76634669303894,"","unknown",63.56127047538757,70.00668120384216,"unknown","unknown",77.3140139579773,83.72247552871704,85.75498509407043,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.24928450584412,"unknown","unknown",98.25408577919006
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-2581.642885684967,"unknown",-2576.150808095932,-2570.4839763641357,0.0,5.289340972900391,18.82740330696106,25.469602584838867,64.48103475570679,71.3806083202362,91.11702942848206,"unknown",96.69200873374939,"unknown",102.21209383010864,103.91972160339355,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.65230917930603,"","unknown",116.4034538269043,125.52361416816711,132.4552505016327,"unknown","unknown",138.46008324623108,141.55923533439636,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",148.40595602989197,"unknown","unknown",155.18296265602112
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-2554.0794858932495,"unknown",-2547.764935731888,-2541.809750318527,0.0,5.877857685089111,7.837335824966431,13.820137977600098,43.79486274719238,49.36532783508301,51.42539596557617,58.35125756263733,"unknown","unknown",63.90341782569885,66.14774537086487,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.86024951934814,"","unknown",78.58188462257385,92.49766850471497,99.95856714248657,"unknown","unknown",106.93562531471252,429172.341514349,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",429178.2825295925,"unknown","unknown",429184.59583234787
"2dffb9e",-208.886057138443,"unknown",-203.38536167144775,-197.92845010757446,0.0,6.068183898925781,16.160794019699097,22.766347885131836,32.759833335876465,38.09257173538208,40.79041051864624,"unknown",46.18299865722656,"unknown",51.38362789154053,53.9129683971405,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.4281051158905,"","unknown",65.64585709571838,68.83735513687134,"unknown","unknown",74.74038791656494,79.92624020576477,81.65261197090149,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.62548589706421,"unknown","unknown",95.82015800476074
"7a35b75",-104.079341173172,"unknown",-98.77368402481079,-93.02889561653137,0.0,7.264140844345093,11.952297449111938,17.591519355773926,33.22185921669006,40.105446338653564,52.787235498428345,"unknown",58.200629472732544,"unknown",65.0017478466034,66.66013765335083,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.35688519477844,"","unknown",80.28616714477539,82.89152789115906,89.33043050765991,"unknown","unknown",94.88316345214844,96.49765348434448,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.68135905265808,"unknown","unknown",108.74736261367798
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
