"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-844.1490573883057,"unknown",-837.8845281600952,-831.1854491233826,0.0,5.859822988510132,12.675919532775879,18.332700967788696,34.708128213882446,41.767001152038574,50.67332577705383,"unknown",55.985265254974365,"unknown",62.593159437179565,64.18905091285706,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.61808800697327,"","unknown",76.57682943344116,80.543785572052,"unknown",86.61868119239807,"unknown",92.80332016944885,95.08599328994751,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",101.17471647262573,"unknown","unknown",106.77867007255554
"56ee475",-5386.555500030518,"unknown",-5379.840262413025,-5372.733079433441,0.0,5.377633571624756,12.171536445617676,18.906432390213013,346.7211892604828,353.7039883136749,359.6383144855499,365.81091475486755,"unknown","unknown",371.7072193622589,373.91623187065125,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",379.713148355484,"","unknown",385.61181449890137,388.2053732872009,394.3818235397339,"unknown","unknown",400.7624363899231,416.4583969116211,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",423.0454354286194,"unknown","unknown",430.0752999782562
"916c172",-423.54984879493713,"unknown",-416.6359848976135,-411.40250992774963,0.0,6.895944356918335,108.56042385101318,114.26200604438782,120.40830492973328,126.49327731132507,131.0243420600891,"unknown","unknown",136.68378615379333,142.21068048477173,144.05788588523865,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",149.56767797470093,"","unknown",156.75997066497803,161.24442720413208,167.95259594917297,"unknown","unknown",173.38741898536682,183.4110131263733,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",190.60750246047974,"unknown","unknown",197.35381507873535
"d9696dd",-26268.750293016434,"unknown",-26262.760863542557,-26257.274401903152,0.0,7.059220314025879,89843.55280637741,89850.3054535389,156224.4342300892,156229.9110646248,156232.7729165554,156239.84495210648,"unknown","unknown",156246.6737396717,156248.45579481125,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",156255.01340317726,"","unknown",156261.85062789917,156263.81374120712,156270.33279681206,"unknown","unknown",156276.9514362812,156279.01295518875,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",156284.9354979992,"unknown","unknown",156291.25925660133
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-1819.0915040969849,"unknown",-1813.2882590293884,-1806.997450351715,0.0,7.3174474239349365,8.678183317184448,14.358068466186523,24.428661584854126,30.24578857421875,44.45061254501343,50.61286783218384,"unknown","unknown",56.82863140106201,58.62705397605896,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.1730329990387,"","unknown",72.43500971794128,75.16634917259216,80.67098784446716,"unknown","unknown",87.0788300037384,88.9831964969635,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",95.59786677360535,"unknown","unknown",101.59426736831665
