"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-820.0582039356232,-813.8420813083649,-808.4827892780304,-802.9741394519806,0.0,6.838381290435791,142.8044867515564,149.99585580825806,158.43153071403503,164.24008321762085,166.3627631664276,"unknown",173.26216316223145,"unknown",179.18249368667603,181.62434554100037,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",188.0966670513153,"unknown",194.047935962677,201.5544810295105,207.19100952148438,"unknown","unknown",213.09665942192078,215.26093649864197,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",220.8936219215393,"unknown","unknown",226.31219935417175
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-8969.353151798248,-8962.123464345932,-8956.097050666809,-8949.488205432892,0.0,6.188010215759277,11.498997926712036,19.130937099456787,27.973756074905396,35.32948184013367,39.079848527908325,"unknown","unknown",44.37732458114624,51.029956102371216,54.01670432090759,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.52084398269653,"unknown",66.51809978485107,80.61339354515076,"unknown","unknown",86.3423719406128,92.19634294509888,94.4239706993103,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.29219102859497,"unknown","unknown",107.0173852443695
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ee7f92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89d63ed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c0a644e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
