"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-3065.9072303771973,-3060.2931814193726,-3054.236927986145,-3047.927281856537,0.0,7.38309907913208,10.786747455596924,18.384147882461548,46.90650916099548,54.30406880378723,67.75963759422302,"unknown","unknown",74.86925268173218,80.18156909942627,82.35750198364258,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.13306546211243,"unknown",93.98104429244995,98.10293459892273,"unknown","unknown",104.41403102874756,109.80596256256104,112.96828055381775,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.52613568305969,"unknown","unknown",126.72692918777466
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-1085.177833557129,-1079.036068201065,-1072.0282940864563,-1065.4969296455383,0.0,5.535194635391235,8.192902088165283,16.530303478240967,47.774940729141235,54.78530812263489,75.057302236557,81.97140049934387,"unknown","unknown",87.99570226669312,97.55768132209778,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.62534952163696,"unknown",110.0493414402008,135.49023604393005,142.33567762374878,"unknown","unknown",149.34881496429443,150.94524478912354,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",156.56041526794434,"unknown","unknown",163.36876010894775
"2dffb9e",-90.21248602867126,-84.04674792289734,-77.93773031234741,-71.2303376197815,0.0,6.329162359237671,10.83511996269226,18.24931502342224,32.78663229942322,38.28044581413269,41.23081302642822,"unknown",48.598915815353394,"unknown",54.119070291519165,56.376102924346924,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.7367217540741,"unknown",67.40707755088806,71.75436902046204,"unknown","unknown",78.92307543754578,84.86104464530945,87.63036370277405,93.40506505966187,105.17074203491211,"unknown","unknown",112.30697202682495,119.3057074546814,121.39548230171204,"unknown","unknown","unknown","unknown","unknown",128.10046076774597,"unknown",134.3322672843933
"7a35b75",-66.71626901626587,-60.63436532020569,-54.08005690574646,-47.7129168510437,0.0,6.396728277206421,25.759644746780396,32.99656438827515,62.97994875907898,68.96017980575562,72.27123832702637,"unknown","unknown",77.9001841545105,85.01732230186462,93.28338837623596,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.77897524833679,"unknown",106.54779362678528,109.79460668563843,"unknown","unknown",116.8502242565155,123.72257566452026,127.72467708587646,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.7098994255066,"unknown","unknown",142.47865867614746
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
