"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","4_1","5_otro_1","3_1","7_otro_1"
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",54.88871169090271,"unknown",76.45184183120728,"unknown",4291.460141420364,"unknown","unknown","unknown","unknown",13460.217127799988,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",13491.139268636703,"unknown","unknown","unknown","unknown",13584.044081926346,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"d9696dd","unknown","unknown","unknown","unknown",0.0,"unknown",10.174338102340698,"unknown",38.35441780090332,"unknown",56.43898105621338,"unknown","unknown","unknown","unknown",71.23804044723511,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",90.56074333190918,"unknown","unknown","unknown","unknown",105.07363295555115,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"eff7ebe",-74475.0465221405,"unknown",-74453.99159264565,-74420.33202958107,0.0,7.210247993469238,10.421539783477783,18.785430192947388,27.60061001777649,33.929516553878784,48.31084108352661,54.72897934913635,"unknown","unknown",60.22570013999939,62.74572467803955,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.25054121017456,"","unknown",76.03324556350708,85.05609273910522,92.1036148071289,"unknown","unknown",98.1829628944397,99.72942900657654,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.61266374588013,"unknown","unknown",112.03062200546265,"","","","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",57.9670193195343,"unknown",90.163170337677,"unknown",130.41359329223633,"unknown","unknown","unknown","unknown",144.8461718559265,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",188.4252851009369,"unknown","unknown","unknown","unknown",202.79649567604065,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"965ec7c","unknown","unknown","unknown","unknown",0.0,"unknown",16.523958206176758,"unknown",55.34486937522888,"unknown",126.60674786567688,"unknown","unknown","unknown","unknown",1166.418373823166,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",1239.9986770153046,"unknown","unknown","unknown","unknown",1255.074107170105,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"170bd80","unknown","unknown","unknown","unknown",0.0,"unknown",14.63114881515503,"unknown",34.67971324920654,"unknown",80.95237565040588,"unknown","unknown","unknown","unknown",96.32062101364136,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",131.73864006996155,"unknown","unknown","unknown","unknown",153.56954503059387,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"e2738b5","unknown","unknown","unknown","unknown",0.0,"unknown",14.480286598205566,"unknown",62.49981379508972,"unknown",108.92343354225159,"unknown","unknown","unknown","unknown",131.64051866531372,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",170.0911569595337,"unknown","unknown","unknown","unknown",185.14646124839783,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",15.571805953979492,"unknown",44.364562034606934,"unknown",69.40504503250122,"unknown","unknown","unknown","unknown",96.03404474258423,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",126.73539018630981,"unknown","unknown","unknown","unknown",143.41686606407166,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"d874e84",-854.2195973396301,"unknown",-835.631902217865,-804.6640710830688,0.0,6.564839839935303,63.95326566696167,71.19889831542969,86.7951934337616,93.9282500743866,105.24368929862976,110.7883837223053,"unknown","unknown",116.32551574707031,118.50077486038208,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.36560440063477,"","unknown",132.40442299842834,137.04339003562927,143.2001531124115,"unknown","unknown",149.92341780662537,153.02299809455872,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",160.2358181476593,"unknown","unknown",166.97983765602112,"","","","",""
"65b2a4c",-763.2292375564575,"unknown",-757.3532023429871,-750.8593590259552,0.0,7.4657673835754395,11.322490692138672,18.885483741760254,27.007776260375977,32.33793044090271,69.83171796798706,76.92877411842346,"unknown","unknown",82.99256587028503,85.52697730064392,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.88526010513306,"","unknown",96.51928091049194,103.64265894889832,110.83280396461487,"unknown","unknown",118.04974102973938,119.34386658668518,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.98227858543396,"unknown","unknown",132.72429299354553,"","","","",""
