"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6",-55463.73095989227,"unknown",-55457.34368824959,-55451.39159369469,0.0,6.008434295654297,10.382280349731445,17.26676344871521,37.461244344711304,43.958378076553345,46.823784828186035,"unknown","unknown",53.85078763961792,60.9706027507782,63.215434074401855,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",68.68042349815369,"","unknown",75.68482947349548,82.7530734539032,"unknown","unknown",88.81664419174194,96.01859903335571,97.92551255226135,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.601407289505,"unknown","unknown",110.19139051437378,""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",9.044580698013306,"unknown",26.962195873260498,"unknown",37.58695077896118,"unknown","unknown","unknown","unknown",50.57748889923096,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",66.70098543167114,"unknown","unknown","unknown","unknown",80.81004428863525,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",7.6073033809661865,"unknown",24.384695529937744,"unknown",34.19406247138977,"unknown","unknown","unknown","unknown",59.95365023612976,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",192.91052770614624,"unknown","unknown","unknown","unknown",206.57424998283386,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"56ee475",-2592.989774465561,"unknown",-2587.1720299720764,-2580.2195098400116,0.0,6.814107418060303,11.804067373275757,19.699652433395386,37.5263192653656,43.23548102378845,50.39650845527649,"unknown",55.84910774230957,"unknown",62.31949186325073,64.90992593765259,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",71.08924746513367,"","unknown",76.7752468585968,80.39295244216919,85.96105694770813,"unknown","unknown",91.82539653778076,93.52705025672913,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.99725794792175,"unknown","unknown",105.76673555374146,""
"916c172",-26544.662440538406,"unknown",-26538.03935599327,-26531.092346429825,0.0,6.351299285888672,20.461069583892822,28.815366744995117,106.82001781463623,112.88643026351929,538.0997273921967,"unknown",544.0201008319855,"unknown",549.6114869117737,559.1175832748413,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",566.6051697731018,"","unknown",573.7664833068848,587.993319272995,594.3447625637054,"unknown","unknown",601.0368311405182,615.7022514343262,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",622.9844174385071,"unknown","unknown",629.592919588089,""
"d9696dd",-41537.71735048294,"unknown",-41530.501428842545,-41523.7809073925,0.0,7.054300785064697,13.952173233032227,22.13067650794983,26.563148498535156,32.43753266334534,46.91039323806763,"unknown",53.19357776641846,"unknown",58.74520564079285,60.75976634025574,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",67.48932909965515,"","unknown",72.81997394561768,75.13231563568115,81.94813132286072,"unknown","unknown",87.83716583251953,89.91488718986511,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.6513204574585,"unknown","unknown",103.27818489074707,""
"eff7ebe",-9532.645338535309,"unknown",-9526.004652023315,-9518.855213403702,0.0,6.232565641403198,8.844112396240234,16.703828811645508,28.3655686378479,34.530723571777344,44.07864713668823,"unknown",49.59165096282959,"unknown",56.24683928489685,58.9244167804718,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",66.17289185523987,"","unknown",71.78556084632874,90.64939141273499,"unknown",96.2622082233429,"unknown",103.29034447669983,104.6847596168518,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.71469402313232,"unknown","unknown",116.4679000377655,""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",9.390156745910645,"unknown",33.133415937423706,"unknown",54.63307499885559,"unknown","unknown","unknown","unknown",69.68123292922974,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",87.60044026374817,"unknown","unknown","unknown","unknown",109.7486662864685,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80",-434695.9490995407,"unknown",-434688.6826174259,-434682.6491522789,0.0,6.103764295578003,14.478491306304932,21.68592858314514,37.843045473098755,43.7562141418457,66.29382658004761,"unknown","unknown",71.94560289382935,77.92634129524231,82.17092537879944,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",89.3449592590332,"","unknown",96.26284980773926,103.9254777431488,"unknown",111.11535120010376,"unknown",118.03776693344116,123.33102011680603,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.55918908119202,"unknown","unknown",136.00460600852966,""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
