"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"2f5762a",-24031.74865794182,"unknown",-24024.125977754593,-24018.02659726143,0.0,6.259719371795654,12.98643183708191,21.062245845794678,42.62459325790405,47.99749827384949,50.8503634929657,"unknown","unknown",56.20291590690613,61.807900190353394,64.58768153190613,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.70707440376282,"unknown",77.49481701850891,82.2073621749878,"unknown","unknown",89.26807427406311,96.12844586372375,184.42815923690796,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",190.56085586547852,"unknown","unknown",196.86506342887878
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-620.6803984642029,"unknown",-614.6280596256256,-607.9717335700989,0.0,14.114636898040771,19.430826663970947,34.378979444503784,45.51722431182861,59.04808020591736,63.365965366363525,"unknown","unknown",70.11544442176819,75.87289142608643,78.4427809715271,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.64002823829651,"unknown",90.68977642059326,95.26638269424438,"unknown","unknown",101.75867938995361,108.19827032089233,110.68173289299011,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.2621693611145,"unknown","unknown",124.00961494445801
"bf983ba",-2036.0515537261963,"unknown",-2030.497236251831,-2023.4217562675476,0.0,5.746488094329834,7.800415515899658,16.409790754318237,20.580139636993408,27.501158237457275,32.25525522232056,"unknown","unknown",39.28699827194214,45.021708965301514,51.210959672927856,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.77604341506958,"unknown",63.72849130630493,67.21730899810791,"unknown","unknown",74.10618877410889,80.69950222969055,83.62239933013916,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.26434302330017,"unknown","unknown",97.17350172996521
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-9840.491874694824,"unknown",-9834.460015535355,-9827.69049501419,0.0,6.783716440200806,13.158822298049927,20.65255117416382,39.05743598937988,45.125786542892456,53.00649404525757,"unknown","unknown",60.166027307510376,65.56441235542297,67.62316250801086,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.8952853679657,"unknown",80.21466612815857,85.17967939376831,"unknown","unknown",90.69366025924683,97.80173087120056,99.3211076259613,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.23743033409119,"unknown","unknown",111.87479257583618
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-28.894271850585938,"unknown",-22.66753077507019,-17.25446605682373,0.0,5.8238770961761475,33.44887614250183,41.63558340072632,65.95827865600586,71.58917570114136,73.981281042099,80.63648748397827,"unknown","unknown",87.275710105896,89.51018333435059,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.76207518577576,"unknown",102.58539128303528,104.34631752967834,110.04021406173706,"unknown","unknown",115.36677694320679,117.18529534339905,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.6752781867981,"unknown","unknown",129.84758591651917
"2dffb9e",-2625.033045530319,"unknown",-2619.4596989154816,-2612.634968519211,0.0,7.384200096130371,10.644309520721436,18.022013425827026,32.69950866699219,38.42457818984985,44.09896516799927,"unknown","unknown",49.79455900192261,55.473021268844604,60.45905590057373,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.49681496620178,"unknown",73.15761399269104,971.9879159927368,"unknown",978.4803745746613,"unknown",984.5693011283875,987.9637603759766,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",994.9582076072693,"unknown","unknown",1001.969740152359
"7a35b75",-723.1311457157135,"unknown",-715.9027678966522,-709.7856688499451,0.0,7.224392652511597,35.45102047920227,44.13630938529968,65.21566605567932,72.38334822654724,74.77562522888184,"unknown","unknown",81.51652979850769,87.35659837722778,101.25131344795227,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.6860818862915,"unknown",113.58697581291199,117.28553342819214,"unknown","unknown",123.53009366989136,129.92494297027588,134.01100063323975,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",141.13954210281372,"unknown","unknown",148.38880705833435
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-309.123037815094,"unknown",-302.0635676383972,-295.03803181648254,0.0,6.424306631088257,13.256206750869751,21.510883569717407,48.87306213378906,54.466076612472534,59.393858909606934,"unknown","unknown",66.16136002540588,72.8007481098175,74.61312222480774,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.65438652038574,"unknown",88.88610816001892,91.52669310569763,"unknown","unknown",98.29312896728516,105.08973479270935,106.84688639640808,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.89226055145264,"unknown","unknown",120.89792966842651
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63",-439627.3319861889,"unknown",-439620.1140882969,-439614.8123021126,0.0,6.566185235977173,10.006535053253174,18.575482845306396,41.23570418357849,47.379748582839966,52.73210692405701,"unknown",59.71609091758728,"unknown",66.08878540992737,68.27126836776733,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.25417923927307,"unknown",82.42146348953247,87.2028739452362,"unknown","unknown",94.1926531791687,99.80924582481384,102.7810971736908,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.32840037345886,"unknown","unknown",114.97724342346191
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-2560.7468957901,"unknown",-2553.646528482437,-2546.876317501068,0.0,5.887869119644165,22.306848287582397,31.001655340194702,44.076903104782104,50.742695808410645,55.51563501358032,"unknown",61.00729846954346,"unknown",67.41074919700623,70.50520157814026,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.69286847114563,"unknown",84.07195544242859,86.54065442085266,"unknown","unknown",93.35396790504456,98.86346745491028,101.51435804367065,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.5411205291748,"unknown","unknown",114.32985782623291
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
