"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1","2_1"
"916c172",-25.911506175994873,"unknown",-19.71697163581848,-12.416394233703613,0.0,6.609162330627441,13.093827724456787,19.531603574752808,30.243836879730225,35.57127571105957,39.64404845237732,45.33104848861694,"unknown","unknown",53.01827049255371,55.973798751831055,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.29713535308838,"","unknown",68.55209612846375,74.41044282913208,"unknown","unknown",81.2470953464508,88.41184210777283,90.4471504688263,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.20676708221436,"unknown","unknown",102.25966143608093,"",""
"d9696dd",-77664.63080000877,"unknown",-77655.8381125927,-77649.63007426262,0.0,6.183026075363159,16.349129915237427,23.387463808059692,26.29936146736145,32.23684024810791,558581.2433512211,"unknown",558586.807652235,"unknown",558593.8653099537,558596.4219763279,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",558602.2143583298,"","unknown",558608.146872282,558611.9915931225,"unknown",558617.3062319756,"unknown",558623.0456674099,558628.7633290291,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",558634.0939748287,"unknown","unknown",558640.1131613255,26183.940507650375,""
"eff7ebe",-2331871.67624259,"unknown",-2331864.82685256,-2331859.2212610245,0.0,5.840992212295532,8.403281927108765,13.982728958129883,26.7886643409729,33.9796404838562,38.55997347831726,45.69611883163452,"unknown","unknown",52.39108872413635,56.79302763938904,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.98208713531494,"","unknown",69.57104897499084,77.67167329788208,84.11360931396484,"unknown","unknown",90.34300541877747,92.46885347366333,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.27642846107483,"unknown","unknown",104.67739486694336,"",-141.88280725479126
"5d4fcbe",-24.45720410346985,"unknown",-17.787091732025146,-12.18186902999878,0.0,5.814016103744507,7.3260109424591064,13.55825138092041,27.953880071640015,33.64646768569946,36.30117321014404,43.239736795425415,"unknown","unknown",49.35062336921692,83.10570073127747,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.62614369392395,"","unknown",95.72813963890076,105.28266549110413,112.58117294311523,"unknown","unknown",118.40913915634155,123.24066305160522,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",129.26490378379822,"unknown","unknown",134.61651587486267,"",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-2058.549892425537,"unknown",-2052.079321861267,-2045.7236905097961,0.0,5.620190620422363,11.030174732208252,16.424125909805298,33.1979079246521,39.53076791763306,43.76407718658447,"unknown",49.43265724182129,"unknown",55.99896311759949,58.70768642425537,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.96747303009033,"","unknown",69.42145824432373,75.39293169975281,82.22612810134888,"unknown","unknown",87.54268908500671,88.88013005256653,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.55667448043823,"unknown","unknown",100.69561767578125,"",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
