"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","2_2","5_otro_1","4_1"
"eb77de6",-56770.471407175064,"unknown",-56764.06698679924,-56757.49870181084,0.0,6.957672357559204,14.353426218032837,21.54367160797119,74.6935338973999,81.63632655143738,104.08274364471436,"unknown","unknown",109.68774628639221,116.57391309738159,118.47354793548584,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.56461548805237,"","unknown",131.7662787437439,204.54367017745972,"unknown","unknown",210.29825854301453,216.8038673400879,218.50506567955017,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",224.62013387680054,"unknown","unknown",230.92357206344604,"","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",10.40455937385559,"unknown",32.34056115150452,"unknown",43.510926961898804,"unknown","unknown","unknown","unknown",57.09022641181946,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",78.98939871788025,"unknown","unknown","unknown","unknown",93.81029224395752,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",9.512655019760132,"unknown",28.31436038017273,"unknown",42.07485032081604,"unknown","unknown","unknown","unknown",59.75906324386597,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",79.59076428413391,"unknown","unknown","unknown","unknown",99.91773819923401,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"56ee475",-347.3393876552582,"unknown",-341.7078504562378,-335.5211434364319,0.0,6.2967188358306885,23.055415391921997,31.441817045211792,52.586313247680664,58.16801047325134,65.09704303741455,"unknown","unknown",71.45176482200623,78.77717542648315,81.23395252227783,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.57769322395325,"","unknown",93.4904625415802,106.72644805908203,"unknown","unknown",113.21891379356384,120.41669368743896,138.30636644363403,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",145.55023837089539,"unknown","unknown",150.8608386516571,"","","",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",20.474967002868652,"unknown",180.73207426071167,"unknown",245.27703619003296,"unknown","unknown","unknown","unknown",732.7963571548462,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",5873.004091024399,"unknown","unknown","unknown","unknown",5903.1726858615875,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"d9696dd","unknown","unknown","unknown","unknown",0.0,"unknown",25.890523433685303,"unknown",50.79675793647766,"unknown",65.12149691581726,"unknown","unknown","unknown","unknown",84.03256225585938,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",106.49892544746399,"unknown","unknown","unknown","unknown",120.11445713043213,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"eff7ebe",-8603.934952497482,"unknown",-8598.030384778976,-8592.415730714798,0.0,6.899826526641846,9.579052925109863,17.21424102783203,33.94177556037903,39.26691508293152,56.531999349594116,"unknown","unknown",62.96595072746277,68.17331337928772,70.2028591632843,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.44697093963623,"","unknown",84.45520663261414,101.67703223228455,"unknown","unknown",108.50193929672241,114.617351770401,116.1844174861908,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",122.66614603996277,"unknown","unknown",129.97813415527344,"","","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",10.46218490600586,"unknown",47.91049861907959,"unknown",75.71081805229187,"unknown","unknown","unknown","unknown",92.13057374954224,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",117.56300568580627,"unknown","unknown","unknown","unknown",132.18004965782166,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","unknown","unknown","unknown","unknown",0.0,"unknown",10.253335952758789,"unknown",47.326523780822754,"unknown",69.70860171318054,"unknown","unknown","unknown","unknown",82.16026186943054,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",111.57962965965271,"unknown","unknown","unknown","unknown",128.18205428123474,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
