"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","3_1"
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-9783.614518642426,"unknown",-9777.669022321701,-9772.174342393875,0.0,6.794441223144531,9.13622522354126,15.361106395721436,19.743228673934937,26.670353889465332,44.90724515914917,"unknown","unknown",50.57846736907959,56.97951102256775,59.567583084106445,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.41175675392151,"","unknown",71.22661304473877,73.95792889595032,"unknown","unknown",79.82250022888184,86.64743685722351,92.09460687637329,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.48484659194946,"unknown","unknown",104.65571212768555,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-214.80250763893127,"unknown",-209.21828389167786,-203.2922773361206,0.0,6.359919548034668,15.231077194213867,21.715681791305542,30.008302450180054,36.95936989784241,45.991596698760986,"unknown",52.9041223526001,"unknown",58.42907762527466,60.64729428291321,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.82836961746216,"","unknown",74.18839907646179,77.63756537437439,"unknown","unknown",84.34707522392273,91.08106565475464,92.79732513427734,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.30135583877563,"unknown","unknown",103.68833804130554,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba",-4917.639672279358,"unknown",-4911.635368347168,-4905.3010132312775,0.0,6.291845083236694,12.738708257675171,19.567437171936035,23.22529411315918,29.304020166397095,192.92565536499023,"unknown",199.53707075119019,"unknown",206.685551404953,221.1318666934967,228.29461860656738,230.05826354026794,"unknown","unknown",235.90471076965332,243.100280046463,245.48365354537964,"unknown","unknown","unknown","unknown","unknown",252.59533405303955,"unknown",258.39335346221924,433.14444851875305,"unknown","unknown",439.4064447879791,444.7224049568176,449.0028305053711,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",454.5136151313782,"unknown","unknown",461.26758337020874,""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-12872.096239805222,"unknown",-12865.09253334999,-12858.155728578568,0.0,6.631951093673706,11.664481401443481,17.474653959274292,40.44440531730652,47.575894355773926,54.299830198287964,"unknown",61.377726316452026,"unknown",68.30931901931763,70.82541418075562,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.24634027481079,"","unknown",82.3796021938324,87.53776812553406,"unknown",93.00480651855469,"unknown",100.16912364959717,102.66419172286987,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.6416244506836,"unknown","unknown",113.95718812942505,""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-1828.7330386638641,"unknown",-1822.6824340820312,-1816.8512241840363,0.0,6.537588596343994,8.434860706329346,15.015649795532227,39.246859550476074,46.1563286781311,50.98136901855469,58.113481760025024,"unknown","unknown",64.4499204158783,66.58677315711975,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.66342973709106,"","unknown",80.0385148525238,83.8271234035492,89.19710230827332,"unknown","unknown",95.36208891868591,100.0045416355133,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.66172289848328,"unknown","unknown",111.66871356964111,""
"2dffb9e",-4469.751494407654,"unknown",-4464.361224889755,-4457.896733283997,0.0,5.95081353187561,8.39743185043335,13.815280199050903,22.819563388824463,30.167789936065674,33.589378356933594,39.70197153091431,"unknown","unknown",46.27600026130676,48.18326497077942,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",54.83219528198242,"","unknown",60.4577522277832,67.39321947097778,74.23596429824829,"unknown","unknown",81.24263191223145,82.82657551765442,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.14450812339783,"unknown","unknown",93.74158382415771,""
"7a35b75",-100.52188205718994,"unknown",-93.79899215698242,-88.19581413269043,0.0,6.728942632675171,10.338715314865112,17.21109938621521,31.093401193618774,38.93776798248291,158.27679705619812,"unknown",165.20969009399414,"unknown",171.49574065208435,174.06387567520142,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",179.8140709400177,"","unknown",185.65157794952393,208.10734009742737,"unknown","unknown",215.05227518081665,221.2275993824005,226.04443907737732,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",231.96638584136963,"unknown","unknown",238.84715938568115,""
