"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-5683.79734992981,"unknown",-5677.624485731125,-5672.225182056427,0.0,7.172214508056641,11.316712856292725,18.15416121482849,36.321367263793945,42.54975867271423,46.054763078689575,"unknown","unknown",51.59148669242859,57.51561760902405,60.8828330039978,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.44467878341675,"","unknown",74.4614143371582,76.43145298957825,"unknown","unknown",82.96688747406006,88.47653317451477,90.0863881111145,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.9329891204834,"unknown","unknown",104.0702452659607,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-23495.22299695015,"unknown",-23488.657630205154,-23481.901922225952,0.0,6.666327476501465,9.868468523025513,16.525981426239014,32.576337575912476,38.29408097267151,43.80553603172302,"unknown","unknown",50.528019428253174,56.006306171417236,58.32556629180908,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.09567928314209,"","unknown",70.91195631027222,74.21705460548401,"unknown","unknown",80.6865005493164,87.0149621963501,92.35230827331543,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.72650241851807,"unknown","unknown",104.44420909881592,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-31121.32328891754,"unknown",-31114.500069618225,-31108.227647304535,0.0,5.193521738052368,7.524040937423706,14.13228988647461,26.70661163330078,33.58778643608093,38.239431381225586,"unknown","unknown",44.2819561958313,50.73917055130005,52.66090774536133,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.079365968704224,"","unknown",65.88110947608948,68.29446530342102,"unknown","unknown",75.21142745018005,82.32255792617798,84.86318325996399,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.34514665603638,"unknown","unknown",97.46381878852844,""
"bf983ba",-24.643737316131592,"unknown",-17.928576946258545,-12.634914636611938,0.0,6.657231092453003,8.690734386444092,15.540742874145508,39.477089166641235,46.4811577796936,48.35468673706055,"unknown",55.30279350280762,"unknown",61.034239053726196,67.37830424308777,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.96968269348145,"","unknown",78.77942109107971,82.46340608596802,"unknown",89.47384858131409,"unknown",94.82356834411621,111.9283721446991,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.60780930519104,"unknown","unknown",124.43385148048401,""
