"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","2_2","3_1","4_1"
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.693111896514893,"unknown",34.84306049346924,"unknown",46.327890396118164,"unknown","unknown","unknown","unknown",61.915980100631714,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",80.76212549209595,"unknown","unknown","unknown","unknown",96.17362856864929,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"56ee475",-1086.1357669830322,"unknown",-1079.2955384254456,-1072.6396284103394,0.0,5.7933313846588135,11.477887392044067,18.53191566467285,36.743345975875854,42.89381694793701,50.97807431221008,"unknown","unknown",58.33544874191284,64.0568835735321,65.96662449836731,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.79367256164551,"","unknown",79.16677212715149,234.19518065452576,"unknown",239.88346123695374,"unknown",246.7652952671051,248.8358337879181,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",256.26370453834534,"unknown","unknown",263.7299528121948,"","","",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",47.623889446258545,"unknown",103.96409130096436,"unknown",123.99138760566711,"unknown","unknown","unknown","unknown",137.1475920677185,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",223.7325632572174,"unknown","unknown","unknown","unknown",236.76373171806335,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"d9696dd","unknown","unknown","unknown","unknown",0.0,"unknown",26.550655603408813,"unknown",51.08887076377869,"unknown",66.34193062782288,"unknown","unknown","unknown","unknown",81.6630756855011,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",103.00089073181152,"unknown","unknown","unknown","unknown",118.89310550689697,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"eff7ebe",-28.728100061416626,"unknown",-22.46613097190857,-15.983123779296875,0.0,5.471300363540649,9.715346336364746,17.72756814956665,32.48136496543884,38.104002952575684,52.87677359580994,59.996673583984375,"unknown","unknown",65.83996629714966,68.62235975265503,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.70271873474121,"","unknown",82.466383934021,87.99976253509521,94.96765184402466,"unknown","unknown",100.90166592597961,103.05780386924744,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",108.92461633682251,"unknown","unknown",115.52471804618835,"","","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",12.183199882507324,"unknown",33.574970722198486,"unknown",54.109304666519165,"unknown","unknown","unknown","unknown",68.890860080719,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",92.55662059783936,"unknown","unknown","unknown","unknown",105.56745219230652,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","unknown","unknown","unknown","unknown",0.0,"unknown",13.025240659713745,"unknown",41.43798327445984,"unknown",60.93947792053223,"unknown","unknown","unknown","unknown",77.05844831466675,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",97.4011242389679,"unknown","unknown","unknown","unknown",111.54112792015076,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"e2738b5",-3461.717160463333,"unknown",-3429.818112373352,-3399.181279182434,0.0,6.163473606109619,13.248144388198853,21.786675691604614,33.64321970939636,39.575332164764404,48.26270294189453,"unknown","unknown",55.03010940551758,62.08771800994873,64.60620975494385,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.00599718093872,"","unknown",76.21313834190369,84.46243453025818,91.22041034698486,"unknown","unknown",98.51766753196716,115.70765900611877,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",122.29754972457886,"unknown","unknown",129.11403369903564,"","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",25.14429020881653,"unknown",53.244694232940674,"unknown",71.0589964389801,"unknown","unknown","unknown","unknown",86.61347341537476,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",110.72704720497131,"unknown","unknown","unknown","unknown",124.67836117744446,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
