"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","7_otro_1"
"79868cd",-1440.3867766857147,"unknown",-1433.1756825447083,-1426.4766309261322,0.0,6.751710414886475,30856.633954286575,30862.609744787216,30872.985857248306,30879.52889585495,30881.715758800507,"unknown","unknown",30888.90246272087,30894.21080517769,30895.912398815155,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",30902.610167741776,"","unknown",30908.57982325554,30911.364877939224,"unknown",30917.097729444504,"unknown",30923.117113113403,32525.500592947006,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",32531.722883462906,"unknown","unknown",32538.655540704727,"",""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-492646.82914066315,"unknown",-492641.5664331913,-492635.7356874943,0.0,6.6681554317474365,9.010757446289062,14.263165950775146,26.296071767807007,32.32061791419983,48.314024209976196,"unknown",54.694700479507446,"unknown",60.77818536758423,62.5589165687561,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.47119450569153,"","unknown",74.75367403030396,78.74024963378906,"unknown",85.57812142372131,"unknown",91.15384984016418,99.54545331001282,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.2378900051117,"unknown","unknown",113.20610904693604,"",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-4576052.013240814,"unknown",-4576045.137995958,-4576038.047683001,0.0,5.869940757751465,10.36135482788086,17.396985292434692,23.091938495635986,30.028958559036255,146.589115858078,"unknown","unknown",153.18501543998718,160.19763493537903,161.86763954162598,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",169.0874547958374,"","unknown",174.90919375419617,177.57199025154114,"unknown","unknown",183.50790929794312,188.82839345932007,193.235915184021,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",198.66080904006958,"unknown","unknown",205.4541940689087,-93029.30774331093,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
