"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"bf983ba",-3222.4003143310547,-3216.0342965126038,-3210.614943742752,-3204.3032422065735,0.0,6.062882900238037,93.51464176177979,100.24855279922485,102.88645386695862,109.51816368103027,208.27796983718872,215.32266855239868,"unknown","unknown",222.22535371780396,225.20937371253967,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",232.38977766036987,"unknown",239.29555439949036,334.6524877548218,"unknown",341.5882394313812,"unknown",348.46591544151306,1284.580777168274,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1291.369793176651,"unknown","unknown",1298.1456158161163,""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-2820.0220487117767,-2812.7065889835358,-2805.537183046341,-2798.6426084041595,0.0,7.350996971130371,10.971205234527588,16.888206243515015,28.033272743225098,33.66057085990906,36.65618062019348,43.49592709541321,"unknown","unknown",50.67727088928223,54.79914736747742,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.78658366203308,"unknown",67.19454717636108,70.05575656890869,76.5305871963501,"unknown","unknown",82.58617305755615,84.11231708526611,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.56933975219727,"unknown","unknown",96.0177071094513,""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
