"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","5_1"
"eb77de6",-114664.70651912689,"unknown",-114659.50278282166,-114653.28558731079,0.0,6.900686740875244,15.152499437332153,20.446414470672607,27.400903701782227,32.856332540512085,65.7690737247467,71.80136060714722,"unknown","unknown",77.84107398986816,83.53246283531189,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.60185050964355,"","unknown",95.2642457485199,132.32261562347412,139.473486661911,"unknown","unknown",145.1921947002411,146.59918785095215,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",153.18958854675293,"unknown","unknown",158.98225927352905,"",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",14.416909456253052,"unknown",31.62034249305725,"unknown",43.63273215293884,"unknown","unknown","unknown","unknown",68.78252744674683,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",160.5362811088562,"unknown","unknown","unknown","unknown",176.0420753955841,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.57383680343628,"unknown",27.685154914855957,"unknown",49.33935856819153,"unknown","unknown","unknown","unknown",65.00563287734985,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",84.21786117553711,"unknown","unknown","unknown","unknown",98.90854024887085,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-558813.4786407948,"unknown",-15971.638334035873,-15788.722349882126,0.0,6.425696134567261,10.451944351196289,17.48406219482422,35.88768935203552,41.898420333862305,48.63910174369812,"unknown",54.793283462524414,"unknown",61.69008946418762,63.900431394577026,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.22807312011719,"","unknown",76.0903537273407,80.85595631599426,86.94653010368347,"unknown","unknown",92.39498043060303,94.20960283279419,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.84643054008484,"unknown","unknown",107.68570899963379,"",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",591.5925769805908,"unknown",611.7306749820709,"unknown",825.5735108852386,"unknown","unknown","unknown","unknown",854.1582896709442,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",919.0570249557495,"unknown","unknown","unknown","unknown",931.1524837017059,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d9696dd",-166757.62009644508,"unknown",-166750.65899133682,-166744.33772730827,0.0,6.1168248653411865,8.644343137741089,15.358065605163574,326021.7450635433,326027.72009301186,326045.37443065643,"unknown",326052.17777371407,"unknown",326058.5237495899,326060.794973135,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",326067.70911073685,"","unknown",326073.09276771545,326075.9861295223,326081.9842619896,"unknown","unknown",326087.6090698242,326090.220700264,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",326097.2321321964,"unknown","unknown",326103.88799118996,"",""
"eff7ebe",-4078.762179851532,"unknown",-4072.9721801280975,-4067.6546626091003,0.0,6.706640005111694,9.903143882751465,15.420674562454224,32.91375398635864,38.61349320411682,52.752251625061035,"unknown",59.91139268875122,"unknown",66.50040555000305,68.66668677330017,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.59935331344604,"","unknown",82.53096842765808,87.61271071434021,"unknown","unknown",94.44972729682922,101.0088758468628,118.90409755706787,126.02999377250671,133.6269669532776,"unknown",139.5348789691925,"unknown",145.29634141921997,147.3178834915161,"unknown","unknown","unknown","unknown","unknown",153.019526720047,"unknown",158.51837348937988,"",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",960.1093008518219,"unknown",984.6038854122162,"unknown",1024.4469845294952,"unknown","unknown","unknown","unknown",1042.2688856124878,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",1058.5541687011719,"unknown","unknown","unknown","unknown",1076.0324614048004,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80",-41710.42772960663,"unknown",-41704.430309057236,-41697.2210149765,0.0,6.090806722640991,11.400611400604248,18.617626905441284,41.2876763343811,46.92583465576172,59.87732148170471,"unknown","unknown",66.5467312335968,72.32866263389587,73.82050919532776,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.80945539474487,"","unknown",86.70911812782288,104.58119249343872,"unknown",111.20986461639404,"unknown",116.56340646743774,118.51916551589966,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.71003532409668,"unknown","unknown",131.73065829277039,"",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",11.945518255233765,"unknown",41.49503517150879,"unknown",53.947052240371704,"unknown","unknown","unknown","unknown",68.71041893959045,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",88.21262168884277,"unknown","unknown","unknown","unknown",103.02052617073059,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d874e84",-3183.748648405075,"unknown",-3177.9140763282776,-3171.716705560684,0.0,7.267697811126709,18.999337196350098,25.244638442993164,43.24779748916626,49.04291319847107,61.64079141616821,"unknown",69.11084198951721,"unknown",75.35930919647217,579.0430176258087,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",584.8435389995575,"","unknown",590.2520446777344,592.8407545089722,"unknown",598.480066537857,"unknown",604.0793726444244,758.2495195865631,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",764.0100584030151,"unknown","unknown",770.6496686935425,"",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9",-48419.58162808418,"unknown",-48414.15350699425,-48408.162014722824,0.0,6.593002796173096,10.013835430145264,16.563692331314087,77.12087345123291,82.63170385360718,107.61054539680481,"unknown","unknown",114.3036162853241,119.79886054992676,121.33640837669373,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.78061079978943,"","unknown",133.7545301914215,140.53257727622986,"unknown","unknown",146.57284784317017,152.0628945827484,156.39832830429077,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",161.710364818573,"unknown","unknown",168.46157836914062,"",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692",-6792.338623285294,"unknown",-6785.980969667435,-6779.267525672913,0.0,6.477105617523193,12.392827272415161,18.227166891098022,39.45818901062012,45.07013177871704,67.95025205612183,"unknown",73.6444194316864,"unknown",79.06665420532227,81.4344129562378,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.63829827308655,"","unknown",95.05208277702332,102.11129236221313,108.77970695495605,"unknown","unknown",115.07512712478638,117.28345847129822,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.2209689617157,"unknown","unknown",130.5238001346588,"",""
"90ccafb",-5177138.683542013,"unknown",-5177133.274606466,-5177127.8553471565,0.0,6.8625030517578125,10.669752836227417,16.239325284957886,30.9145770072937,36.707972049713135,38.91426157951355,44.92340421676636,"unknown","unknown",52.06820106506348,53.918429136276245,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.57931184768677,"","unknown",65.83751916885376,71.19253182411194,77.62175512313843,"unknown","unknown",84.17919564247131,85.76435375213623,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.95416402816772,"unknown","unknown",97.71350479125977,-2902705.690070629,""
"0327530",-28164.45414209366,"unknown",-28157.81560921669,-28150.97588968277,0.0,6.272705078125,9.320982217788696,15.495864152908325,34.824222564697266,40.64691662788391,58415.20358777046,"unknown",58421.96522116661,"unknown",58428.28393864632,58431.051894664764,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58437.49901509285,"","unknown",58443.19595479965,58465.683197021484,"unknown",58472.284405231476,"unknown",58479.09912753105,58483.06238293648,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58488.5705473423,"unknown","unknown",58495.93464255333,"",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",26.52190399169922,"unknown",75.6831042766571,"unknown",87.51645016670227,"unknown","unknown","unknown","unknown",104.41091084480286,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",135.8638608455658,"unknown","unknown","unknown","unknown",154.38102793693542,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"233ee90",-60140.26320528984,"unknown",-60134.96476316452,-60127.98890829086,0.0,6.733600616455078,637.9973418712616,644.7891869544983,656.489551782608,662.3471748828888,665.8299725055695,672.7043268680573,"unknown","unknown",678.645970582962,681.6060276031494,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",686.9152603149414,"","unknown",693.3921453952789,703.2803270816803,"unknown",710.079026222229,"unknown",716.1669499874115,718.0330007076263,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",723.8085691928864,"unknown","unknown",730.092148065567,"",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
