"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"7b3c431",-1999.1479985713959,"unknown",-1992.8317096233368,-1987.124924659729,0.0,7.1069746017456055,11.15220046043396,19.012935638427734,35.128878593444824,42.109334230422974,69.73990964889526,"unknown",76.20967841148376,"unknown",81.53423595428467,84.51618981361389,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.08965039253235,"unknown",96.40125060081482,100.77140259742737,"unknown",106.42859244346619,"unknown",112.60333156585693,114.72660636901855,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.43711948394775,"unknown","unknown",125.81131100654602
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-1355.038859128952,"unknown",-1348.211182832718,-1341.3939826488495,0.0,7.195671081542969,43.49087071418762,51.76702618598938,1629.46337890625,1635.5432481765747,1638.8500237464905,"unknown",1644.6288499832153,"unknown",1651.1409516334534,268750.4136326313,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",268756.9270751476,"unknown",268762.6022539139,269085.72551703453,269092.68198657036,"unknown","unknown",269099.0130267143,269101.6751947403,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",269107.3769981861,"unknown","unknown",269113.5996441841
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-165.42558598518372,"unknown",-159.98709726333618,-153.44620084762573,0.0,6.059082984924316,21.471402168273926,29.302155256271362,46.20094180107117,52.87503671646118,56.62996196746826,"unknown",61.979859828948975,"unknown",68.67994213104248,70.2020251750946,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.56286334991455,"unknown",83.71205759048462,86.86661648750305,"unknown",92.13383603096008,"unknown",97.91216993331909,99.48690247535706,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.87495040893555,"unknown","unknown",112.70407772064209
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
