"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1","4_1","5_1"
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",7.846261978149414,"unknown",30.71994638442993,"unknown",50.75305199623108,"unknown","unknown","unknown","unknown",77.93731498718262,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",96.55238795280457,"unknown","unknown","unknown","unknown",112.56370615959167,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.047285795211792,"unknown",18.051020622253418,"unknown",43.6730215549469,"unknown","unknown","unknown","unknown",56.44948625564575,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",73.8718638420105,"unknown","unknown","unknown","unknown",88.07347917556763,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"56ee475",-3034.338212966919,"unknown",-3027.00847196579,-3020.7419822216034,0.0,5.624768257141113,145.94559001922607,152.40823006629944,169.6156783103943,175.29396510124207,179.35892748832703,"unknown","unknown",185.06358528137207,191.47672080993652,194.29454517364502,199.90294742584229,206.85770320892334,"unknown",212.577898979187,"unknown",218.62253880500793,220.30608868598938,"unknown","unknown","unknown","unknown","unknown",225.99172067642212,"unknown",231.82442259788513,240.89300918579102,"unknown",246.63709139823914,"unknown",253.73831582069397,255.83595299720764,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",263.0056104660034,"unknown","unknown",268.40635991096497,"","","",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",23.587024688720703,"unknown",97.30615639686584,"unknown",2142.6798717975616,"unknown","unknown","unknown","unknown",2203.6020832061768,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",37272.18737721443,"unknown","unknown","unknown","unknown",37284.843970537186,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"d9696dd","unknown","unknown","unknown","unknown",0.0,"unknown",10.890957593917847,"unknown",46.335959911346436,"unknown",55.954750061035156,"unknown","unknown","unknown","unknown",72.13526034355164,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",94.98028898239136,"unknown","unknown","unknown","unknown",109.29959774017334,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"eff7ebe",-20.068455457687378,"unknown",-13.73176121711731,-8.10715365409851,0.0,5.802875995635986,7.809664011001587,13.599416494369507,32.61261796951294,39.20548677444458,54.29811930656433,"unknown",59.74695706367493,"unknown",66.08021116256714,67.6756477355957,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.46165299415588,"","unknown",80.4078094959259,89.62973499298096,"unknown",96.14716148376465,"unknown",102.42406558990479,104.17367315292358,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.38926720619202,"unknown","unknown",115.86404323577881,"","","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",7.6798059940338135,"unknown",39.31354880332947,"unknown",51.57314157485962,"unknown","unknown","unknown","unknown",72.06619787216187,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",87.75561690330505,"unknown","unknown","unknown","unknown",204.87988257408142,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","unknown","unknown","unknown","unknown",0.0,"unknown",13.118021965026855,"unknown",70.06799840927124,"unknown",86.02980422973633,"unknown","unknown","unknown","unknown",99.95175433158875,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",121.55045795440674,"unknown","unknown","unknown","unknown",153.79457902908325,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",10.849262475967407,"unknown",42.07258868217468,"unknown",65.35750961303711,"unknown","unknown","unknown","unknown",81.18394112586975,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",106.02130126953125,"unknown","unknown","unknown","unknown",123.06532764434814,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"d874e84",-2593.194252729416,"unknown",-2586.1252040863037,-2579.1581649780273,0.0,6.0693910121917725,126.10926127433777,133.35251021385193,194.59701490402222,200.79280924797058,202.4064257144928,208.12012934684753,"unknown","unknown",214.11549425125122,222.40900778770447,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",229.06078624725342,"","unknown",235.28061604499817,264.59611201286316,270.2380542755127,"unknown","unknown",277.31319546699524,279.4131760597229,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",285.49282574653625,"unknown","unknown",291.10836577415466,"","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","unknown","unknown","unknown","unknown",0.0,"unknown",8.966900110244751,"unknown",45.18519425392151,"unknown",56.74147582054138,"unknown","unknown","unknown","unknown",70.60791516304016,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",86.68169975280762,"unknown","unknown","unknown","unknown",102.24450039863586,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692",-178.85461163520813,"unknown",-173.254332780838,-166.32895398139954,0.0,5.2726898193359375,9.014048099517822,16.110063076019287,38.391188859939575,46.22079253196716,72.21692752838135,"unknown",77.61618661880493,"unknown",84.57864475250244,86.32379865646362,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.83096241950989,"","unknown",99.53922462463379,130.20452451705933,136.81437301635742,"unknown","unknown",142.27937483787537,144.07990956306458,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",150.7674949169159,"unknown","unknown",156.69267416000366,"","","",""
"90ccafb",-700522.3921601772,"unknown",-700517.1070930958,-700510.2067084312,0.0,5.72209906578064,8.564075469970703,15.427550315856934,29.38964056968689,36.121018171310425,40.32325053215027,"unknown",47.38930106163025,"unknown",54.3163046836853,56.06144952774048,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.30681824684143,"","unknown",67.92261695861816,74.22865271568298,"unknown",79.88814115524292,"unknown",86.85337257385254,88.26070261001587,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.65707492828369,"unknown","unknown",99.46601605415344,"","","",""
"0327530",-172535.09833145142,"unknown",-172529.32334589958,-172522.07442331314,0.0,6.01842188835144,11.582990169525146,18.42364239692688,70.90652465820312,77.7955379486084,87.275630235672,94.56341648101807,"unknown","unknown",100.66404867172241,102.6688482761383,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.19405627250671,"","unknown",114.76575303077698,139.75869417190552,"unknown",146.09980249404907,"unknown",151.92079854011536,153.45588660240173,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",158.9588165283203,"unknown","unknown",165.60496640205383,"","","",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",15.193428993225098,"unknown",150.8294219970703,"unknown",218.24763584136963,"unknown","unknown","unknown","unknown",237.86499762535095,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",277.1198801994324,"unknown","unknown","unknown","unknown",300.7508690357208,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"233ee90",-2887.7395713329315,"unknown",-2881.4898800849915,-2875.9302592277527,0.0,7.275608777999878,15.66570258140564,22.61036777496338,41.16171741485596,48.24088931083679,55.401748180389404,61.54132103919983,"unknown","unknown",67.9506344795227,70.46470165252686,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.82979154586792,"","unknown",82.96922445297241,109.30765962600708,115.75700759887695,"unknown","unknown",122.6348135471344,125.99111413955688,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132.8606243133545,"unknown","unknown",139.7333643436432,"","","",""
"db844b1","unknown","unknown","unknown","unknown",0.0,"unknown",12.60643458366394,"unknown",38.27836060523987,"unknown",49.70720195770264,"unknown","unknown","unknown","unknown",63.393980741500854,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",78.49680733680725,"unknown","unknown","unknown","unknown",92.10981893539429,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"e4c0f9c",-413247.3697106838,"unknown",-413241.9471833706,-413235.8133587837,0.0,6.385740518569946,16.652969121932983,23.63025665283203,52.263469219207764,59.20066046714783,75.60277342796326,"unknown","unknown",81.07756876945496,86.84945273399353,89.55813455581665,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.26456141471863,"","unknown",103.49044990539551,110.00954818725586,"unknown","unknown",115.71778798103333,121.36696481704712,125.6639313697815,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132.38976335525513,"unknown","unknown",137.88518047332764,"","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","unknown","unknown","unknown","unknown",0.0,"unknown",66763.5877494812,"unknown",66771.1808040142,"unknown",67000.30547904968,"unknown","unknown","unknown","unknown",67014.4212179184,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",69923.98667836189,"unknown","unknown","unknown","unknown",69937.47263407707,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"b92dee2","unknown","unknown","unknown","unknown",0.0,"unknown",13.826417684555054,"unknown",44.56342387199402,"unknown",53.660818576812744,"unknown","unknown","unknown","unknown",69.0979208946228,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",88.73879384994507,"unknown","unknown","unknown","unknown",105.07737135887146,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"50ec1c5","unknown","unknown","unknown","unknown",0.0,"unknown",20.837950944900513,"unknown",76.77090907096863,"unknown",103.09336853027344,"unknown","unknown","unknown","unknown",118.41160655021667,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",141.0589828491211,"unknown","unknown","unknown","unknown",184.51796054840088,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
