"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","cont_2","2_1","2_2"
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-386.5129039287567,"unknown",-379.70934009552,-373.5089089870453,0.0,6.973656415939331,11.194849967956543,18.436922550201416,35.261391401290894,42.635825395584106,44.47131109237671,"unknown",50.940107345581055,"unknown",57.848548889160156,60.342698097229004,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",67.4449348449707,"","unknown",73.46973323822021,76.475177526474,81.77261257171631,"unknown","unknown",87.3723418712616,910.6121423244476,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",917.166261434555,"unknown","unknown",924.283673286438,"","",""
"56ee475",-63913.16350769997,"unknown",-63907.33884143829,-63901.92055606842,0.0,5.58945369720459,40.817824840545654,47.85318207740784,66.54074883460999,73.42417812347412,101.43620657920837,"unknown","unknown",107.29565119743347,113.70274662971497,212.22527194023132,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",218.710129737854,"","unknown",224.2661316394806,886.6735627651215,892.9083969593048,"unknown","unknown",898.3032715320587,16140.574326753616,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",16147.41820693016,"unknown","unknown",16154.327640771866,"","",""
"916c172",-4302.019022941589,"unknown",-4296.470077514648,-4290.830933570862,0.0,6.250695466995239,818.7099273204803,826.6429483890533,865.1452252864838,871.7666189670563,875.2974367141724,"unknown",881.816168308258,"unknown",888.2594859600067,890.9090173244476,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",898.1000390052795,"","unknown",903.8763253688812,909.8788979053497,916.0995960235596,"unknown","unknown",922.2472674846649,923.6169967651367,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",930.9331216812134,"unknown","unknown",937.7525825500488,"","",""
"d9696dd",-196846.40554904938,"unknown",-196839.9386279583,-196832.56612873077,0.0,6.934322118759155,81636.3142387867,81641.91535520554,81669.07086396217,81674.65766453743,81679.20357966423,"unknown",81685.63905715942,"unknown",81691.89229798317,81693.31227564812,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",81699.79828453064,"","unknown",81705.5308265686,81712.50825428963,81719.27922177315,"unknown","unknown",81726.46141719818,81730.57145500183,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81737.58233070374,"unknown","unknown",81744.49694371223,"","",""
"eff7ebe",-2164.0824925899506,"unknown",-2156.9487149715424,-2150.461740255356,0.0,6.057340860366821,37.05783462524414,43.138742208480835,46.30003499984741,52.448455572128296,70.99533367156982,"unknown",77.55491209030151,"unknown",84.76950550079346,86.30059099197388,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",92.23735976219177,"","unknown",99.15326619148254,104.8545196056366,"unknown",110.16823768615723,"unknown",116.15824365615845,132.56709957122803,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",138.18586111068726,"unknown","unknown",144.96778917312622,"","",""
"5d4fcbe",-80.38878774642944,"unknown",-73.64971852302551,-66.95867395401001,0.0,6.7063868045806885,8.328087091445923,15.057674884796143,17.482614040374756,22.980921745300293,40.51994347572327,"unknown",46.21067023277283,"unknown",52.19994354248047,60.305506229400635,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",67.05867791175842,"","unknown",73.77490592002869,83.89330530166626,"unknown",89.31078696250916,"unknown",95.85550665855408,128.48715686798096,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",134.76912379264832,"unknown","unknown",141.73041892051697,"","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-18215.219719171524,"unknown",-18208.83764386177,-18202.623059034348,0.0,6.361488342285156,11.165385484695435,17.232221841812134,40.6204936504364,46.640665769577026,50.07336616516113,"unknown",55.7979474067688,"unknown",61.61312913894653,63.46451282501221,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",69.74091100692749,"","unknown",75.23635458946228,88.11873245239258,"unknown","unknown",94.03802537918091,100.09969973564148,102.48047947883606,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.2889666557312,"unknown","unknown",114.43749713897705,"","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-1803.998518705368,"unknown",-1796.7347412109375,-1790.2942230701447,0.0,6.081340312957764,9.462637186050415,15.172923564910889,63.25054955482483,69.13008952140808,113.70824027061462,"unknown","unknown",120.00001049041748,125.38946533203125,132.46238803863525,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",138.60000729560852,"","unknown",145.4798092842102,168.99951195716858,"unknown","unknown",175.47387385368347,181.10413074493408,183.69675636291504,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",189.66615509986877,"unknown","unknown",195.7829315662384,"","",""
"47dcadc",-9496.972812652588,"unknown",-9491.500331878662,-9485.130422592163,0.0,6.644510507583618,12.104774475097656,17.831571578979492,87.72584986686707,93.6280608177185,234.99379634857178,"unknown","unknown",241.27401733398438,246.91058731079102,251.61737513542175,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",258.61442375183105,"","unknown",264.64458870887756,295.1001434326172,"unknown",301.2368552684784,"unknown",306.7540159225464,310.72837829589844,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",317.804874420166,"unknown","unknown",323.96238565444946,"","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
