"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-17398.22595000267,-17391.43081831932,-17385.100651025772,-17378.18913412094,0.0,6.721296548843384,9.47201418876648,17.695114612579346,43.954599142074585,50.185168981552124,55.653756618499756,"unknown",60.95822095870972,"unknown",67.96442317962646,83.65314507484436,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.96626830101013,"unknown",96.07035493850708,99.2924554347992,"unknown",106.40414834022522,"unknown",113.63487648963928,129.20019507408142,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",136.19682908058167,"unknown","unknown",143.40987515449524
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-621.1468451023102,-615.4097993373871,-610.0856599807739,-604.5628573894501,0.0,5.557263612747192,17.337498664855957,24.458618879318237,66.77472805976868,73.79318308830261,80.8044867515564,"unknown",87.07582378387451,"unknown",93.24213552474976,151.74804377555847,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",157.68763208389282,"unknown",163.21167659759521,166.53787088394165,"unknown",172.33491492271423,"unknown",179.38770198822021,191.10743927955627,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",197.6232705116272,"unknown","unknown",203.31542944908142
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
