"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1","2_1","7_otro_1"
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.910621643066406,"unknown",26.09484624862671,"unknown",38.85872936248779,"unknown","unknown","unknown","unknown",54.42087459564209,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",71.63330006599426,"unknown","unknown","unknown","unknown",85.84281730651855,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"56ee475",-6508.428440093994,"unknown",-6501.94743013382,-6495.483632564545,0.0,5.9399285316467285,35.51663017272949,43.30205702781677,969.7820732593536,976.4560079574585,979.7069489955902,"unknown","unknown",986.0806324481964,991.4474246501923,993.3233780860901,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",998.8893301486969,"","unknown",1004.4597082138062,1007.366858959198,"unknown","unknown",1014.2169125080109,1020.5392353534698,1046.1341381072998,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1052.4811351299286,"unknown","unknown",1057.8740339279175,"","",""
"916c172",-5831.660990476608,"unknown",-5824.760375738144,-5818.733483076096,0.0,7.210100412368774,72.25673079490662,80.17457294464111,95.43159699440002,102.79603219032288,123.6720700263977,"unknown","unknown",130.84797763824463,136.65250635147095,4354.318836450577,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4359.949155092239,"","unknown",4366.245342493057,4373.530498981476,"unknown",4380.467473745346,"unknown",4387.086043357849,4388.798364162445,4396.042153120041,4402.948642492294,"unknown","unknown",4409.371712446213,4416.222699165344,4423.667588710785,"unknown","unknown","unknown","unknown","unknown",4430.008901357651,"unknown",4436.956326723099,"","",""
"d9696dd",-1266.379365682602,"unknown",-1259.5034914016724,-1253.8289167881012,0.0,6.477281332015991,2625.2908930778503,2634.062258005142,2656.5080943107605,2662.8452184200287,2680.3003194332123,"unknown","unknown",2686.805464029312,2692.523734807968,2694.0009219646454,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2700.896975040436,"","unknown",2707.415422439575,2721.4501860141754,"unknown",2727.6807808876038,"unknown",2734.640715122223,2736.027724504471,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2742.968873023987,"unknown","unknown",2749.768401622772,"","",""
"eff7ebe",-27.310935497283936,"unknown",-22.004751205444336,-16.736753702163696,0.0,7.184051275253296,10.607980489730835,19.3228976726532,39.22133183479309,45.18418765068054,57.3391752243042,"unknown",63.82426404953003,"unknown",71.04099678993225,73.26995420455933,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.72710061073303,"","unknown",84.20699501037598,87.33964610099792,92.57842016220093,"unknown","unknown",98.2917685508728,100.8961489200592,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.24955201148987,"unknown","unknown",113.23118686676025,"","",""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",7.666571617126465,"unknown",44.61387038230896,"unknown",61.10977578163147,"unknown","unknown","unknown","unknown",242131.84541773796,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",242153.10323929787,"unknown","unknown","unknown","unknown",242170.7819132805,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80",-760817.8680841923,"unknown",-218010.47323846817,-217825.1905784607,0.0,5.544776201248169,8.196271657943726,16.684354305267334,41.790637493133545,47.48218393325806,53.74115037918091,"unknown","unknown",61.11660027503967,68.21805715560913,70.10049510002136,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.24269819259644,"","unknown",84.39394545555115,90.02405214309692,"unknown","unknown",96.74601149559021,103.78745555877686,107.21029996871948,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.4352560043335,"unknown","unknown",119.18937945365906,"","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",118.50000500679016,"unknown",147.62553524971008,"unknown",169.9872272014618,"unknown","unknown","unknown","unknown",261.20251655578613,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",281.9427969455719,"unknown","unknown","unknown","unknown",299.60849475860596,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
