"","x_1","x_2","x_final"
"3c0c7c1","A","","A"
"22fdb61","B","","B"
"11e5d50","A","","A"
"b53b559","B","","B"
"d318264","B","","B"
"a5bc4f7","","",""
"d7c82ab","","",""
"d6e6c31","","",""
"65b2a4c","B","","B"
"b2b24fe","B","","B"
"e581545","B","","B"
"2dd02a9","B","","B"
"f8deaaa","B","","B"
"644830a","B","","B"
"fa529ac","B","","B"
"ced331f","B","","B"
"7636563","B","","B"
"bc8f353","B","","B"
"90ccafb","B","","B"
"e9e1409","A","B","B"
"0fa3c49","B","","B"
"5732911","B","","B"
"eacd6a3","B","","B"
"618406d","B","","B"
"870795f","","",""
"87e4f18","B","A","A"
"b568148","","",""
"890df05","B","","B"
"80701a1","B","","B"
"c899adb","B","","B"
"b2621a2","B","","B"
"fbea372","B","","B"
"68c3192","A","","A"
"0570fc1","B","A","A"
"0145af8","B","","B"
"1117a63","B","","B"
"5d6ad7f","B","","B"
"7d9c3_1","A","","A"
"aa68b7a","B","","B"
"db101d1","B","","B"
"0b7193d","","",""
"73c3f48","B","","B"
"2da3cc8","","",""
"6bf6d44","B","","B"
"003406f","","",""
"fc2538d","B","","B"
"b457044","","",""
"07ff49d","B","","B"
"9417b2f","","",""
"6e412a8","B","","B"
"0d651b0","","",""
"db9112b","B","","B"
"472d42a","","",""
"ac3a94c","A","","A"
"5d9ae0c","A","","A"
"14d2bac","B","","B"
"89f120b","B","","B"
"fd01af9","B","","B"
"355c1ed","","",""
"f3ac65f","","",""
"3114f94","","",""
"cd54d57","","",""
"1f68249","B","","B"
"7c9678a","B","","B"
"facfe1c","","",""
"e51496b","B","","B"
"6bf803f","B","","B"
"6c8906b","B","","B"
"af1ec0b","B","","B"
"db0051d","B","","B"
"4569a12","B","","B"
"c810da6","A","","A"
"18b736b","","",""
"87e086c","B","","B"
"7c7ee1e","B","","B"
"cc02471","A","","A"
"e3ae59a","B","","B"
"b90cecc","","",""
"35adcf1","B","","B"
"bf983ba","A","","A"
"672a06a","","",""
"fc4adfc","B","","B"
"78603ec","B","","B"
"6245828","B","","B"
"c845818","","",""
"3b65cc8","B","","B"
"b0a2535","","",""
"a412254","A","","A"
"1c202a8","B","","B"
"ad2af75","","",""
"d8ecf99","B","","B"
"c28b1a9","A","","A"
"b05306f","","",""
"826fbf5","","",""
"817282d","B","","B"
"45b5efa","","",""
"d0c20cf","B","","B"
"addf295","B","","B"
"e5bb5fe","B","","B"
"a3ff1ab","B","","B"
"79868cd","B","A","A"
"9bcb545","B","","B"
"912afde","B","","B"
"7b5fed8","","",""
"d85b5c4","B","","B"
"1ac925b","","",""
"20f3e2e","A","","A"
"c16eb71","B","","B"
"a83d90e","","",""
"b7a265d","B","","B"
"50efa5d","","",""
"1116780","B","","B"
"7018506","B","","B"
"dea26ad","","",""
"1f77294","A","","A"
"aa3e305","B","","B"
"498b325","","",""
"c4e8c1a","","",""
"e892cd4","B","","B"
"e30a541","","",""
"f496964","B","","B"
"ac6ecda","B","","B"
"b8ec123","B","","B"
"80b4cbf","","",""
"99775ba","B","","B"
"e246307","","",""
"bd305b8","B","","B"
"32980f8","B","","B"
"8c6e198","B","","B"
"31e12d6","","",""
"4a0236d","B","","B"
"e1efd4f","","",""
"80e625f","B","","B"
"170bd80","B","","B"
"28e0968","A","","A"
"89bbcd3","B","","B"
"4306a35","","",""
"32851d2","B","","B"
"11892fd","B","","B"
"a984aad","B","","B"
"7a0eabe","B","","B"
"17b5a6e","B","","B"
"7d9a43d","B","","B"
"a975113","B","","B"
"9f79cf4","A","","A"
"e8a0b7a","B","","B"
"b068203","B","","B"
"3317f09","","",""
"39dc9b8","B","","B"
"8fd863f","B","","B"
"7384692","B","","B"
"839a53c","","",""
"4828266","B","","B"
"e0111ac","","",""
"8fe0c53","","",""
"b12b978","","",""
"6067843","B","","B"
"0514a07","B","","B"
"942d694","A","","A"
"9a1b5fa","A","","A"
"fffd3b6","","",""
"619e952","B","","B"
"485801f","B","","B"
"a0bd77e","B","","B"
"492238f","B","","B"
"37798a6","A","","A"
"65fc101","B","","B"
"bba08e8","","",""
"b0e3caa","A","","A"
"d874e84","A","","A"
"060cd49","A","","A"
"4bb7fd2","B","","B"
"2d5866b","","",""
"db844b1","B","","B"
"eccfff0","B","","B"
"8f6fe4e","B","","B"
"e88c741","","",""
"e73b255","A","","A"
"e928aa4","","",""
"ea8c0d6","B","","B"
"0fb7584","","",""
"527d11d","B","","B"
"e4aa5eb","","",""
"64155b9","B","","B"
"d35583d","","",""
"ce1d155","B","","B"
"c6d68df","B","","B"
"5769925","","",""
"730747e","B","","B"
"be94a32","B","","B"
"b716a75","A","","A"
"277dd85","B","","B"
"41011fc","B","","B"
"6f1360e","B","","B"
"435e788","B","","B"
"5b2f970","B","","B"
"49bd7ab","B","","B"
"47eea0f","B","","B"
"99ee852","B","","B"
"ac42d69","B","","B"
"fb6ca94","B","","B"
"c0b0b8d","B","","B"
"d0c28bd","","",""
"f72baab","","",""
"7de2a3d","B","","B"
"0a30844","B","","B"
"16c851e","","",""
"374ecf8","A","","A"
"6b36bf5","B","","B"
"a12b731","B","","B"
"f84d8ce","A","","A"
"3a03bea","B","","B"
"56191c0","B","","B"
"cb28371","B","","B"
"dee5269","A","","A"
"45dcec0","","",""
"fa86f6c","B","","B"
"2535794","","",""
"c09d25e","B","","B"
"e2447f7","B","","B"
"fa6a8b8","A","","A"
"f6ffd76","B","","B"
"5f84339","B","","B"
"0d5233e","B","","B"
"f11e43a","B","","B"
"916c172","B","","B"
"5883800","","",""
"f578367","B","","B"
"43c977d","B","","B"
"1d235c1","B","A","A"
"4c228f6","A","","A"
"755e429","B","","B"
"022a3c8","B","","B"
"d524668","B","","B"
